Point Number,Degree
0,3
1,2
2,6
3,3
4,3
5,7
6,4
7,6
8,4
9,3
10,7
11,2
12,25
13,2
14,7
15,3
16,8
17,3
18,4
19,7
20,5
21,8
22,2
23,4
24,2
25,16
26,2
27,12
28,2
29,3
30,4
31,7
32,2
33,6
34,5
35,11
36,3
37,4
38,2
39,12
40,6
41,3
42,3
43,14
44,7
45,2
46,11
47,4
48,5
49,3
50,6
51,11
52,2
53,5
54,12
55,3
56,4
57,2
58,16
59,2
60,32
61,2
62,7
63,6
64,5
65,5
66,6
67,10
68,3
69,3
70,6
71,2
72,7
73,3
74,2
75,9
76,2
77,4
78,4
79,3
80,9
81,7
82,2
83,6
84,2
85,5
86,5
87,3
88,2
89,17
90,2
91,3
92,5
93,2
94,5
95,3
96,3
97,17
98,3
99,4
100,3
101,5
102,9
103,2
104,6
105,2
106,4
107,2
108,6
109,2
110,12
111,8
112,2
113,8
114,2
115,5
116,10
117,2
118,5
119,4
120,6
121,13
122,4
123,4
124,4
125,26
126,9
127,2
128,6
129,3
130,6
131,2
132,7
133,6
134,3
135,4
136,2
137,15
138,5
139,2
140,5
141,3
142,6
143,2
144,9
145,4
146,4
147,4
148,16
149,2
150,5
151,8
152,5
153,4
154,6
155,5
156,13
157,6
158,7
159,4
160,5
161,9
162,7
163,24
164,5
165,3
166,5
167,3
168,7
169,2
170,5
171,5
172,3
173,3
174,31
175,5
176,3
177,5
178,5
179,3
180,8
181,2
182,13
183,5
184,3
185,6
186,3
187,4
188,9
189,2
190,6
191,2
192,15
193,6
194,3
195,6
196,3
197,5
198,11
199,3
200,3
201,10
202,7
203,4
204,3
205,7
206,3
207,6
208,15
209,2
210,6
211,3
212,4
213,13
214,5
215,4
216,7
217,4
218,5
219,7
220,2
221,55
222,2
223,10
224,6
225,5
226,4
227,8
228,3
229,6
230,10
231,2
232,6
233,2
234,5
235,9
236,2
237,6
238,4
239,6
240,2
241,15
242,4
243,4
244,4
245,10
246,6
247,2
248,10
249,6
250,6
251,6
252,2
253,7
254,12
255,2
256,10
257,3
258,3
259,26
260,3
261,3
262,6
263,3
264,6
265,5
266,3
267,6
268,3
269,21
270,8
271,8
272,2
273,7
274,4
275,2
276,9
277,3
278,4
279,12
280,3
281,6
282,2
283,8
284,3
285,3
286,15
287,2
288,3
289,4
290,2
291,15
292,2
293,4
294,5
295,3
296,4
297,19
298,8
299,6
300,5
301,6
302,8
303,2
304,9
305,2
306,8
307,5
308,4
309,7
310,8
311,19
312,4
313,5
314,2
315,9
316,4
317,3
318,6
319,2
320,6
321,3
322,3
323,36
324,2
325,7
326,8
327,6
328,3
329,6
330,6
331,2
332,8
333,9
334,5
335,2
336,7
337,2
338,7
339,2
340,29
341,2
342,18
343,14
344,2
345,12
346,8
347,2
348,7
349,14
350,2
351,12
352,3
353,3
354,6
355,8
356,8
357,2
358,16
359,4
360,3
361,6
362,12
363,3
364,2
365,14
366,9
367,8
368,3
369,7
370,2
371,7
372,9
373,11
374,3
375,4
376,2
377,18
378,34
379,2
380,5
381,4
382,4
383,9
384,3
385,3
386,8
387,4
388,3
389,6
390,3
391,3
392,13
393,10
394,4
395,4
396,5
397,3
398,13
399,8
400,2
401,5
402,5
403,4
404,11
405,3
406,4
407,2
408,10
409,18
410,6
411,2
412,6
413,6
414,3
415,9
416,2
417,4
418,3
419,11
420,3
421,2
422,9
423,2
424,8
425,2
426,4
427,5
428,3
429,4
430,18
431,2
432,6
433,3
434,5
435,4
436,10
437,2
438,11
439,4
440,2
441,4
442,9
443,2
444,5
445,2
446,11
447,3
448,3
449,6
450,3
451,3
452,12
453,2
454,3
455,17
456,2
457,6
458,2
459,8
460,4
461,3
462,5
463,9
464,3
465,5
466,6
467,39
468,4
469,4
470,5
471,2
472,12
473,4
474,3
475,4
476,7
477,3
478,2
479,8
480,2
481,5
482,16
483,4
484,3
485,4
486,7
487,3
488,3
489,9
490,2
491,6
492,4
493,2
494,6
495,2
496,9
497,2
498,3
499,16
500,3
501,2
