Point Number,Degree
0,3
1,2
2,12
3,4
4,3
5,4
6,7
7,3
8,3
9,16
10,6
11,2
12,9
13,10
14,2
15,7
16,8
17,3
18,5
19,3
20,3
21,12
22,2
23,8
24,10
25,2
26,16
27,3
28,3
29,7
30,3
31,4
32,2
33,9
34,4
35,4
36,4
37,16
38,2
39,5
40,5
41,3
42,3
43,16
44,2
45,3
46,7
47,2
48,6
49,9
50,4
51,6
52,6
53,7
54,2
55,11
56,20
57,2
58,7
59,3
60,4
61,8
62,3
63,3
64,10
65,5
66,3
67,5
68,7
69,3
70,3
71,22
72,3
73,3
74,6
75,5
76,2
77,6
78,2
79,13
80,3
81,3
82,7
83,2
84,6
85,2
86,9
87,2
88,5
89,2
90,4
91,7
92,3
93,3
94,22
95,5
96,3
97,5
98,3
99,9
100,4
101,3
102,5
103,11
104,4
105,4
106,10
107,4
108,6
109,9
110,5
111,5
112,9
113,11
114,2
115,54
116,3
117,3
118,4
119,7
120,2
121,6
122,5
123,6
124,2
125,15
126,3
127,3
128,6
129,2
130,9
131,10
132,3
133,5
134,4
135,4
136,13
137,2
138,4
139,2
140,12
141,4
142,4
143,5
144,11
145,2
146,17
147,7
148,4
149,4
150,6
151,5
152,4
153,12
154,2
155,3
156,5
157,4
158,2
159,8
160,3
161,2
162,18
163,3
164,2
165,4
166,9
167,8
168,2
169,3
170,8
171,5
172,4
173,4
174,11
175,4
176,4
177,4
178,14
179,2
180,5
181,2
182,4
183,14
184,3
185,5
186,6
187,4
188,3
189,6
190,15
191,3
192,2
193,9
194,2
195,3
196,8
197,2
198,7
199,2
200,7
201,3
202,3
203,10
204,2
205,10
206,2
207,20
208,9
209,4
210,4
211,5
212,11
213,2
214,4
215,4
216,2
217,10
218,3
219,3
220,10
221,3
222,5
223,2
224,5
225,20
226,3
227,3
228,8
229,8
230,4
231,3
232,9
233,4
234,4
235,7
236,12
237,5
238,2
239,7
240,3
241,3
242,8
243,2
244,7
245,4
246,3
247,4
248,35
249,8
250,5
251,7
252,5
253,5
254,11
255,6
256,3
257,5
258,5
259,9
260,7
261,5
262,5
263,5
264,5
265,28
266,3
267,3
268,5
269,3
270,9
271,6
272,2
273,5
274,7
275,3
276,5
277,9
278,3
279,3
280,10
281,2
282,4
283,2
284,7
285,4
286,2
287,5
288,2
289,12
290,5
291,4
292,5
293,2
294,10
295,4
296,2
297,7
298,3
299,5
300,7
301,3
302,3
303,32
304,3
305,3
306,4
307,10
308,2
309,8
310,4
311,3
312,6
313,8
314,3
315,5
316,13
317,2
318,4
319,2
320,11
321,5
322,3
323,4
324,12
325,2
326,8
327,6
328,2
329,5
330,7
331,8
332,12
333,2
334,5
335,10
336,5
337,5
338,5
339,5
340,27
341,4
342,3
343,5
344,4
345,3
346,8
347,2
348,8
349,2
350,7
351,5
352,4
353,2
354,10
355,5
356,3
357,6
358,8
359,27
360,7
361,5
362,6
363,5
364,6
365,11
366,2
367,3
368,5
369,2
370,13
371,3
372,4
373,4
374,3
375,10
376,2
377,9
378,2
379,5
380,2
381,12
382,5
383,7
384,4
385,5
386,8
387,2
388,8
389,3
390,3
391,25
392,3
393,3
394,4
395,6
396,4
397,5
398,6
399,2
400,13
401,7
402,5
403,4
404,5
405,6
406,2
407,10
408,3
409,5
410,4
411,4
412,43
413,3
414,3
415,11
416,3
417,10
418,2
419,4
420,6
421,8
422,4
423,4
424,6
425,16
426,5
427,3
428,5
429,8
430,2
431,5
432,2
433,8
434,3
435,6
436,12
437,34
438,4
439,3
440,4
441,10
442,7
443,2
444,5
445,7
446,2
447,6
448,10
449,2
450,10
451,3
452,3
453,8
454,2
455,7
456,2
457,7
458,9
459,3
460,2
461,12
462,3
463,3
464,5
465,4
466,2
467,17
468,2
469,9
470,2
471,3
472,10
473,3
474,2
475,8
476,5
477,9
478,7
479,4
480,3
481,10
482,2
483,20
484,3
485,3
486,9
487,5
488,8
489,3
490,5
491,8
492,6
493,13
494,3
495,6
496,2
497,9
498,6
499,6
500,6
501,6
