Degree,Log(Probability)
2,-1.7616681598334907
3,-1.6966760210877783
4,-1.8851388459038154
5,-2.135866763903979
6,-2.505058465225308
7,-2.8004034104226583
8,-3.1317605463771008
9,-3.294279475874876
10,-3.5516143919373646
11,-4.084418922422131
12,-3.9625291048130937
13,-4.266740479216085
14,-4.335733350703037
15,-4.6076670661866785
16,-4.9823605156280895
17,-5.077670695432414
18,-5.365352767884195
19,-5.300814246746624
20,-5.77081787599236
21,-5.77081787599236
22,-6.127492819931092
23,-5.77081787599236
24,-6.28164349975835
25,-6.687108607866515
26,-7.38025578842646
27,-6.463965056552305
28,-6.463965056552305
29,-8.073402968986406
30,-6.687108607866515
31,-7.38025578842646
32,-6.9747906803182955
33,-8.073402968986406
34,-8.073402968986406
35,-8.073402968986406
37,-6.687108607866515
39,-8.073402968986406
41,-8.073402968986406
44,-8.073402968986406
47,-8.073402968986406
56,-8.073402968986406
63,-8.073402968986406
64,-8.073402968986406
65,-8.073402968986406
79,-8.073402968986406
80,-8.073402968986406
123,-8.073402968986406
155,-8.073402968986406
