Degree,Log(Probability)
2,-1.7323028642013434
3,-1.7670458126452164
4,-1.834957018261427
5,-2.1136704207304473
6,-2.5335242662907116
7,-2.9444389791664407
8,-2.865658101313326
9,-3.317643225056383
10,-3.7972163053182695
11,-3.5588052818732714
12,-4.28272412109997
13,-4.28272412109997
14,-4.975871301659915
15,-5.263553374111697
16,-4.570406193551752
17,-4.975871301659915
18,-5.263553374111697
19,-6.362165662779806
20,-7.055312843339752
21,-5.9567005546716425
22,-5.445874930905651
23,-5.445874930905651
25,-5.9567005546716425
26,-7.055312843339752
27,-6.362165662779806
28,-5.9567005546716425
30,-6.362165662779806
31,-5.9567005546716425
37,-7.055312843339752
39,-7.055312843339752
40,-6.362165662779806
42,-7.055312843339752
43,-7.055312843339752
69,-7.055312843339752
73,-7.055312843339752
129,-7.055312843339752
