Degree,Log(Probability)
2,-1.6389059746910084
3,-1.7684400268829106
4,-2.0009356837674006
5,-2.2427080549151035
6,-2.2512917986064953
7,-2.910537427490759
8,-3.034590076160738
9,-3.5708947852277135
10,-3.86938777378371
11,-3.5391460869131333
12,-4.29683178861065
13,-4.29683178861065
14,-4.60698671691449
15,-3.9138395363545437
16,-5.058971840657547
17,-5.213122520484805
18,-5.39544407727876
19,-5.6185876285929695
20,-5.90626970104475
21,-5.213122520484805
22,-5.6185876285929695
23,-6.311734809152915
24,-5.39544407727876
25,-6.311734809152915
27,-6.311734809152915
28,-7.00488198971286
30,-6.311734809152915
31,-7.00488198971286
37,-7.00488198971286
42,-7.00488198971286
47,-7.00488198971286
48,-7.00488198971286
63,-7.00488198971286
105,-7.00488198971286
