Degree,Log(Probability)
2,-1.7238482636118446
3,-1.701375407759786
4,-1.9338213517363092
5,-2.175833387354902
6,-2.32998406718216
7,-2.943088540068569
8,-2.9690640264718295
9,-3.2744456760230114
10,-3.7162784283020507
11,-3.967592856582957
12,-3.834061463958434
13,-4.660740037142902
14,-4.304065093204169
15,-4.660740037142902
16,-5.220355825078324
17,-5.91350300563827
18,-5.220355825078324
19,-6.606650186198215
20,-5.220355825078324
22,-4.997212273764115
23,-6.606650186198215
24,-6.606650186198215
25,-6.606650186198215
26,-5.91350300563827
27,-5.508037897530106
29,-5.91350300563827
32,-6.606650186198215
34,-6.606650186198215
50,-6.606650186198215
