Degree,Log(Probability)
2,-1.8156357182191851
3,-1.730174488803957
4,-1.782725984130387
5,-2.2118500665551983
6,-2.316596897014262
7,-2.9676958413307077
8,-3.235959827925387
9,-3.4785214650966982
10,-3.7467854516913777
11,-3.826828159364914
12,-3.672677479537656
13,-4.232293267473079
14,-4.577133753764808
15,-4.4146148242670336
16,-4.771289768205765
17,-4.925440448033024
18,-5.107762004826978
19,-5.330905556141188
20,-5.8009091853869235
21,-5.6185876285929695
22,-5.8009091853869235
23,-7.410347097821024
24,-5.8009091853869235
25,-6.024052736701133
26,-6.311734809152915
27,-6.717199917261079
29,-6.311734809152915
31,-7.410347097821024
33,-7.410347097821024
35,-7.410347097821024
36,-7.410347097821024
40,-7.410347097821024
41,-7.410347097821024
42,-6.717199917261079
46,-7.410347097821024
54,-7.410347097821024
62,-7.410347097821024
120,-7.410347097821024
