Degree,Log(Probability)
2,-1.8166054678145858
3,-1.7264543708202884
4,-2.0733253146623998
5,-2.2315493198772938
6,-2.4546928711915035
7,-2.4910605153623786
8,-2.7423749436432847
9,-3.3019907315787074
10,-3.7074558396868715
11,-3.9951379121386528
12,-3.7074558396868715
13,-5.093750200806762
14,-4.400603020246817
15,-4.400603020246817
16,-3.9951379121386528
17,-5.093750200806762
18,-5.786897381366708
19,-5.786897381366708
20,-5.786897381366708
21,-5.786897381366708
23,-5.786897381366708
26,-5.093750200806762
28,-5.786897381366708
30,-5.786897381366708
35,-5.786897381366708
68,-5.786897381366708
