Degree,Log(Probability)
2,-1.7694235152859918
3,-1.6628589055633611
4,-1.8663414124784137
5,-2.3596227265934946
6,-2.317063112174699
7,-2.8680358039541014
8,-3.1124891418550624
9,-3.335632693169272
10,-3.525676296057137
11,-3.9195805817642255
12,-4.068000586882499
13,-3.954671901575496
14,-4.7219270542891625
15,-4.7219270542891625
16,-5.08965183441448
17,-5.495116942522644
18,-5.900582050630809
19,-5.2074348700708635
20,-5.495116942522644
21,-5.2074348700708635
22,-5.495116942522644
23,-5.677438499316599
24,-5.495116942522644
25,-5.900582050630809
26,-7.2868764117507
28,-6.593729231190754
30,-6.593729231190754
33,-7.2868764117507
34,-6.593729231190754
37,-7.2868764117507
69,-7.2868764117507
80,-7.2868764117507
89,-7.2868764117507
111,-7.2868764117507
146,-7.2868764117507
