Degree,Log(Probability)
2,-1.8419492137519102
3,-1.550597412411167
4,-1.7847907999119617
5,-2.0724728723637424
6,-2.5957210161282904
7,-2.6602595372658615
8,-2.883403088580071
9,-3.5765502691400166
10,-3.982015377248181
11,-3.982015377248181
12,-4.962844630259907
13,-4.962844630259907
14,-4.962844630259907
15,-4.962844630259907
16,-4.675162557808126
17,-4.675162557808126
18,-6.061456918928017
19,-4.962844630259907
20,-6.061456918928017
22,-6.061456918928017
23,-6.061456918928017
24,-6.061456918928017
39,-6.061456918928017
42,-6.061456918928017
