Degree,Log(Probability)
2,-1.764414015337526
3,-1.670681537674819
4,-1.9832316767046132
5,-2.138582116723776
6,-2.5482577573682836
7,-2.7905712247902135
8,-3.204133543130997
9,-3.3913450852191436
10,-3.3913450852191436
11,-3.483718405350159
12,-3.7822113939061555
13,-4.432798960047305
14,-4.61512051684126
15,-4.720481032499086
16,-5.12594614060725
17,-4.838264068155469
18,-5.12594614060725
19,-5.12594614060725
20,-5.819093321167196
21,-5.531411248715415
23,-6.917705609835305
24,-5.531411248715415
25,-6.22455842927536
26,-6.917705609835305
27,-6.917705609835305
28,-6.917705609835305
30,-6.917705609835305
31,-6.22455842927536
33,-5.819093321167196
37,-6.917705609835305
43,-6.917705609835305
92,-6.917705609835305
113,-6.917705609835305
121,-6.917705609835305
