Degree,Log(Probability)
2,-1.8017256669266566
3,-1.6482620362504365
4,-1.8162537674895662
5,-2.22293913200296
6,-2.4711187614784946
7,-2.835198653423805
8,-3.0040971898856186
9,-3.5016775869015886
10,-3.5983044225906604
11,-3.78935965935337
12,-4.168849281058273
13,-4.221493014543696
14,-4.465115097201446
15,-4.836678653633929
16,-4.654357096839974
17,-5.267461569726383
18,-5.34750427739992
19,-5.6351863498517005
20,-6.040651457959865
21,-5.7529693855080835
22,-7.139263746627974
23,-6.222973014753819
24,-6.040651457959865
25,-7.83241092718792
26,-6.446116566068029
27,-6.7337986385198105
28,-6.222973014753819
29,-6.446116566068029
30,-7.139263746627974
31,-6.7337986385198105
32,-6.7337986385198105
33,-7.83241092718792
34,-6.446116566068029
36,-7.83241092718792
38,-7.83241092718792
41,-7.139263746627974
45,-7.83241092718792
46,-7.83241092718792
56,-7.83241092718792
68,-7.83241092718792
176,-7.83241092718792
