Degree,Log(Probability)
2,0.16591928251121077
3,0.21076233183856502
4,0.16143497757847533
5,0.08520179372197309
6,0.06726457399103139
7,0.04932735426008968
8,0.03139013452914798
9,0.03587443946188341
10,0.04484304932735426
11,0.02242152466367713
13,0.013452914798206279
16,0.013452914798206279
17,0.017937219730941704
18,0.013452914798206279
19,0.004484304932735426
21,0.008968609865470852
22,0.008968609865470852
23,0.008968609865470852
24,0.004484304932735426
25,0.004484304932735426
27,0.004484304932735426
30,0.008968609865470852
33,0.008968609865470852
34,0.004484304932735426
