Degree,Probability
2,0.17109826589595376
3,0.15491329479768787
4,0.13179190751445086
5,0.11098265895953757
6,0.09364161849710982
7,0.05433526011560694
8,0.06127167630057803
9,0.03236994219653179
10,0.04046242774566474
11,0.019653179190751446
12,0.028901734104046242
13,0.015028901734104046
14,0.010404624277456647
15,0.019653179190751446
16,0.008092485549132947
17,0.006936416184971098
18,0.004624277456647399
19,0.003468208092485549
20,0.004624277456647399
21,0.0023121387283236996
22,0.0011560693641618498
24,0.0011560693641618498
25,0.004624277456647399
26,0.0023121387283236996
27,0.0011560693641618498
30,0.003468208092485549
31,0.0011560693641618498
33,0.0023121387283236996
36,0.0023121387283236996
42,0.0011560693641618498
49,0.0011560693641618498
66,0.0011560693641618498
93,0.0011560693641618498
117,0.0011560693641618498
