Degree,Probability
2,0.17577197149643706
3,0.1496437054631829
4,0.15676959619952494
5,0.1163895486935867
6,0.0855106888361045
7,0.0498812351543943
8,0.057007125890736345
9,0.0332541567695962
10,0.021377672209026127
11,0.028503562945368172
12,0.019002375296912115
13,0.011876484560570071
14,0.014251781472684086
15,0.0166270783847981
16,0.007125890736342043
17,0.009501187648456057
18,0.011876484560570071
19,0.004750593824228029
20,0.004750593824228029
21,0.0023752969121140144
22,0.007125890736342043
24,0.0023752969121140144
26,0.0023752969121140144
35,0.0023752969121140144
37,0.0023752969121140144
41,0.0023752969121140144
104,0.0023752969121140144
109,0.0023752969121140144
