Degree,Log(Probability)
2,-1.8302257500558512
3,-1.4647659765613859
4,-2.3608540011180215
5,-2.0243817644968085
6,-2.5233729306157966
7,-3.2771447329921766
8,-2.9586910018736416
9,-3.159361697335793
10,-3.159361697335793
11,-3.4106761256166993
12,-5.356586274672012
13,-4.663439094112067
14,-4.257973986003902
15,-5.356586274672012
16,-4.663439094112067
17,-5.356586274672012
18,-5.356586274672012
19,-4.257973986003902
21,-4.257973986003902
22,-5.356586274672012
28,-5.356586274672012
45,-5.356586274672012
