Degree,Log(Probability)
2,-1.7385677404782116
3,-1.8994981072908488
4,-1.852978091655956
5,-2.1508125355717547
6,-2.4591138952262717
7,-2.9981103959589586
8,-2.864579003334436
9,-3.4035755040671227
10,-3.845408256346162
11,-3.5577261838943812
12,-3.9631912920025454
13,-4.433194921248281
14,-4.250873364454327
15,-4.096722684627068
16,-4.944020545014272
17,-4.65633847256249
18,-4.433194921248281
19,-5.349485653122436
20,-5.349485653122436
21,-6.042632833682381
22,-4.944020545014272
24,-6.042632833682381
26,-6.042632833682381
35,-6.042632833682381
37,-6.042632833682381
41,-6.042632833682381
104,-6.042632833682381
109,-6.042632833682381
