Degree,Log(Probability)
2,-1.8029955424949808
3,-1.4738137391364472
4,-1.9887126882900736
5,-2.446545781915554
6,-2.414797083600974
7,-2.93609400723426
8,-2.93609400723426
9,-3.577947893406655
10,-4.088773517172645
11,-4.088773517172645
12,-4.2710950739666
13,-3.934622837345387
14,-3.934622837345387
15,-3.801091444720864
17,-4.78192069773259
18,-4.78192069773259
19,-5.187385805840755
20,-5.8805329864007
21,-5.187385805840755
24,-5.187385805840755
27,-5.8805329864007
28,-5.8805329864007
29,-5.8805329864007
38,-5.8805329864007
104,-5.8805329864007
