Degree,Log(Probability)
2,-1.7855674989801338
3,-1.3925249108705267
4,-1.9033505346365174
5,-2.8841797876482436
6,-2.5164550075229264
7,-3.982792076316353
8,-3.4719664525503626
9,-4.388257184424518
10,-4.388257184424518
11,-4.388257184424518
12,-4.388257184424518
14,-5.081404364984463
15,-4.388257184424518
16,-3.982792076316353
17,-5.081404364984463
18,-3.982792076316353
20,-4.388257184424518
21,-5.081404364984463
22,-4.388257184424518
23,-4.388257184424518
25,-5.081404364984463
27,-3.982792076316353
28,-5.081404364984463
29,-4.388257184424518
30,-3.6951100038645723
31,-5.081404364984463
32,-5.081404364984463
33,-5.081404364984463
34,-5.081404364984463
