Degree,Log(Probability)
2,-1.8845412026790211
3,-1.7303905228517629
4,-1.8571422284909067
5,-2.3770176877768154
6,-2.3325659252059814
7,-2.69547141889535
8,-2.9831534913471307
9,-3.1654750481410856
10,-3.3886185994552953
11,-3.522149992079818
12,-3.522149992079818
13,-4.3694478524670215
14,-4.3694478524670215
15,-5.4680601411351315
16,-4.774912960575186
18,-5.4680601411351315
19,-5.4680601411351315
24,-4.774912960575186
25,-5.4680601411351315
31,-5.4680601411351315
45,-5.4680601411351315
47,-5.4680601411351315
