Degree,Log(Probability)
2,-1.8410305182348379
3,-1.6239660129970102
4,-2.0417012136969888
5,-2.293015641977895
6,-2.293015641977895
7,-2.6984807500860595
8,-2.5649493574615367
9,-3.258096538021482
10,-5.337538079701318
11,-4.6443908991413725
12,-3.951243718581427
14,-3.951243718581427
15,-4.6443908991413725
16,-5.337538079701318
17,-4.6443908991413725
20,-5.337538079701318
21,-4.238925791033208
23,-5.337538079701318
25,-5.337538079701318
26,-5.337538079701318
27,-5.337538079701318
35,-5.337538079701318
42,-5.337538079701318
45,-5.337538079701318
