Degree,Log(Probability)
2,-1.824549292051046
3,-1.7423111938140738
4,-1.5297497518304009
5,-2.3353749158170367
6,-2.740840023925201
7,-2.982002080742089
8,-3.3004558118606235
9,-3.4339872044851463
10,-3.3004558118606235
11,-5.37989735354046
12,-4.28128506487235
13,-4.686750172980514
14,-3.770459441106359
15,-5.37989735354046
16,-4.686750172980514
17,-4.686750172980514
18,-4.686750172980514
19,-5.37989735354046
20,-4.28128506487235
22,-5.37989735354046
25,-5.37989735354046
27,-5.37989735354046
29,-5.37989735354046
31,-5.37989735354046
34,-5.37989735354046
