Degree,Log(Probability)
2,-1.9313113496341605
3,-1.6221230719614161
4,-2.054543990058109
5,-2.336776457742325
6,-2.7314306497462737
7,-2.5544999415871956
8,-2.798122024244946
9,-2.907321316209938
10,-3.968193276895201
11,-3.6805112044434196
12,-4.219507705176107
13,-3.968193276895201
14,-3.5263605246161616
15,-4.373658385003365
16,-4.55597994179732
17,-5.472270673671475
18,-5.472270673671475
19,-6.16541785423142
20,-6.16541785423142
21,-6.16541785423142
22,-5.472270673671475
23,-5.472270673671475
25,-6.16541785423142
26,-6.16541785423142
30,-6.16541785423142
31,-6.16541785423142
32,-6.16541785423142
33,-5.472270673671475
40,-6.16541785423142
62,-6.16541785423142
148,-6.16541785423142
