Degree,Log(Probability)
2,-1.791759469228055
3,-1.66392609771817
4,-1.6247053845648889
5,-2.580216829592325
6,-2.9368917735310576
8,-2.803360380906535
9,-3.784189633918261
10,-3.2733640101522705
11,-3.4965075614664802
12,-4.189654742026425
13,-4.189654742026425
14,-4.882801922586371
15,-4.882801922586371
17,-4.189654742026425
20,-3.784189633918261
21,-4.189654742026425
22,-4.882801922586371
23,-4.882801922586371
24,-3.784189633918261
25,-4.882801922586371
26,-4.882801922586371
28,-4.882801922586371
31,-4.882801922586371
