Degree,Log(Probability)
2,-1.9566341124182889
3,-1.6928195213731514
4,-1.8160521617970997
5,-2.1892564076870427
6,-2.594721515795207
7,-2.594721515795207
8,-3.036554268074246
9,-3.1543373037306295
10,-3.5290307531720404
11,-3.2188758248682006
12,-4.8283137373023015
13,-4.135166556742356
14,-4.8283137373023015
15,-4.8283137373023015
16,-5.233778845410465
17,-4.135166556742356
18,-5.926926025970411
19,-5.233778845410465
20,-5.926926025970411
21,-5.926926025970411
22,-5.926926025970411
24,-5.926926025970411
26,-5.926926025970411
32,-5.926926025970411
47,-5.926926025970411
77,-5.926926025970411
