Degree,Log(Probability)
2,-1.890850371872286
3,-1.6395359435913799
4,-1.8053281984341238
5,-2.2526404164777887
6,-2.7807078466782853
7,-3.2081518615052254
8,-3.0258303047112705
9,-3.2081518615052254
10,-3.3512527051458982
11,-4.3067641501733345
12,-4.1244425933793805
13,-3.718977485271216
14,-4.817589773939325
15,-5.22305488204749
16,-5.22305488204749
17,-4.3067641501733345
18,-4.529907701487544
19,-4.529907701487544
20,-5.916202062607435
21,-5.22305488204749
22,-5.22305488204749
24,-5.22305488204749
25,-5.22305488204749
27,-5.916202062607435
29,-5.916202062607435
31,-5.22305488204749
36,-5.916202062607435
37,-5.916202062607435
38,-5.916202062607435
39,-5.916202062607435
44,-5.916202062607435
50,-5.916202062607435
