Degree,Log(Probability)
2,-1.6835458845878222
3,-1.4759065198095778
4,-2.456735772821304
5,-2.639057329615259
6,-2.995732273553991
7,-2.3766930651477676
8,-3.1498829533812494
9,-4.248495242049359
10,-3.5553480614894135
11,-4.248495242049359
13,-3.332204510175204
14,-3.8430301339411947
15,-4.248495242049359
16,-4.941642422609305
17,-4.941642422609305
18,-4.248495242049359
19,-3.8430301339411947
20,-4.941642422609305
22,-4.941642422609305
23,-4.941642422609305
25,-4.941642422609305
26,-4.941642422609305
27,-4.248495242049359
28,-4.941642422609305
36,-4.941642422609305
