Degree,Log(Probability)
2,-1.7635885922613588
3,-1.742969305058623
4,-2.0238716905250254
5,-2.05127066471314
6,-2.1382820417027695
7,-2.8622008809294686
8,-3.236894330370879
9,-3.332204510175204
10,-4.248495242049359
11,-3.8430301339411947
12,-3.332204510175204
13,-4.941642422609305
14,-5.634789603169249
15,-5.634789603169249
16,-4.941642422609305
18,-5.634789603169249
19,-4.941642422609305
20,-5.634789603169249
21,-4.248495242049359
24,-5.634789603169249
25,-5.634789603169249
26,-5.634789603169249
27,-5.634789603169249
28,-5.634789603169249
40,-5.634789603169249
