Log(Degree),Log(Probability)
0.6931471805599453,-1.824549292051046
1.0986122886681098,-1.7423111938140738
1.3862943611198906,-1.5297497518304009
1.6094379124341003,-2.3353749158170367
1.791759469228055,-2.740840023925201
1.9459101490553132,-2.982002080742089
2.0794415416798357,-3.3004558118606235
2.1972245773362196,-3.4339872044851463
2.302585092994046,-3.3004558118606235
2.3978952727983707,-5.37989735354046
2.4849066497880004,-4.28128506487235
2.5649493574615367,-4.686750172980514
2.6390573296152584,-3.770459441106359
2.70805020110221,-5.37989735354046
2.772588722239781,-4.686750172980514
2.833213344056216,-4.686750172980514
2.8903717578961645,-4.686750172980514
2.9444389791664403,-5.37989735354046
2.995732273553991,-4.28128506487235
3.091042453358316,-5.37989735354046
3.2188758248682006,-5.37989735354046
3.295836866004329,-5.37989735354046
3.367295829986474,-5.37989735354046
3.4339872044851463,-5.37989735354046
3.5263605246161616,-5.37989735354046
