Log(Degree),Log(Probability)
0.6931471805599453,-1.709521370991083
1.0986122886681098,-1.791759469228055
1.3862943611198906,-1.9972034434428638
1.6094379124341003,-2.1484344131667874
1.791759469228055,-2.3266826445731064
1.9459101490553132,-2.744417845273085
2.0794415416798357,-3.332204510175204
2.1972245773362196,-3.475305353815877
2.302585092994046,-3.8430301339411947
2.3978952727983707,-3.960813169597578
2.4849066497880004,-4.0943445622221
2.5649493574615367,-5.3471075307174685
2.6390573296152584,-4.430816798843313
2.70805020110221,-4.248495242049359
2.772588722239781,-4.941642422609305
2.833213344056216,-4.248495242049359
2.8903717578961645,-6.040254711277414
2.9444389791664403,-5.3471075307174685
2.995732273553991,-4.653960350157523
3.044522437723423,-4.430816798843313
3.091042453358316,-6.040254711277414
3.2188758248682006,-4.941642422609305
3.295836866004329,-5.3471075307174685
3.332204510175204,-5.3471075307174685
3.4011973816621555,-6.040254711277414
3.4339872044851463,-5.3471075307174685
3.6635616461296463,-6.040254711277414
3.784189633918261,-6.040254711277414
4.060443010546419,-6.040254711277414
