T,Flux,E
2324.64072,15.720,0.006
2324.65580,15.725,0.006
2324.67008,15.725,0.006
2324.68097,15.729,0.006
2324.69496,15.733,0.006
2324.70584,15.723,0.006
2324.71672,15.721,0.006
2324.72762,15.733,0.006
2324.73866,15.726,0.006
2324.74959,15.723,0.006
2324.76572,15.722,0.006
2324.77661,15.713,0.006
2324.78749,15.716,0.006
2324.79839,15.716,0.006
2324.80930,15.712,0.006
2324.82295,15.713,0.006
2324.83571,15.720,0.007
2324.84977,15.719,0.006
2324.86069,15.719,0.007
2325.63924,15.719,0.006
2325.65020,15.721,0.006
2325.66548,15.727,0.006
2325.67987,15.721,0.006
2325.69383,15.723,0.006
2325.70480,15.712,0.006
2325.71569,15.722,0.006
2325.72656,15.714,0.006
2325.74128,15.720,0.006
2325.75218,15.723,0.006
2325.76308,15.717,0.006
2325.77515,15.721,0.006
2325.78609,15.716,0.006
2325.79699,15.717,0.006
2325.80792,15.711,0.006
2325.81885,15.717,0.006
2325.82973,15.718,0.006
2326.60550,15.719,0.006
2326.61640,15.719,0.006
2326.62729,15.720,0.006
2326.63819,15.725,0.006
2326.64904,15.720,0.006
2326.65995,15.719,0.006
2326.67124,15.713,0.006
2326.68215,15.720,0.006
2326.70389,15.729,0.006
2326.71481,15.714,0.006
2326.72570,15.719,0.006
2326.74589,15.716,0.006
2326.75679,15.722,0.006
2326.76769,15.710,0.006
2326.77862,15.716,0.006
2326.78953,15.725,0.006
2326.80045,15.716,0.006
2327.61235,15.718,0.006
2327.62321,15.709,0.006
2327.63414,15.718,0.006
2327.64507,15.711,0.006
2327.65598,15.721,0.006
2327.66690,15.720,0.006
2327.68165,15.715,0.006
2327.69255,15.718,0.006
2327.70344,15.724,0.006
2327.71434,15.721,0.006
2327.72527,15.718,0.006
2327.73618,15.718,0.006
2327.74736,15.721,0.006
2327.75824,15.718,0.006
2327.76919,15.726,0.006
2327.78006,15.722,0.006
2327.79093,15.724,0.006
2327.80180,15.710,0.006
2328.63116,15.725,0.006
2328.64205,15.720,0.006
2328.65296,15.715,0.006
2328.66381,15.716,0.006
2328.68564,15.718,0.006
2328.70780,15.715,0.006
2328.71865,15.718,0.006
2328.72952,15.721,0.006
2328.74040,15.714,0.006
2328.75129,15.718,0.006
2328.76257,15.715,0.004
2328.77349,15.709,0.004
2328.78435,15.716,0.006
2328.79528,15.725,0.006
2328.80617,15.715,0.006
2329.62086,15.726,0.006
2329.63174,15.717,0.006
2329.65356,15.714,0.006
2329.66450,15.716,0.006
2329.67547,15.711,0.006
2329.68753,15.718,0.006
2329.69844,15.717,0.006
2329.70934,15.718,0.006
2329.72025,15.721,0.006
2329.73108,15.732,0.006
2329.74200,15.733,0.006
2329.75339,15.733,0.006
2329.76432,15.736,0.006
2329.77520,15.726,0.006
2329.78610,15.728,0.006
2329.81535,15.719,0.006
2329.84806,15.728,0.006
2330.58985,15.714,0.006
2330.60073,15.726,0.006
2330.61161,15.718,0.006
2330.62249,15.722,0.006
2330.63336,15.719,0.006
2330.64428,15.719,0.006
2330.65535,15.718,0.006
2330.66621,15.721,0.006
2330.67708,15.720,0.006
2330.68797,15.714,0.006
2330.69886,15.723,0.006
2330.70976,15.724,0.006
2330.72725,15.724,0.006
2330.73815,15.709,0.006
2330.74902,15.712,0.006
2330.75993,15.722,0.006
2330.79291,15.724,0.006
2330.80384,15.720,0.006
2330.81477,15.713,0.006
2330.82562,15.722,0.006
2330.83653,15.717,0.006
2331.59007,15.717,0.006
2331.60098,15.718,0.006
2331.61185,15.712,0.006
2331.64555,15.716,0.006
2331.66725,15.719,0.006
2331.68055,15.718,0.006
2331.70236,15.716,0.006
2331.71326,15.720,0.006
2331.72414,15.716,0.006
2331.73502,15.716,0.006
2331.74614,15.717,0.006
2331.75701,15.722,0.006
2331.76796,15.715,0.007
2331.83725,15.724,0.007
2332.61767,15.717,0.007
2332.64357,15.723,0.006
2332.65450,15.722,0.006
2332.66536,15.717,0.006
2332.67625,15.726,0.006
2332.68715,15.715,0.006
2332.69807,15.724,0.006
2332.71770,15.723,0.006
2332.72858,15.717,0.006
2332.73942,15.727,0.006
2332.75034,15.719,0.006
2332.76126,15.718,0.007
2332.77216,15.716,0.006
2332.78336,15.725,0.006
2332.79427,15.727,0.006
2332.80518,15.720,0.007
2332.81607,15.712,0.008
2332.83790,15.714,0.008
2333.62059,15.720,0.007
2333.63149,15.728,0.007
2333.64237,15.721,0.006
2333.65330,15.716,0.006
2333.66418,15.717,0.006
2333.67510,15.712,0.006
2333.68838,15.725,0.006
2333.69929,15.718,0.006
2333.71018,15.718,0.006
2333.72108,15.717,0.006
2333.73201,15.722,0.006
2333.74288,15.716,0.006
2333.75407,15.722,0.007
2333.76499,15.716,0.007
2333.77591,15.724,0.006
2333.78681,15.711,0.006
2333.79770,15.720,0.006
2333.80860,15.714,0.006
2333.83501,15.727,0.006
2333.84584,15.721,0.006
2334.60807,15.720,0.006
2334.61896,15.720,0.006
2334.62988,15.724,0.006
2334.64076,15.707,0.006
2334.65164,15.708,0.006
2334.67395,15.724,0.006
2334.68485,15.711,0.006
2334.69576,15.710,0.006
2334.70666,15.709,0.006
2334.71758,15.716,0.006
2334.72850,15.713,0.006
2334.74199,15.712,0.006
2334.76034,15.713,0.006
2334.77127,15.719,0.006
2334.78218,15.720,0.006
2334.79306,15.715,0.006
2334.80393,15.712,0.007
2335.57007,15.721,0.007
2335.58100,15.712,0.006
2335.59190,15.722,0.007
2335.60282,15.721,0.007
2335.65258,15.717,0.006
2335.66351,15.723,0.006
2335.68529,15.711,0.006
2335.69615,15.719,0.006
2335.70720,15.716,0.006
2335.71811,15.716,0.006
2335.72900,15.722,0.006
2335.73989,15.719,0.006
2335.75081,15.718,0.006
2337.60230,15.710,0.006
2337.61319,15.723,0.006
2337.62409,15.720,0.006
2337.63498,15.710,0.006
2337.64590,15.714,0.006
2337.65681,15.717,0.006
2337.66787,15.714,0.006
2337.67877,15.714,0.006
2337.68974,15.718,0.006
2337.70063,15.718,0.006
2337.71150,15.720,0.006
2337.72239,15.721,0.006
2337.73354,15.716,0.006
2337.74449,15.710,0.006
2337.75538,15.711,0.006
2337.78811,15.716,0.006
2338.56962,15.721,0.006
2338.58049,15.717,0.006
2338.59142,15.715,0.006
2338.60232,15.722,0.006
2338.61318,15.721,0.006
2338.62409,15.717,0.006
2338.63710,15.718,0.006
2338.64942,15.719,0.006
2338.66032,15.722,0.006
2338.67121,15.720,0.006
2338.68216,15.714,0.006
2338.69302,15.716,0.006
2338.70388,15.723,0.006
2338.71492,15.720,0.006
2338.72577,15.720,0.006
2338.73667,15.718,0.006
2338.74757,15.721,0.006
