T,Flux,E
5387.79210,13.922,0.003
5387.80472,13.929,0.003
5387.81965,13.925,0.003
5387.83216,13.936,0.003
5387.84474,13.927,0.003
5388.46468,13.930,0.003
5388.47722,13.919,0.003
5388.48980,13.924,0.003
5388.50230,13.921,0.003
5388.51509,13.921,0.003
5388.52783,13.922,0.003
5388.56220,13.920,0.003
5388.60229,13.918,0.003
5388.63688,13.921,0.003
5388.67462,13.920,0.003
5388.70963,13.930,0.003
5388.74700,13.931,0.003
5388.76127,13.934,0.003
5388.77405,13.932,0.003
5388.78677,13.928,0.003
5388.80456,13.924,0.003
5388.81722,13.925,0.003
5388.83086,13.924,0.003
5388.84341,13.934,0.003
5389.46424,13.920,0.003
5389.47779,13.923,0.003
5389.49048,13.922,0.003
5389.50312,13.920,0.003
5389.51589,13.925,0.003
5389.52861,13.918,0.003
5389.54163,13.921,0.003
5389.57967,13.915,0.003
5389.61389,13.920,0.003
5389.64887,13.921,0.003
5389.68481,13.922,0.003
5389.71920,13.922,0.003
5389.75404,13.925,0.003
5389.76683,13.919,0.003
5389.77956,13.920,0.003
5389.79332,13.919,0.003
5389.80599,13.918,0.003
5389.82009,13.923,0.003
5389.83288,13.920,0.003
5389.84572,13.924,0.003
5390.46495,13.920,0.003
5390.51975,13.920,0.003
5390.53639,13.918,0.003
5390.54911,13.919,0.003
5390.56176,13.917,0.003
5390.58207,13.918,0.003
5390.59491,13.918,0.003
5390.60764,13.921,0.003
5390.64730,13.918,0.003
5390.66781,13.916,0.003
5390.68050,13.919,0.003
5390.69359,13.919,0.003
5390.71751,13.920,0.003
5390.73062,13.920,0.003
5390.74304,13.919,0.003
5390.75576,13.918,0.003
5390.76846,13.921,0.003
5390.78104,13.920,0.003
5390.79359,13.920,0.003
5390.80619,13.933,0.003
5390.81867,13.930,0.003
5391.46655,13.923,0.003
5391.49874,13.921,0.003
5391.51221,13.921,0.003
5391.52612,13.916,0.003
5391.53863,13.919,0.003
5391.55100,13.924,0.003
5391.56345,13.920,0.003
5391.57605,13.922,0.003
5391.61052,13.919,0.003
5391.64703,13.921,0.003
5391.68530,13.918,0.003
5391.71985,13.921,0.003
5391.75408,13.919,0.003
5391.79052,13.924,0.003
5391.80313,13.929,0.003
5391.81579,13.921,0.003
5391.82824,13.924,0.003
5391.84061,13.921,0.003
5392.46319,13.922,0.003
5392.47589,13.920,0.003
5392.48837,13.922,0.003
5392.50099,13.919,0.003
5392.51375,13.918,0.003
5392.52709,13.919,0.003
5392.53998,13.918,0.003
5392.55375,13.920,0.003
5392.58848,13.920,0.003
5392.62338,13.913,0.003
5392.66018,13.920,0.003
5392.69862,13.919,0.003
5392.73350,13.916,0.003
5392.76811,13.915,0.003
5392.78063,13.925,0.003
5392.79323,13.919,0.003
5392.80580,13.921,0.003
5392.81825,13.920,0.003
5392.83071,13.921,0.003
5393.62120,13.920,0.003
5393.63359,13.920,0.003
5393.64780,13.921,0.003
5393.66063,13.923,0.003
5393.67332,13.922,0.003
5393.68627,13.917,0.003
5393.69899,13.920,0.003
5393.71150,13.918,0.003
5393.72421,13.922,0.003
5393.73926,13.923,0.003
5393.75683,13.924,0.003
5393.76969,13.920,0.003
5393.78247,13.922,0.003
5393.79497,13.923,0.003
5393.80758,13.917,0.003
5393.82021,13.915,0.003
5393.83280,13.922,0.003
5395.80354,13.924,0.003
5395.81341,13.923,0.003
5395.82579,13.922,0.003
5396.52053,13.925,0.003
5396.53306,13.919,0.003
5396.56773,13.922,0.003
5396.59481,13.922,0.003
5396.60828,13.916,0.003
5396.62149,13.923,0.003
5396.65793,13.920,0.003
5396.67056,13.920,0.003
5396.70514,13.920,0.003
5396.71760,13.915,0.003
5396.75241,13.918,0.003
5396.76498,13.921,0.003
5396.77774,13.919,0.003
5396.79040,13.918,0.003
5396.80313,13.919,0.003
5397.58265,13.921,0.003
5397.59965,13.923,0.003
5397.61306,13.920,0.003
5397.63276,13.917,0.003
5397.64557,13.924,0.003
5397.65839,13.919,0.003
5397.67096,13.925,0.003
5397.68353,13.917,0.003
5397.69617,13.919,0.003
5397.70866,13.920,0.003
5402.51287,13.917,0.003
5402.52657,13.917,0.003
5402.64758,13.921,0.003
5402.67436,13.921,0.003
5403.46389,13.924,0.003
5403.47625,13.927,0.003
5403.48886,13.925,0.003
5403.50136,13.922,0.003
5403.51382,13.925,0.003
5403.52602,13.921,0.003
5403.53860,13.924,0.003
5403.55097,13.913,0.003
5403.56355,13.914,0.003
5403.57650,13.913,0.003
5403.58975,13.917,0.003
5403.60333,13.916,0.003
5403.61777,13.916,0.003
5403.63057,13.917,0.003
5403.64336,13.910,0.003
5403.65637,13.917,0.003
5403.66886,13.914,0.003
