T,Flux,E
2322.65366,15.546,0.006
2322.67119,15.550,0.006
2322.68206,15.545,0.006
2322.69298,15.539,0.006
2322.70390,15.548,0.006
2322.71475,15.552,0.006
2322.72567,15.554,0.004
2322.73761,15.544,0.004
2322.74847,15.551,0.004
2322.75935,15.547,0.004
2322.77022,15.547,0.004
2322.78111,15.549,0.004
2322.79196,15.547,0.004
2322.80375,15.548,0.004
2322.81467,15.553,0.006
2322.83647,15.546,0.006
2322.84742,15.547,0.006
2322.86239,15.550,0.006
2323.65973,15.542,0.006
2323.67064,15.551,0.006
2323.68156,15.553,0.006
2323.69251,15.549,0.006
2323.70343,15.553,0.006
2323.71718,15.551,0.004
2323.72809,15.549,0.004
2323.73895,15.550,0.004
2323.74985,15.543,0.004
2323.76077,15.552,0.004
2323.77591,15.545,0.004
2323.78679,15.553,0.004
2323.79770,15.546,0.004
2323.80862,15.543,0.004
2323.81951,15.545,0.004
2323.83040,15.547,0.004
2323.84258,15.544,0.004
2323.85344,15.549,0.006
2323.86439,15.545,0.006
2324.64072,15.552,0.006
2324.65580,15.557,0.006
2324.67008,15.547,0.006
2324.68097,15.554,0.006
2324.69496,15.556,0.004
2324.70584,15.553,0.006
2324.71672,15.549,0.006
2324.72762,15.558,0.004
2324.73866,15.549,0.004
2324.74959,15.554,0.006
2324.76572,15.551,0.004
2324.77661,15.546,0.004
2324.78749,15.546,0.004
2324.79839,15.549,0.004
2324.80930,15.551,0.004
2324.82295,15.561,0.006
2324.83571,15.560,0.006
2324.84977,15.556,0.006
2324.86069,15.547,0.006
2325.63924,15.551,0.006
2325.65020,15.550,0.006
2325.66548,15.548,0.006
2325.67987,15.549,0.006
2325.69383,15.555,0.006
2325.70480,15.547,0.006
2325.71569,15.546,0.006
2325.72656,15.557,0.006
2325.74128,15.555,0.004
2325.75218,15.555,0.004
2325.76308,15.559,0.004
2325.77515,15.551,0.004
2325.78609,15.543,0.004
2325.79699,15.551,0.004
2325.80792,15.541,0.006
2325.81885,15.553,0.006
2325.82973,15.549,0.006
2326.60550,15.546,0.006
2326.61640,15.539,0.006
2326.62729,15.548,0.006
2326.63819,15.548,0.006
2326.64904,15.550,0.006
2326.65995,15.551,0.006
2326.67124,15.557,0.006
2326.68215,15.548,0.006
2326.69301,15.546,0.006
2326.70389,15.550,0.006
2326.71481,15.561,0.006
2326.72570,15.556,0.006
2326.74589,15.559,0.006
2326.75679,15.547,0.006
2326.76769,15.557,0.006
2326.77862,15.546,0.006
2326.78953,15.547,0.006
2326.80045,15.547,0.006
2327.61235,15.556,0.006
2327.62321,15.550,0.006
2327.63414,15.541,0.006
2327.64507,15.549,0.006
2327.65598,15.551,0.006
2327.66690,15.557,0.006
2327.68165,15.548,0.006
2327.69255,15.551,0.006
2327.70344,15.552,0.004
2327.71434,15.552,0.004
2327.72527,15.544,0.004
2327.73618,15.545,0.004
2327.74736,15.549,0.004
2327.75824,15.544,0.004
2327.76919,15.544,0.004
2327.78006,15.553,0.004
2327.79093,15.551,0.004
2327.80180,15.556,0.006
2328.63116,15.555,0.006
2328.64205,15.551,0.004
2328.65296,15.546,0.004
2328.66381,15.551,0.004
2328.67476,15.548,0.004
2328.68564,15.546,0.004
2328.69693,15.550,0.004
2328.70780,15.539,0.004
2328.71865,15.550,0.004
2328.72952,15.553,0.004
2328.74040,15.561,0.004
2328.75129,15.553,0.004
2328.76257,15.530,0.003
2328.77349,15.555,0.004
2328.78435,15.553,0.004
2328.80617,15.557,0.004
2328.81709,15.553,0.004
2329.62086,15.555,0.006
2329.63174,15.544,0.006
2329.65356,15.546,0.006
2329.66450,15.545,0.006
2329.67547,15.558,0.006
2329.68753,15.548,0.006
2329.69844,15.547,0.006
2329.70934,15.557,0.006
2329.72025,15.553,0.004
2329.73108,15.553,0.006
2329.74200,15.558,0.004
2329.75339,15.558,0.006
2329.76432,15.546,0.004
2329.77520,15.545,0.006
2329.78610,15.560,0.006
2329.81535,15.542,0.004
2329.82627,15.554,0.004
2329.83716,15.549,0.006
2329.84806,15.554,0.006
2330.58985,15.553,0.006
2330.60073,15.544,0.006
2330.61161,15.542,0.006
2330.62249,15.546,0.006
2330.63336,15.549,0.006
2330.64428,15.553,0.006
2330.65535,15.541,0.006
2330.66621,15.561,0.006
2330.67708,15.550,0.006
2330.68797,15.559,0.006
2330.69886,15.557,0.006
2330.70976,15.559,0.006
2330.72725,15.558,0.006
2330.73815,15.552,0.006
2330.74902,15.546,0.006
2330.75993,15.555,0.006
2330.77083,15.548,0.006
2330.78171,15.547,0.006
2330.79291,15.556,0.006
2330.80384,15.550,0.006
