T,Flux,E
5376.62914,14.331,0.003
5376.64190,14.348,0.003
5376.65550,14.351,0.003
5376.66815,14.347,0.003
5376.68279,14.340,0.003
5376.69592,14.347,0.003
5376.70899,14.352,0.003
5376.72173,14.345,0.003
5376.73413,14.340,0.003
5376.74725,14.350,0.003
5376.76011,14.341,0.003
5376.77294,14.340,0.003
5376.78555,14.342,0.003
5376.79825,14.337,0.003
5376.81111,14.345,0.003
5376.82374,14.349,0.003
5376.83626,14.339,0.003
5376.84902,14.350,0.003
5376.86166,14.341,0.003
5376.87417,14.364,0.003
5377.51774,14.334,0.003
5377.53099,14.342,0.003
5377.54562,14.342,0.003
5377.55976,14.347,0.003
5377.57382,14.342,0.003
5377.58833,14.349,0.003
5377.60106,14.353,0.003
5377.61377,14.349,0.003
5377.62654,14.337,0.003
5377.64746,14.344,0.003
5377.66727,14.339,0.003
5377.68184,14.346,0.003
5377.70019,14.346,0.003
5377.71312,14.336,0.003
5377.73076,14.341,0.003
5377.74369,14.339,0.003
5377.75618,14.338,0.003
5377.77378,14.335,0.003
5377.78640,14.347,0.003
5377.79886,14.342,0.003
5377.81151,14.338,0.003
5377.82410,14.338,0.003
5377.83703,14.339,0.003
5377.84970,14.335,0.003
5377.86226,14.335,0.003
5378.49137,14.340,0.003
5378.50589,14.341,0.003
5378.52005,14.331,0.003
5378.53384,14.338,0.003
5378.54754,14.337,0.003
5378.56168,14.342,0.003
5378.57554,14.336,0.003
5378.58964,14.350,0.003
5378.60387,14.343,0.003
5378.61791,14.351,0.003
5378.63222,14.344,0.003
5378.64638,14.344,0.003
5378.66213,14.349,0.003
5378.67796,14.341,0.003
5378.69238,14.350,0.003
5378.70681,14.341,0.003
5378.72120,14.338,0.003
5378.73410,14.343,0.003
5378.74690,14.333,0.003
5378.75949,14.339,0.003
5378.77216,14.344,0.003
5378.78505,14.340,0.003
5378.79805,14.340,0.003
5379.48947,14.346,0.003
5379.50203,14.348,0.003
5379.51465,14.339,0.003
5379.52740,14.341,0.003
5379.54138,14.337,0.003
5379.55573,14.337,0.003
5379.57002,14.343,0.003
5379.58431,14.334,0.003
5379.59812,14.335,0.003
5379.61211,14.340,0.003
5379.62625,14.334,0.003
5379.64094,14.343,0.003
5379.65586,14.340,0.003
5379.68465,14.348,0.003
5379.72735,14.354,0.003
5380.50090,14.338,0.003
5380.51344,14.338,0.003
5380.52614,14.341,0.003
5380.53877,14.337,0.003
5380.55259,14.335,0.003
5380.56665,14.331,0.003
5380.58062,14.336,0.003
5380.59449,14.334,0.003
5380.60842,14.340,0.003
5380.62238,14.332,0.003
5380.63642,14.331,0.003
5380.65070,14.331,0.003
5380.66637,14.330,0.003
5380.68133,14.340,0.003
5380.69550,14.337,0.003
5380.70903,14.337,0.003
5380.72191,14.340,0.003
5380.73463,14.331,0.003
5380.74740,14.335,0.003
5380.76015,14.334,0.003
5380.77264,14.337,0.003
5380.78538,14.341,0.003
5380.79800,14.349,0.003
5380.81075,14.338,0.003
5380.82336,14.355,0.003
5380.83590,14.333,0.003
5380.84876,14.339,0.003
5381.52268,14.361,0.003
5381.53566,14.341,0.003
5381.54827,14.339,0.003
5381.56077,14.352,0.003
5381.57323,14.338,0.003
5381.58577,14.350,0.003
5381.59855,14.346,0.003
5381.61337,14.344,0.003
5381.64454,14.354,0.003
5381.65768,14.356,0.003
5381.67274,14.352,0.003
5381.68578,14.340,0.003
5381.69850,14.337,0.003
5381.71105,14.336,0.003
5381.72377,14.344,0.003
5381.73647,14.340,0.003
5381.74919,14.356,0.003
5381.76205,14.349,0.003
5381.78322,14.341,0.003
5381.79611,14.343,0.003
5381.80883,14.341,0.003
5381.82155,14.337,0.003
5381.83423,14.340,0.003
5381.84697,14.345,0.003
5381.85958,14.333,0.003
5382.52445,14.336,0.003
5382.53699,14.337,0.003
5382.54944,14.347,0.003
5382.56203,14.348,0.003
5382.58141,14.341,0.003
5382.59911,14.339,0.003
5382.61144,14.342,0.003
5382.62432,14.348,0.003
5382.63669,14.338,0.003
5382.64936,14.338,0.003
5382.66563,14.339,0.003
5382.67847,14.340,0.003
5382.69114,14.330,0.003
5382.70563,14.336,0.003
5382.71835,14.335,0.003
5382.73097,14.339,0.003
5382.74366,14.333,0.003
5382.75627,14.346,0.003
5382.76877,14.336,0.003
5382.78842,14.337,0.003
5382.80642,14.347,0.003
5382.81948,14.348,0.003
5382.83221,14.345,0.003
5383.69047,14.355,0.003
5383.74866,14.334,0.003
5383.77507,14.332,0.003
5384.77350,14.326,0.003
5384.78597,14.332,0.003
5384.79860,14.343,0.003
5384.81161,14.339,0.003
5384.84299,14.329,0.003
5384.85601,14.347,0.003
5385.46920,14.337,0.003
5385.48296,14.340,0.003
5385.49577,14.344,0.003
5385.50843,14.339,0.003
5385.56477,14.345,0.003
5386.46832,14.338,0.003
5386.49507,14.343,0.003
5386.52397,14.335,0.003
5386.57730,14.342,0.003
5387.46806,14.334,0.003
5387.50247,14.336,0.003
5387.53922,14.342,0.003
5387.57347,14.345,0.003
5387.61146,14.341,0.003
5387.64624,14.335,0.003
5388.46627,14.353,0.003
5388.47879,14.345,0.003
5388.49137,14.339,0.003
5388.50385,14.346,0.003
5388.51667,14.346,0.003
5388.52941,14.344,0.003
5388.56377,14.336,0.003
5388.60388,14.335,0.003
5388.63846,14.340,0.003
5388.67619,14.324,0.003
5388.71119,14.342,0.003
5389.46582,14.349,0.003
5389.47937,14.346,0.003
5389.49206,14.337,0.003
5389.50470,14.353,0.003
5389.51746,14.334,0.003
5389.53019,14.337,0.003
5389.54320,14.331,0.003
5389.58125,14.337,0.003
5389.61554,14.333,0.003
5389.65044,14.339,0.003
5389.68639,14.334,0.003
5389.72078,14.339,0.003
5390.46652,14.344,0.003
5390.52133,14.347,0.003
5390.53797,14.350,0.003
5390.55069,14.342,0.003
5390.56334,14.336,0.003
5390.58364,14.343,0.003
5390.59649,14.343,0.003
5390.64888,14.339,0.003
5390.66938,14.348,0.003
5390.68208,14.340,0.003
5390.69517,14.336,0.003
5390.71908,14.334,0.003
5390.73220,14.327,0.003
5390.74463,14.335,0.003
5390.75734,14.333,0.003
5390.77004,14.333,0.003
5390.78262,14.335,0.003
5390.79517,14.346,0.003
5390.80775,14.336,0.003
5390.82025,14.339,0.003
5391.46813,14.335,0.003
5391.50032,14.344,0.003
5391.51379,14.333,0.003
5391.52769,14.342,0.003
5391.54023,14.354,0.003
5391.55259,14.358,0.003
5391.56503,14.347,0.003
5391.57763,14.339,0.003
5391.61218,14.334,0.003
5391.64863,14.342,0.003
5391.68689,14.336,0.003
5391.72144,14.340,0.003
5391.75566,14.339,0.003
5392.46476,14.340,0.003
5392.47747,14.340,0.003
5392.48994,14.343,0.003
5392.50258,14.337,0.003
5392.51532,14.333,0.003
5392.52867,14.338,0.003
5392.54156,14.339,0.003
5392.55533,14.340,0.003
5392.59010,14.335,0.003
5392.62498,14.329,0.003
5392.66176,14.334,0.003
5392.70022,14.338,0.003
5392.73508,14.337,0.003
5392.76971,14.338,0.003
5392.78222,14.335,0.003
5392.79481,14.338,0.003
5392.80738,14.341,0.003
5392.81982,14.341,0.003
5393.62276,14.344,0.003
5393.63518,14.347,0.003
5393.64938,14.348,0.003
5393.66222,14.349,0.003
5393.67491,14.335,0.003
5393.68785,14.333,0.003
5393.70058,14.348,0.003
5393.71310,14.350,0.003
5393.72578,14.347,0.003
5393.74085,14.363,0.003
5393.75843,14.353,0.003
5393.77128,14.358,0.003
5393.78406,14.337,0.003
5393.79656,14.336,0.003
5393.80916,14.335,0.003
5393.82179,14.343,0.003
5393.83440,14.349,0.003
5395.80511,14.343,0.003
5395.81500,14.338,0.003
5395.82738,14.359,0.003
5396.52212,14.339,0.003
5396.53467,14.335,0.003
5396.56933,14.330,0.003
5396.59641,14.332,0.003
5396.60986,14.332,0.003
5396.62308,14.337,0.003
5396.65952,14.331,0.003
5396.67216,14.332,0.003
5396.70674,14.338,0.003
5396.71919,14.330,0.003
5396.75400,14.328,0.003
5396.76657,14.328,0.003
5396.77933,14.333,0.003
5396.79199,14.342,0.003
5396.80472,14.338,0.003
5397.58449,14.335,0.003
5397.60125,14.333,0.003
5397.61466,14.343,0.003
5397.64729,14.340,0.003
5397.66000,14.345,0.003
5397.67255,14.346,0.003
5397.68511,14.336,0.003
