T,Flux,E
5378.82481,15.417,0.004
5378.86471,15.422,0.004
5379.76948,15.414,0.004
5379.80736,15.422,0.004
5379.84544,15.427,0.004
5385.83558,15.427,0.004
5386.68088,15.415,0.004
5386.73076,15.420,0.003
5386.76911,15.421,0.003
5386.80833,15.422,0.004
5387.71312,15.417,0.003
5387.75145,15.418,0.004
5387.79520,15.417,0.004
5387.83528,15.423,0.004
5388.75013,15.426,0.004
5388.78988,15.428,0.004
5388.83399,15.430,0.004
5389.77145,15.424,0.004
5389.81063,15.415,0.004
5389.85035,15.419,0.004
5391.79669,15.412,0.005
5447.62211,15.426,0.004
5449.58187,15.424,0.004
5463.59016,15.424,0.004
5653.78839,15.418,0.003
5654.79375,15.422,0.004
5654.83983,15.428,0.004
5654.88397,15.424,0.003
5655.87368,15.416,0.003
5656.85059,15.411,0.003
5657.84001,15.416,0.003
5657.88618,15.419,0.003
5658.79538,15.416,0.004
5659.82503,15.420,0.004
5659.86937,15.417,0.003
5659.91538,15.418,0.003
5660.74275,15.437,0.004
5660.78728,15.427,0.004
5660.82898,15.424,0.003
5662.83934,15.424,0.004
5662.87803,15.422,0.003
5664.78462,15.427,0.004
5664.84480,15.429,0.004
5664.88527,15.427,0.004
5664.92767,15.406,0.004
5665.75170,15.423,0.004
5665.79741,15.413,0.003
5665.86161,15.420,0.003
5665.90930,15.415,0.003
5667.75851,15.408,0.003
5667.81044,15.415,0.003
5667.85265,15.417,0.003
5667.90612,15.422,0.003
5668.81251,15.424,0.004
5668.87097,15.429,0.004
5668.91177,15.432,0.004
5669.75284,15.408,0.003
5669.79987,15.427,0.003
5669.85016,15.423,0.003
5669.90158,15.419,0.004
5670.73553,15.417,0.004
5670.77450,15.421,0.004
5670.83824,15.424,0.004
5670.88067,15.412,0.004
5670.92065,15.417,0.004
5675.75824,15.425,0.004
5675.79673,15.428,0.004
5675.85446,15.425,0.004
5675.90987,15.425,0.004
5676.72351,15.414,0.003
5676.76293,15.429,0.003
5676.80232,15.414,0.003
5676.86251,15.415,0.003
5677.75952,15.421,0.003
5677.80183,15.423,0.004
5677.86267,15.418,0.003
5679.72364,15.421,0.003
5679.77423,15.420,0.003
5679.81676,15.423,0.004
5679.86859,15.413,0.003
5680.74752,15.419,0.004
5680.79739,15.421,0.004
5680.85178,15.411,0.003
5681.69881,15.422,0.004
5681.73761,15.424,0.003
5681.78888,15.419,0.004
5681.84193,15.416,0.003
5682.72872,15.418,0.004
5682.77734,15.421,0.003
5682.82943,15.414,0.003
5683.70972,15.421,0.003
5683.78899,15.421,0.003
5684.69201,15.422,0.003
5684.74227,15.419,0.003
5684.79229,15.424,0.003
5685.81789,15.411,0.003
5686.72824,15.422,0.003
