T,Flux,E
5376.62611,14.723,0.003
5376.63884,14.726,0.003
5376.65245,14.731,0.004
5376.66509,14.730,0.004
5376.67973,14.739,0.003
5376.69289,14.729,0.003
5376.70595,14.721,0.003
5376.71870,14.728,0.003
5376.73108,14.734,0.003
5376.74421,14.722,0.003
5376.75706,14.721,0.004
5376.76991,14.724,0.003
5376.78250,14.722,0.003
5376.79523,14.726,0.003
5376.80805,14.730,0.003
5376.82069,14.725,0.003
5376.83323,14.724,0.003
5376.84598,14.771,0.003
5376.85861,14.727,0.003
5376.87112,14.746,0.004
5377.51471,14.719,0.004
5377.52797,14.727,0.003
5377.54077,14.729,0.003
5377.55672,14.723,0.003
5377.57079,14.722,0.003
5377.58530,14.733,0.004
5377.59804,14.726,0.004
5377.61073,14.731,0.004
5377.62348,14.726,0.003
5377.64441,14.722,0.003
5377.66422,14.728,0.003
5377.67879,14.724,0.003
5377.69706,14.728,0.003
5377.71007,14.726,0.003
5377.72774,14.753,0.003
5377.74063,14.762,0.003
5377.75313,14.767,0.003
5377.77074,14.770,0.003
5377.78335,14.763,0.003
5377.79583,14.768,0.003
5377.80847,14.759,0.003
5377.82104,14.763,0.003
5377.83401,14.762,0.003
5377.84668,14.749,0.003
5377.85922,14.731,0.003
5378.48834,14.724,0.003
5378.50287,14.718,0.003
5378.51700,14.723,0.003
5378.53079,14.722,0.003
5378.54450,14.720,0.003
5378.55864,14.715,0.003
5378.57252,14.723,0.003
5378.58659,14.721,0.003
5378.60084,14.721,0.003
5378.61488,14.721,0.003
5378.62918,14.729,0.003
5378.64332,14.736,0.003
5378.65908,14.721,0.003
5378.67491,14.720,0.003
5378.68918,14.728,0.003
5378.70367,14.729,0.003
5378.71815,14.730,0.003
5378.73106,14.731,0.003
5378.74386,14.725,0.003
5378.75647,14.726,0.003
5378.76910,14.728,0.003
5379.48641,14.713,0.003
5379.49900,14.725,0.003
5379.51160,14.719,0.003
5379.52435,14.718,0.003
5379.53835,14.726,0.003
5379.55269,14.723,0.003
5379.56700,14.723,0.003
5379.58126,14.722,0.003
5379.59509,14.721,0.003
5379.60906,14.726,0.003
5379.62322,14.722,0.003
5379.63789,14.724,0.003
5379.65281,14.722,0.003
5379.68162,14.728,0.003
5379.71019,14.728,0.003
5379.72430,14.721,0.003
5380.49787,14.720,0.003
5380.51041,14.727,0.003
5380.52310,14.721,0.003
5380.53571,14.715,0.003
5380.54955,14.719,0.003
5380.56359,14.725,0.003
5380.57757,14.724,0.003
5380.59147,14.720,0.003
5380.60540,14.723,0.003
5380.61934,14.719,0.003
5380.63337,14.724,0.003
5380.64767,14.723,0.003
5380.66335,14.723,0.003
5380.67831,14.721,0.003
5380.69246,14.728,0.003
5380.70597,14.723,0.003
5380.71889,14.725,0.003
5380.73158,14.726,0.003
5380.74435,14.728,0.003
5380.75711,14.728,0.003
5380.76961,14.731,0.003
5380.78233,14.726,0.003
5380.79497,14.730,0.003
5380.80771,14.720,0.003
5380.83286,14.724,0.004
5380.84572,14.730,0.004
5381.51964,14.712,0.004
5381.53261,14.734,0.004
5381.54522,14.731,0.003
5381.55773,14.716,0.003
5381.57017,14.712,0.003
5381.58274,14.713,0.004
5381.59552,14.731,0.004
5381.61033,14.723,0.004
5381.64153,14.725,0.004
5381.65465,14.718,0.004
5381.66891,14.716,0.003
5381.68275,14.719,0.003
5381.69545,14.718,0.003
5381.70803,14.717,0.003
5381.72072,14.730,0.004
5381.73344,14.726,0.003
5381.74613,14.726,0.004
5381.75902,14.719,0.004
5381.77164,14.744,0.004
5381.79307,14.733,0.004
5381.80579,14.732,0.003
5381.81849,14.729,0.003
5381.83118,14.727,0.004
5381.84393,14.734,0.004
5381.85655,14.732,0.004
5382.52142,14.720,0.003
5382.53396,14.720,0.003
5382.54641,14.712,0.004
5382.55898,14.720,0.004
5382.57834,14.725,0.004
5382.59604,14.707,0.004
5382.60841,14.726,0.004
5382.62127,14.716,0.003
5382.63364,14.730,0.004
5382.64633,14.726,0.003
5382.66260,14.724,0.003
5382.67542,14.719,0.003
5382.68811,14.711,0.003
5382.70259,14.717,0.003
5382.71531,14.718,0.003
5382.72793,14.718,0.003
5382.74063,14.713,0.003
5382.75321,14.711,0.004
5382.76572,14.708,0.004
5382.78536,14.719,0.004
5382.80340,14.710,0.004
5382.81644,14.721,0.004
5382.82915,14.721,0.004
5383.68744,14.713,0.004
5383.74562,14.720,0.004
5383.75829,14.719,0.004
5384.53349,14.724,0.004
5384.77045,14.721,0.003
5384.78294,14.710,0.004
5384.79557,14.715,0.004
5384.80859,14.718,0.004
5384.83994,14.710,0.004
5384.85299,14.723,0.004
5385.46616,14.723,0.003
5385.47924,14.723,0.003
5385.49274,14.728,0.003
5385.50539,14.716,0.003
5385.56173,14.714,0.003
5386.46528,14.727,0.003
5386.49714,14.723,0.003
5386.52095,14.720,0.003
5386.57937,14.731,0.003
5386.60305,14.734,0.003
5387.46503,14.726,0.003
5387.49942,14.723,0.003
5387.53620,14.720,0.003
5387.57043,14.728,0.003
5387.60842,14.714,0.003
5388.46320,14.747,0.004
5388.47576,14.767,0.003
5388.48832,14.763,0.003
5388.50083,14.762,0.003
5388.51362,14.761,0.003
5388.52636,14.744,0.003
5388.56074,14.728,0.003
5388.60083,14.718,0.003
5389.46278,14.719,0.004
5389.47631,14.717,0.004
5389.48904,14.721,0.004
5389.50165,14.722,0.003
5389.51443,14.709,0.003
5389.52714,14.723,0.003
5389.54015,14.731,0.003
5389.57820,14.726,0.003
5389.61243,14.724,0.003
5389.64692,14.721,0.003
5390.46350,14.729,0.004
5390.51829,14.733,0.004
5390.53495,14.737,0.004
5390.54764,14.764,0.004
5390.56030,14.760,0.003
5390.58061,14.759,0.003
5390.59346,14.758,0.003
5390.60619,14.771,0.004
5390.64584,14.766,0.003
5390.66635,14.740,0.003
5390.67897,14.738,0.004
5390.69211,14.731,0.003
5390.71603,14.722,0.003
5390.72915,14.735,0.003
5390.74158,14.730,0.003
5390.75430,14.724,0.003
5390.76698,14.730,0.003
5390.77958,14.724,0.003
5390.79214,14.727,0.003
5390.80472,14.742,0.003
5390.81721,14.726,0.003
5390.82965,14.743,0.004
5391.46963,14.708,0.004
5391.50184,14.731,0.004
5391.51530,14.722,0.003
5391.52920,14.720,0.003
5391.54172,14.734,0.004
5391.55409,14.726,0.004
5391.56654,14.745,0.004
