T,Flux,E
2324.64795,15.864,0.006
2324.66305,15.858,0.006
2324.67734,15.864,0.006
2324.68826,15.861,0.006
2324.70218,15.855,0.006
2324.71306,15.857,0.006
2324.72399,15.857,0.006
2324.73489,15.864,0.006
2324.74592,15.868,0.006
2324.76154,15.871,0.006
2324.77295,15.874,0.006
2324.78389,15.867,0.006
2324.79474,15.873,0.006
2324.80565,15.867,0.006
2324.81660,15.872,0.006
2324.83020,15.873,0.006
2324.84574,15.868,0.006
2324.85703,15.861,0.007
2324.86795,15.870,0.007
2325.64652,15.858,0.007
2325.65744,15.863,0.007
2325.67270,15.864,0.007
2325.68710,15.867,0.006
2325.70114,15.870,0.006
2325.71205,15.867,0.006
2325.72292,15.864,0.006
2325.73381,15.866,0.006
2325.74851,15.858,0.006
2325.75945,15.863,0.006
2325.77123,15.858,0.006
2325.78243,15.857,0.006
2325.79336,15.860,0.006
2325.80426,15.855,0.006
2325.81517,15.859,0.006
2325.82610,15.857,0.006
2326.61275,15.858,0.007
2326.62363,15.852,0.007
2326.63451,15.857,0.006
2326.64543,15.860,0.006
2326.65626,15.866,0.006
2326.66719,15.868,0.006
2326.67850,15.855,0.006
2326.68938,15.859,0.006
2326.70025,15.863,0.006
2326.71116,15.855,0.006
2326.72206,15.869,0.007
2326.73297,15.865,0.007
2326.75315,15.849,0.006
2326.76403,15.862,0.006
2326.77496,15.853,0.006
2326.78591,15.864,0.006
2326.79680,15.862,0.006
2326.80769,15.865,0.006
2327.61958,15.862,0.007
2327.63048,15.860,0.007
2327.64141,15.868,0.007
2327.65232,15.859,0.006
2327.66325,15.866,0.006
2327.67413,15.860,0.006
2327.68891,15.859,0.006
2327.69981,15.861,0.006
2327.71071,15.859,0.006
2327.72161,15.856,0.006
2327.73252,15.859,0.006
2327.74340,15.853,0.006
2327.75462,15.859,0.006
2327.76552,15.862,0.006
2327.77643,15.858,0.006
2327.78731,15.856,0.006
2327.79815,15.870,0.006
2327.80904,15.857,0.006
2328.63840,15.866,0.006
2328.64930,15.862,0.006
2328.66019,15.866,0.006
2328.67110,15.860,0.006
2328.68201,15.856,0.006
2328.69286,15.859,0.006
2328.70418,15.855,0.006
2328.71503,15.871,0.006
2328.72589,15.868,0.006
2328.73678,15.867,0.006
2328.74765,15.875,0.006
2328.75855,15.865,0.004
2328.76984,15.867,0.004
2328.78070,15.873,0.006
2328.80254,15.862,0.006
2328.81344,15.867,0.006
2329.62812,15.859,0.006
2329.63900,15.859,0.006
2329.64991,15.856,0.006
2329.66080,15.863,0.006
2329.67184,15.866,0.006
2329.68275,15.852,0.006
2329.69479,15.859,0.006
