T,Flux,E
5376.62611,15.290,0.004
5376.63884,15.303,0.004
5376.65245,15.306,0.005
5376.66509,15.294,0.005
5376.67973,15.298,0.004
5376.69289,15.289,0.004
5376.70595,15.294,0.004
5376.71870,15.306,0.004
5376.73108,15.298,0.004
5376.74421,15.289,0.004
5376.75706,15.301,0.005
5376.76991,15.295,0.004
5376.78250,15.300,0.004
5376.79523,15.296,0.004
5376.80805,15.293,0.004
5376.82069,15.296,0.004
5376.83323,15.303,0.005
5376.84598,15.298,0.005
5376.85861,15.304,0.005
5376.87112,15.288,0.005
5377.51471,15.303,0.004
5377.52797,15.306,0.004
5377.54077,15.297,0.004
5377.55672,15.297,0.004
5377.57079,15.307,0.004
5377.58530,15.297,0.004
5377.59804,15.297,0.005
5377.61073,15.299,0.005
5377.62348,15.287,0.004
5377.64441,15.298,0.004
5377.66422,15.292,0.004
5377.67879,15.299,0.004
5377.69706,15.304,0.004
5377.71007,15.292,0.004
5377.72774,15.296,0.004
5377.74063,15.289,0.004
5377.75313,15.294,0.004
5377.77074,15.298,0.004
5377.78335,15.291,0.004
5377.79583,15.297,0.004
5377.80847,15.301,0.004
5377.82104,15.303,0.004
5377.83401,15.304,0.004
5377.84668,15.299,0.004
5377.85922,15.294,0.004
5378.48834,15.307,0.004
5378.50287,15.298,0.004
5378.51700,15.296,0.004
5378.53079,15.299,0.004
5378.54450,15.299,0.004
5378.55864,15.280,0.004
5378.57252,15.299,0.004
5378.58659,15.297,0.004
5378.60084,15.295,0.004
5378.61488,15.292,0.004
5378.62918,15.290,0.004
5378.64332,15.286,0.004
5378.65908,15.295,0.003
5378.67491,15.302,0.004
5378.68918,15.298,0.004
5378.70367,15.292,0.004
5378.71815,15.291,0.004
5378.73106,15.299,0.003
5378.74386,15.292,0.003
5378.75647,15.297,0.004
5378.76910,15.295,0.003
5378.78199,15.295,0.003
5378.79500,15.295,0.004
5378.80758,15.298,0.004
5378.82023,15.293,0.004
5378.83486,15.289,0.004
5378.84752,15.294,0.004
5378.86016,15.304,0.004
5378.87257,15.298,0.004
5379.48641,15.301,0.004
5379.49900,15.299,0.004
5379.51160,15.297,0.004
5379.52435,15.300,0.004
5379.53835,15.299,0.004
5379.55269,15.302,0.004
5379.56700,15.299,0.004
5379.58126,15.296,0.004
5379.59509,15.303,0.004
5379.60906,15.295,0.004
5379.62322,15.292,0.004
5379.63789,15.297,0.004
5379.65281,15.301,0.004
5379.66733,15.286,0.004
5379.68162,15.291,0.004
5379.69596,15.292,0.004
5379.71019,15.294,0.004
5379.72430,15.295,0.004
5379.73830,15.297,0.004
5379.75089,15.297,0.004
5379.76342,15.290,0.004
5379.77592,15.295,0.004
5379.78849,15.287,0.004
5379.80128,15.302,0.004
5379.81385,15.286,0.004
5379.82629,15.297,0.004
5379.83936,15.303,0.004
5379.85196,15.305,0.005
5379.86731,15.293,0.005
5380.49787,15.297,0.004
5380.51041,15.296,0.004
5380.52310,15.293,0.004
5380.53571,15.292,0.004
5380.54955,15.297,0.004
5380.56359,15.299,0.004
5380.57757,15.295,0.004
5380.59147,15.297,0.004
5380.60540,15.301,0.004
5380.61934,15.287,0.003
5380.63337,15.296,0.003
5380.64767,15.295,0.004
5380.66335,15.297,0.004
5380.67831,15.291,0.004
5380.69246,15.297,0.004
5380.70597,15.298,0.004
5380.71889,15.291,0.004
5380.73158,15.292,0.004
5380.74435,15.294,0.004
5380.75711,15.297,0.004
5380.76961,15.295,0.004
5380.78233,15.288,0.004
5380.79497,15.298,0.004
5380.80771,15.302,0.004
5380.82030,15.303,0.005
5380.83286,15.299,0.004
5380.84572,15.295,0.005
5381.51964,15.308,0.005
5381.53261,15.305,0.005
5381.54522,15.301,0.004
5381.55773,15.311,0.004
5381.57017,15.297,0.004
5381.58274,15.301,0.005
5381.59552,15.305,0.005
5381.61033,15.303,0.005
5381.64153,15.312,0.005
5381.65465,15.304,0.004
5381.66891,15.297,0.004
5381.68275,15.306,0.004
5381.69545,15.300,0.004
5381.70803,15.302,0.004
5381.72072,15.299,0.005
5381.73344,15.303,0.004
5381.74613,15.297,0.005
5381.75902,15.293,0.004
5381.77164,15.299,0.005
5381.79307,15.291,0.004
5381.80579,15.296,0.004
5381.81849,15.305,0.004
5381.83118,15.292,0.005
5381.84393,15.301,0.004
5381.85655,15.296,0.005
5382.52142,15.298,0.004
5382.53396,15.305,0.004
5382.54641,15.298,0.004
5382.55898,15.299,0.005
5382.57834,15.301,0.005
5382.59604,15.303,0.005
5382.60841,15.295,0.005
5382.62127,15.302,0.004
5382.63364,15.302,0.005
5382.64633,15.296,0.004
5382.66260,15.295,0.004
5382.67542,15.300,0.004
5382.68811,15.302,0.004
5382.70259,15.304,0.004
5382.71531,15.293,0.004
5382.72793,15.295,0.004
5382.74063,15.296,0.004
5382.75321,15.298,0.004
5382.76572,15.297,0.004
5382.78536,15.292,0.005
5382.80340,15.292,0.005
5382.81644,15.309,0.005
5382.82915,15.295,0.005
5383.68744,15.302,0.005
5383.74562,15.294,0.004
5383.75829,15.302,0.005
5384.53349,15.300,0.005
5384.77045,15.293,0.004
5384.78294,15.300,0.005
5384.79557,15.303,0.005
5384.80859,15.302,0.005
5384.83994,15.299,0.005
5384.85299,15.299,0.005
5385.46616,15.304,0.004
5385.47924,15.302,0.004
5385.49274,15.300,0.004
5385.50539,15.295,0.004
5385.56173,15.298,0.003
5385.70780,15.300,0.004
5385.80591,15.295,0.003
5385.81846,15.293,0.003
5385.83103,15.295,0.003
5385.84345,15.291,0.004
5385.85621,15.294,0.004
5386.46528,15.300,0.004
5386.49714,15.295,0.004
5386.52095,15.293,0.004
5386.57937,15.289,0.004
5386.60305,15.285,0.004
5386.66341,15.292,0.004
5386.68730,15.297,0.004
5386.72621,15.290,0.003
5386.73889,15.294,0.004
5386.75166,15.297,0.004
5386.76455,15.303,0.004
5386.77717,15.271,0.003
5386.79108,15.300,0.004
5386.80373,15.291,0.004
5386.82019,15.291,0.004
5386.83300,15.295,0.004
5387.46503,15.297,0.004
5387.49942,15.293,0.004
5387.53620,15.289,0.003
5387.57043,15.291,0.003
5387.60842,15.294,0.003
5387.64318,15.290,0.003
5387.68264,15.290,0.003
5387.69554,15.301,0.003
5387.70853,15.291,0.003
5387.72130,15.294,0.003
5387.73397,15.286,0.003
5387.74684,15.284,0.003
5387.76205,15.290,0.004
5387.77480,15.290,0.004
5387.79061,15.296,0.004
5387.80326,15.301,0.004
5387.81818,15.294,0.004
5387.83069,15.295,0.004
5387.84326,15.295,0.004
5388.46320,15.303,0.005
5388.47576,15.293,0.004
5388.48832,15.301,0.004
5388.50083,15.298,0.004
5388.51362,15.296,0.004
5388.52636,15.297,0.004
5388.56074,15.304,0.004
5388.60083,15.289,0.004
5388.63542,15.288,0.004
5388.67314,15.298,0.004
5388.70816,15.291,0.004
5388.74553,15.294,0.004
5388.75823,15.299,0.004
5388.77258,15.296,0.004
5388.78530,15.290,0.004
5388.80309,15.295,0.004
5388.81576,15.301,0.004
5388.82940,15.300,0.004
5388.84194,15.299,0.004
5389.46278,15.297,0.005
5389.47631,15.294,0.005
5389.48904,15.300,0.005
5389.50165,15.299,0.004
5389.51443,15.305,0.004
5389.52714,15.298,0.004
5389.54015,15.298,0.004
5389.57820,15.293,0.004
5389.61243,15.294,0.004
5389.64692,15.295,0.004
5389.68336,15.291,0.004
5389.71775,15.289,0.004
5389.75257,15.294,0.004
5389.76536,15.305,0.004
5389.77809,15.294,0.004
5389.79184,15.297,0.004
5389.80454,15.296,0.004
5389.81863,15.296,0.004
5389.83141,15.296,0.004
5389.84426,15.291,0.004
5390.46350,15.302,0.006
5390.51829,15.295,0.005
5390.53495,15.300,0.004
5390.54764,15.301,0.004
5390.56030,15.305,0.004
5390.58061,15.298,0.004
5390.59346,15.297,0.004
5390.60619,15.294,0.005
5390.64584,15.290,0.004
5390.66635,15.292,0.004
5390.67897,15.296,0.005
5390.69211,15.298,0.004
5390.71603,15.290,0.004
5390.72915,15.293,0.004
5390.74158,15.302,0.004
5390.75430,15.292,0.004
5390.76698,15.291,0.004
5390.77958,15.297,0.004
5390.79214,15.296,0.004
5390.80472,15.296,0.004
5390.81721,15.294,0.004
5390.82965,15.295,0.004
5391.46963,15.297,0.005
5391.50184,15.293,0.004
5391.51530,15.300,0.004
5391.52920,15.290,0.004
5391.54172,15.290,0.004
5391.55409,15.300,0.005
5391.56654,15.303,0.005
5391.57912,15.292,0.004
5391.61366,15.291,0.004
5391.65011,15.292,0.004
5391.68838,15.290,0.004
5391.72292,15.300,0.004
5391.75716,15.295,0.004
5391.79361,15.298,0.004
5391.80623,15.300,0.004
5391.81885,15.290,0.004
5391.83135,15.299,0.004
5391.84369,15.290,0.004
5392.46626,15.299,0.004
5392.47897,15.288,0.004
5392.49144,15.294,0.004
5392.50408,15.298,0.004
5392.51684,15.294,0.004
5392.53017,15.299,0.004
5392.54306,15.302,0.004
5392.55682,15.296,0.004
5392.59160,15.299,0.004
5392.62646,15.297,0.004
5392.66324,15.291,0.004
5392.70172,15.296,0.004
5392.73657,15.292,0.004
5392.77119,15.292,0.004
5392.78370,15.296,0.004
5392.79630,15.297,0.004
5392.80887,15.297,0.004
5392.82133,15.291,0.004
5392.83379,15.303,0.004
5393.62426,15.296,0.005
5393.63669,15.311,0.004
5393.65088,15.298,0.004
5393.66372,15.289,0.005
5393.67640,15.299,0.004
5393.68936,15.298,0.004
5393.70206,15.301,0.004
5393.71460,15.298,0.004
5393.72729,15.296,0.004
5393.74235,15.293,0.005
5393.75993,15.302,0.005
5393.77278,15.294,0.004
5393.78557,15.307,0.004
5393.79805,15.285,0.004
5393.81065,15.300,0.005
5393.82330,15.302,0.005
5395.80661,15.295,0.004
5395.81652,15.294,0.004
5395.82889,15.300,0.005
5396.52363,15.297,0.004
5396.53617,15.291,0.005
5396.57082,15.301,0.004
5396.59792,15.292,0.004
5396.61137,15.296,0.004
5396.62458,15.295,0.004
5396.66103,15.295,0.004
5396.67365,15.290,0.004
5396.70824,15.293,0.004
5396.72069,15.294,0.004
5396.75549,15.293,0.004
5396.76807,15.295,0.004
5396.78081,15.297,0.004
5396.79350,15.297,0.004
5396.80623,15.307,0.004
5397.58599,15.295,0.005
5397.60274,15.307,0.004
5397.61615,15.305,0.005
5397.63584,15.293,0.005
5397.64880,15.302,0.004
5397.66147,15.300,0.004
5397.67406,15.291,0.004
5397.68662,15.306,0.005
5397.69927,15.290,0.004
5397.71177,15.295,0.005
5402.51595,15.305,0.007
5402.60679,15.292,0.009
5402.65067,15.286,0.005
5402.68053,15.290,0.005
5403.46700,15.296,0.004
5403.47936,15.293,0.004
5403.49198,15.297,0.004
5403.50445,15.295,0.004
5403.51694,15.296,0.004
5403.52914,15.291,0.004
5403.54169,15.292,0.004
5403.55408,15.292,0.004
5403.56665,15.298,0.004
5403.57960,15.292,0.004
5403.59285,15.291,0.004
5403.60645,15.298,0.004
5403.62089,15.300,0.004
5403.63368,15.293,0.004
5403.64647,15.288,0.004
5403.65948,15.290,0.004
5403.67195,15.296,0.004
5403.68453,15.296,0.004
5403.69728,15.302,0.004
5403.71280,15.294,0.004
5403.72552,15.301,0.004
5403.73810,15.295,0.004
5403.75071,15.297,0.004
5403.76333,15.296,0.004
5403.77603,15.300,0.005
5403.78856,15.310,0.005
5404.46725,15.296,0.004
5404.47980,15.297,0.004
5404.49245,15.292,0.004
5404.50515,15.293,0.004
5404.51767,15.296,0.004
5404.53027,15.298,0.004
5404.54295,15.299,0.004
5404.55547,15.301,0.004
5404.56798,15.295,0.004
5404.58076,15.295,0.004
5404.59386,15.300,0.004
5404.60778,15.296,0.004
5404.62129,15.290,0.004
5404.63647,15.301,0.004
5404.64992,15.298,0.004
5404.66333,15.294,0.004
5404.67603,15.290,0.004
5404.68981,15.296,0.004
5404.70226,15.295,0.004
5404.71491,15.305,0.004
5404.72761,15.297,0.004
5404.74177,15.291,0.004
5404.75442,15.306,0.004
