T,Flux,E
2072.60390,15.298,0.007
2072.61385,15.300,0.006
2072.62520,15.312,0.006
2072.63380,15.299,0.006
2072.64243,15.302,0.006
2072.65786,15.315,0.006
2072.66651,15.311,0.006
2072.67516,15.314,0.006
2072.68381,15.318,0.006
2072.69247,15.315,0.006
2072.70112,15.313,0.006
2072.73121,15.297,0.006
2072.74842,15.302,0.006
2072.75703,15.291,0.006
2072.76565,15.298,0.006
2072.77427,15.303,0.006
2072.78329,15.302,0.006
2072.79189,15.293,0.006
2072.80052,15.295,0.006
2072.80915,15.299,0.006
2072.81776,15.297,0.006
2072.82639,15.310,0.006
2072.83592,15.294,0.006
2072.84479,15.300,0.006
2072.85392,15.305,0.006
2072.86477,15.294,0.006
2072.87336,15.296,0.006
2072.88731,15.298,0.007
2072.89614,15.305,0.007
2072.90474,15.311,0.007
2072.91329,15.297,0.007
2073.58520,15.316,0.006
2073.60056,15.299,0.006
2073.60916,15.310,0.006
2073.61777,15.312,0.006
2073.62639,15.309,0.006
2073.63500,15.309,0.006
2073.64361,15.298,0.006
2073.65242,15.302,0.006
2073.66102,15.305,0.004
2073.68050,15.302,0.006
2073.68916,15.300,0.006
2073.69778,15.304,0.006
2073.70640,15.295,0.006
2073.71505,15.306,0.006
2073.72367,15.297,0.006
2073.74170,15.305,0.006
2073.75026,15.307,0.006
2073.75886,15.308,0.006
2073.76745,15.302,0.006
2073.77607,15.302,0.006
2073.78931,15.286,0.006
2073.81198,15.304,0.006
2073.82778,15.294,0.006
2073.83681,15.307,0.007
2073.85200,15.309,0.006
2073.86058,15.313,0.006
2073.86917,15.310,0.006
2073.87777,15.314,0.006
2073.88637,15.312,0.006
2073.89988,15.313,0.006
2073.90844,15.327,0.006
2074.57918,15.299,0.006
2074.58778,15.297,0.006
2074.59640,15.304,0.006
2074.60501,15.303,0.006
2074.61365,15.297,0.006
2074.62228,15.299,0.006
2074.63139,15.300,0.007
2074.64000,15.292,0.007
2074.64859,15.297,0.006
2074.65720,15.304,0.007
2074.66587,15.308,0.006
2074.67452,15.307,0.006
2074.68339,15.300,0.006
2074.70572,15.300,0.006
2074.71438,15.302,0.006
2074.72503,15.305,0.006
2074.73419,15.298,0.006
2074.74277,15.294,0.006
2074.76654,15.298,0.006
2074.77515,15.302,0.006
2074.78375,15.308,0.007
2074.79234,15.297,0.007
2074.80221,15.301,0.006
2074.81086,15.296,0.006
2074.81967,15.306,0.006
2074.82828,15.287,0.006
2074.83689,15.298,0.007
2074.84551,15.302,0.006
2074.85412,15.309,0.006
2074.86272,15.299,0.006
2074.87175,15.303,0.006
2074.88896,15.294,0.006
2074.89756,15.298,0.006
2074.90619,15.305,0.006
2074.91218,15.300,0.006
2075.61394,15.295,0.007
2075.62251,15.295,0.006
2075.63115,15.292,0.006
2075.63976,15.289,0.007
2075.65359,15.297,0.007
2075.66800,15.300,0.007
2075.67660,15.301,0.006
2075.68520,15.294,0.006
2075.69384,15.291,0.006
2075.70244,15.307,0.006
2075.71108,15.305,0.006
2075.72012,15.307,0.006
2075.72935,15.304,0.006
2075.73794,15.296,0.006
2075.74651,15.294,0.007
2075.77331,15.292,0.007
2075.78191,15.302,0.007
2075.79051,15.303,0.007
2075.79939,15.301,0.007
2075.81659,15.297,0.007
2075.82519,15.296,0.006
2075.83376,15.302,0.007
2075.84641,15.300,0.006
2075.85504,15.300,0.006
2075.86365,15.297,0.007
2075.87222,15.304,0.007
2075.88079,15.290,0.006
2075.88938,15.288,0.006
2075.89828,15.311,0.008
2076.69245,15.291,0.007
2076.70107,15.303,0.007
2076.70970,15.302,0.007
2076.72323,15.291,0.006
2076.73320,15.292,0.006
2076.74201,15.297,0.007
2076.75076,15.294,0.007
2076.75951,15.300,0.006
2076.76829,15.300,0.006
2076.77706,15.298,0.007
2076.79295,15.297,0.006
2076.80430,15.298,0.006
2076.82955,15.298,0.006
2076.83824,15.292,0.006
2076.84700,15.292,0.007
2076.85575,15.298,0.007
2076.86447,15.302,0.007
2076.87323,15.296,0.007
2076.88252,15.300,0.007
2076.89126,15.299,0.007
2077.58922,15.300,0.007
2077.60982,15.295,0.007
2077.62049,15.297,0.006
2077.63143,15.302,0.006
2077.64017,15.294,0.006
2077.65307,15.293,0.006
2077.66182,15.293,0.006
2077.67057,15.298,0.006
2077.67930,15.302,0.006
2077.69151,15.301,0.006
2077.70029,15.294,0.006
2077.70908,15.300,0.006
2077.71782,15.303,0.006
2077.72654,15.296,0.006
2077.73531,15.293,0.006
2077.74510,15.301,0.006
2077.75387,15.303,0.006
2077.76266,15.301,0.006
2077.77141,15.292,0.006
2077.78014,15.304,0.006
2077.79228,15.294,0.006
2077.80099,15.293,0.006
2077.80975,15.304,0.006
2077.81850,15.296,0.006
2077.82727,15.290,0.006
2077.83604,15.314,0.007
2077.84513,15.293,0.007
2077.85388,15.300,0.007
2077.86264,15.300,0.007
2077.87136,15.309,0.007
2077.88007,15.304,0.007
2077.88880,15.296,0.007
2077.89782,15.303,0.007
2077.90658,15.291,0.007
2078.59509,15.295,0.006
2078.60384,15.295,0.007
2078.61259,15.300,0.006
2078.62139,15.299,0.006
2078.63011,15.294,0.006
2078.63891,15.297,0.006
2078.65927,15.299,0.006
2078.66802,15.293,0.006
2078.67676,15.303,0.006
2078.68554,15.302,0.006
2078.69429,15.300,0.006
2078.70303,15.291,0.006
2078.71269,15.304,0.006
2078.72163,15.305,0.006
2078.73035,15.308,0.006
2078.73908,15.307,0.006
2078.74782,15.311,0.006
2078.75655,15.305,0.006
2078.77392,15.299,0.006
2078.78848,15.291,0.006
2078.79727,15.300,0.006
2078.80601,15.292,0.006
2078.81477,15.300,0.006
2078.84082,15.299,0.006
2078.84959,15.300,0.007
2078.86785,15.300,0.007
2078.87656,15.302,0.007
2078.88532,15.300,0.007
2079.62512,15.304,0.007
2079.63390,15.305,0.007
2079.64265,15.300,0.007
2079.65141,15.300,0.006
2079.66016,15.306,0.006
2079.66894,15.291,0.006
2079.67873,15.296,0.006
2079.68748,15.298,0.006
2079.69620,15.304,0.006
2079.70492,15.300,0.006
2079.71368,15.293,0.006
2079.72241,15.310,0.006
2079.73656,15.301,0.006
2079.74531,15.301,0.006
2079.75405,15.310,0.006
2079.76278,15.297,0.006
2079.77152,15.291,0.006
2079.78683,15.301,0.006
2079.79892,15.302,0.006
2079.80769,15.304,0.007
2079.81764,15.300,0.007
2080.55851,15.293,0.006
2080.57293,15.298,0.006
2080.58163,15.288,0.006
2080.59038,15.298,0.006
2080.59911,15.294,0.006
2080.60783,15.293,0.006
2080.61658,15.290,0.006
2080.63130,15.299,0.006
2080.64006,15.291,0.006
2080.64882,15.298,0.006
2080.65760,15.294,0.006
2080.66635,15.291,0.006
2080.68099,15.297,0.006
2080.70263,15.299,0.006
2080.71138,15.308,0.006
2080.72347,15.300,0.006
2080.75389,15.294,0.006
2080.76635,15.312,0.006
2080.78065,15.295,0.006
2080.80604,15.301,0.006
2080.81641,15.297,0.006
2080.82518,15.306,0.006
2080.83388,15.310,0.006
2080.84260,15.299,0.006
2080.85136,15.290,0.007
2080.86016,15.297,0.007
2081.57211,15.305,0.006
2081.58199,15.293,0.006
2081.59073,15.299,0.006
2081.60137,15.303,0.006
2081.62093,15.307,0.006
2081.66368,15.288,0.006
2081.70519,15.295,0.006
2081.71393,15.294,0.006
2081.72273,15.302,0.006
2081.73147,15.294,0.006
2081.74022,15.303,0.006
2081.74896,15.289,0.006
2081.75979,15.295,0.006
2081.76856,15.302,0.006
2081.77734,15.297,0.006
2081.78606,15.290,0.006
2081.80415,15.303,0.006
2081.81290,15.311,0.006
2081.82167,15.309,0.006
2081.83367,15.301,0.006
2081.84242,15.300,0.006
2081.87125,15.286,0.006
2081.88250,15.299,0.007
2082.64570,15.298,0.006
2082.68803,15.303,0.006
2082.69879,15.301,0.006
2082.70815,15.300,0.006
2082.71691,15.295,0.006
2082.72941,15.297,0.006
2082.74114,15.302,0.006
2082.74984,15.294,0.006
2082.75855,15.296,0.006
2082.77081,15.299,0.006
2082.78639,15.299,0.006
2082.79513,15.303,0.006
2082.80387,15.294,0.006
2082.81264,15.292,0.006
2082.82138,15.303,0.006
2082.83014,15.300,0.006
2082.84264,15.306,0.006
2082.85142,15.299,0.006
2082.86020,15.297,0.006
2082.86894,15.290,0.006
2082.87770,15.294,0.006
2082.88648,15.294,0.007
2082.89913,15.297,0.007
2085.63364,15.297,0.007
2085.64221,15.301,0.006
2085.65085,15.300,0.007
2085.65948,15.292,0.007
2085.66805,15.294,0.006
2085.67669,15.295,0.006
2085.68791,15.304,0.007
2085.69647,15.302,0.007
2085.70507,15.304,0.007
2085.71370,15.292,0.007
2085.72238,15.297,0.007
2085.73099,15.287,0.007
2085.74080,15.306,0.007
2085.74941,15.307,0.007
2085.76163,15.302,0.006
2085.77828,15.301,0.007
2085.78762,15.309,0.007
2085.79781,15.292,0.007
2085.81009,15.284,0.007
2085.82883,15.304,0.007
2085.83740,15.307,0.007
2085.84600,15.294,0.007
2085.85460,15.297,0.007
2085.86324,15.292,0.007
2086.55766,15.296,0.006
2086.56630,15.293,0.006
2086.57488,15.299,0.006
2086.59464,15.292,0.006
2086.60323,15.296,0.006
2086.61185,15.288,0.006
2086.63116,15.292,0.006
2086.63976,15.297,0.006
2086.64837,15.304,0.006
2086.65696,15.300,0.006
2086.66557,15.304,0.006
2086.67418,15.296,0.006
2086.68590,15.303,0.006
2086.69445,15.291,0.006
2086.70303,15.296,0.006
2086.71162,15.300,0.006
2086.72087,15.293,0.006
2086.73376,15.296,0.006
2086.74241,15.296,0.006
2086.75100,15.291,0.006
2086.75961,15.291,0.006
2086.76820,15.295,0.006
2086.78153,15.302,0.006
2086.79014,15.301,0.006
2086.79877,15.305,0.007
2086.81112,15.307,0.006
2086.81973,15.293,0.006
2086.82833,15.299,0.006
2086.84080,15.293,0.007
2086.84944,15.301,0.007
2086.85806,15.301,0.007
2086.86662,15.292,0.008
2087.56335,15.304,0.006
2087.60498,15.294,0.006
2087.62247,15.292,0.006
2087.63118,15.295,0.006
2087.63993,15.297,0.006
2087.64868,15.294,0.004
2087.65768,15.297,0.006
2087.66644,15.293,0.006
2087.67850,15.295,0.006
2087.68725,15.302,0.006
2087.69661,15.299,0.006
2087.71407,15.304,0.006
2087.72284,15.294,0.006
2087.73163,15.296,0.006
2087.74044,15.302,0.006
2087.74918,15.291,0.006
2087.75792,15.308,0.004
2087.76842,15.296,0.004
2087.77714,15.299,0.004
2087.79468,15.309,0.004
2087.80339,15.293,0.004
2087.82140,15.300,0.006
2087.83013,15.290,0.006
2087.83889,15.305,0.006
2087.84764,15.284,0.006
2087.85636,15.280,0.006
2087.86511,15.296,0.006
2088.56079,15.295,0.006
2088.57267,15.291,0.006
2088.58143,15.298,0.006
2088.59022,15.294,0.006
2088.59900,15.303,0.006
2088.60792,15.299,0.006
2088.61669,15.301,0.006
2088.62547,15.293,0.006
2088.63425,15.299,0.006
2088.64452,15.292,0.006
2088.65334,15.303,0.006
2088.66210,15.293,0.006
2088.67088,15.296,0.006
2088.68203,15.300,0.006
2088.69132,15.306,0.006
2088.70004,15.295,0.006
2088.70878,15.299,0.006
2088.71755,15.302,0.007
2088.72761,15.296,0.006
2088.74150,15.301,0.006
2088.75025,15.299,0.006
2088.75897,15.290,0.006
2088.76772,15.291,0.007
2088.77960,15.303,0.006
2088.78839,15.301,0.006
2088.79714,15.300,0.007
2088.80593,15.308,0.007
2088.81469,15.301,0.007
2088.82345,15.302,0.007
2088.83262,15.294,0.007
2088.84138,15.298,0.007
2088.85014,15.311,0.007
2089.61326,15.307,0.006
2089.62197,15.318,0.006
2089.63072,15.315,0.006
2089.63945,15.305,0.006
2089.64821,15.312,0.006
2089.65733,15.320,0.006
2090.64537,15.292,0.006
2090.65507,15.287,0.006
2090.66412,15.300,0.006
2090.67287,15.300,0.006
2090.68179,15.303,0.007
2090.71006,15.299,0.007
2090.71878,15.300,0.007
2090.72752,15.295,0.007
2090.73621,15.305,0.007
2090.74496,15.304,0.007
2090.75379,15.300,0.007
2090.76333,15.296,0.006
2090.77202,15.293,0.006
2090.78077,15.303,0.006
2090.78956,15.310,0.006
2090.79838,15.298,0.006
2090.80713,15.297,0.007
2090.81917,15.302,0.007
2090.83313,15.301,0.007
2090.84812,15.324,0.007
2091.58968,15.298,0.006
2091.59844,15.295,0.006
2091.60723,15.301,0.006
2091.61796,15.298,0.006
2091.63406,15.297,0.006
2091.65560,15.296,0.006
2091.66519,15.294,0.006
2091.67388,15.300,0.006
2091.68327,15.298,0.006
2091.69208,15.293,0.006
2091.70080,15.296,0.006
2091.70958,15.306,0.006
2091.71855,15.295,0.006
2091.72726,15.299,0.006
2091.73602,15.297,0.006
2091.74476,15.300,0.006
2091.75352,15.300,0.006
2091.76716,15.300,0.006
2091.77757,15.307,0.006
2091.78632,15.298,0.006
2091.79508,15.299,0.006
2091.80385,15.299,0.006
2091.81261,15.301,0.006
2091.82140,15.306,0.006
2091.83060,15.299,0.006
2091.83954,15.290,0.006
2091.84827,15.302,0.006
2091.85704,15.303,0.006
2091.86577,15.291,0.006
2091.87452,15.294,0.006
2092.64709,15.297,0.006
2092.65589,15.302,0.006
2092.66464,15.307,0.006
2092.67621,15.295,0.006
2092.68496,15.295,0.006
2092.69375,15.297,0.006
2092.70251,15.291,0.006
2092.71128,15.294,0.006
2092.72006,15.292,0.006
2092.73531,15.292,0.006
2092.74537,15.309,0.006
2092.75466,15.288,0.006
2092.76338,15.301,0.006
2092.77212,15.296,0.006
2092.78090,15.307,0.006
2092.78964,15.297,0.007
2092.80015,15.305,0.007
2092.80889,15.298,0.007
2092.81760,15.302,0.007
2092.83280,15.296,0.007
2101.55462,15.298,0.006
2101.56335,15.292,0.006
2101.57210,15.298,0.006
2101.58083,15.305,0.006
2101.58955,15.301,0.006
2101.59833,15.300,0.006
2101.61287,15.305,0.007
2101.62167,15.300,0.006
2101.63043,15.298,0.006
2101.63919,15.297,0.006
2101.64790,15.298,0.006
2101.65731,15.302,0.006
2101.66628,15.297,0.006
2101.67500,15.307,0.006
2101.68376,15.295,0.006
2101.69250,15.304,0.006
2101.70125,15.287,0.006
2101.70997,15.292,0.006
2101.72721,15.304,0.006
2101.74256,15.310,0.007
2101.76112,15.316,0.007
2101.76989,15.311,0.006
2101.77862,15.318,0.006
2102.53903,15.299,0.006
2102.54911,15.298,0.006
2102.55836,15.303,0.006
2102.56712,15.299,0.006
2102.58288,15.300,0.006
2102.59164,15.296,0.006
2102.60038,15.298,0.006
2102.60914,15.301,0.006
2102.61791,15.302,0.006
2102.62664,15.305,0.006
2102.63600,15.297,0.006
2102.64476,15.293,0.006
2102.65411,15.291,0.004
2103.50294,15.302,0.006
2103.51165,15.300,0.006
2103.52213,15.297,0.006
2103.53091,15.294,0.006
2103.53962,15.289,0.006
2103.54837,15.299,0.006
2103.55709,15.293,0.006
2103.56579,15.305,0.006
2103.57773,15.303,0.006
2103.58651,15.301,0.006
2103.59528,15.309,0.006
2103.60403,15.292,0.004
2103.61346,15.305,0.004
2103.62222,15.298,0.006
2103.63096,15.295,0.004
2103.63966,15.302,0.006
2103.64899,15.299,0.004
2103.65773,15.298,0.006
2103.66766,15.297,0.006
2103.67644,15.299,0.006
2103.71673,15.296,0.006
2103.72621,15.304,0.006
2103.73497,15.296,0.006
2103.74375,15.295,0.007
2103.75251,15.302,0.006
2103.76126,15.292,0.006
2103.76997,15.299,0.006
2103.77871,15.299,0.006
2103.78748,15.292,0.006
2103.79617,15.302,0.006
2105.50920,15.303,0.006
2105.52288,15.298,0.006
2105.53194,15.300,0.006
2105.54069,15.300,0.006
2105.54941,15.297,0.006
2105.55817,15.296,0.006
2105.56937,15.307,0.006
2105.57812,15.309,0.006
2105.58686,15.295,0.006
2105.59562,15.300,0.006
2105.61445,15.282,0.006
2105.62354,15.304,0.006
2105.63644,15.300,0.006
2105.64617,15.293,0.006
2105.65843,15.302,0.006
2105.66747,15.299,0.006
2105.67623,15.305,0.006
2105.68496,15.297,0.006
2105.69372,15.296,0.006
2105.70248,15.305,0.006
2105.71850,15.292,0.006
2105.72762,15.292,0.006
2105.73634,15.301,0.006
2105.74509,15.288,0.006
2105.75385,15.300,0.006
2105.76259,15.296,0.006
2105.77135,15.292,0.006
2105.78050,15.288,0.007
2105.78924,15.306,0.006
2105.79804,15.311,0.007
2105.80686,15.294,0.007
2106.59840,15.314,0.006
2106.60803,15.312,0.006
2106.61725,15.311,0.006
2106.62601,15.314,0.006
2106.63479,15.314,0.006
2106.64427,15.309,0.006
2106.65303,15.301,0.006
2106.66180,15.293,0.006
2106.67090,15.306,0.006
2106.67965,15.296,0.006
2106.68839,15.300,0.006
2106.69708,15.297,0.006
2106.70587,15.304,0.006
2106.72125,15.299,0.006
2106.73000,15.296,0.006
2106.73877,15.298,0.006
2106.74750,15.297,0.006
2106.75623,15.298,0.006
2106.76496,15.303,0.006
2111.51506,15.302,0.006
2111.52380,15.300,0.007
2111.53260,15.299,0.007
2111.54131,15.307,0.007
2111.55012,15.295,0.007
2111.55887,15.297,0.006
2111.56812,15.291,0.007
2111.57685,15.292,0.006
2111.58561,15.301,0.006
2111.59440,15.299,0.007
2111.60313,15.301,0.007
2111.61182,15.300,0.007
2111.62095,15.291,0.007
2111.63036,15.295,0.007
2111.63912,15.311,0.007
2111.64787,15.301,0.007
2111.65662,15.296,0.007
2111.66534,15.302,0.006
2111.67456,15.304,0.006
2111.68333,15.297,0.006
2111.69207,15.299,0.007
2111.70081,15.303,0.007
2111.70956,15.292,0.007
2111.71831,15.288,0.007
2111.72761,15.297,0.007
2111.73635,15.283,0.007
2111.74512,15.292,0.006
2111.75384,15.293,0.006
2112.50763,15.304,0.006
2112.51726,15.298,0.006
2112.53026,15.304,0.007
2112.53904,15.302,0.006
2112.55858,15.305,0.006
2112.56730,15.296,0.006
2112.58162,15.299,0.006
2112.59036,15.295,0.006
2112.60371,15.297,0.006
2112.61243,15.289,0.006
2112.62120,15.300,0.006
2112.62993,15.294,0.006
2112.63867,15.296,0.006
2112.64747,15.307,0.006
2112.66934,15.309,0.004
2112.67811,15.314,0.006
2112.68685,15.320,0.006
2112.69562,15.312,0.006
2112.70572,15.306,0.006
2112.71476,15.298,0.006
2112.73227,15.299,0.006
2112.74104,15.300,0.006
2112.74981,15.287,0.006
2112.75922,15.295,0.006
2113.51878,15.298,0.007
2113.52757,15.299,0.007
2113.53628,15.301,0.007
2113.54561,15.291,0.007
2113.55437,15.305,0.006
2113.56309,15.312,0.007
2113.57179,15.299,0.007
2113.58053,15.305,0.006
2113.58928,15.298,0.006
2113.59856,15.294,0.006
2113.60730,15.289,0.007
2113.61606,15.302,0.006
2113.62510,15.297,0.007
2113.63385,15.298,0.007
2113.64260,15.302,0.007
2113.65213,15.295,0.007
2113.66089,15.290,0.007
2113.71830,15.299,0.006
2113.72705,15.298,0.007
2113.73579,15.292,0.007
2113.74455,15.297,0.007
2113.75330,15.299,0.007
2113.76205,15.299,0.007
2113.77125,15.297,0.007
2113.77999,15.292,0.007
2114.69672,15.289,0.006
2114.70546,15.287,0.007
2114.71425,15.293,0.007
2114.72440,15.294,0.007
2114.73371,15.299,0.007
2114.74349,15.301,0.007
2114.75407,15.298,0.007
2114.76321,15.303,0.007
2114.77201,15.298,0.006
2114.78078,15.299,0.006
2114.80089,15.300,0.007
2115.55621,15.299,0.007
2115.56571,15.300,0.007
2115.57529,15.292,0.007
2115.58971,15.302,0.007
2115.59846,15.295,0.006
2115.60721,15.296,0.007
2115.62112,15.302,0.007
2115.62985,15.307,0.007
2115.63873,15.289,0.007
