T,Flux,E
5376.62759,14.903,0.003
5376.64033,14.895,0.003
5376.65393,14.897,0.003
5376.66658,14.898,0.003
5376.68122,14.889,0.003
5376.69437,14.895,0.003
5376.70744,14.893,0.003
5376.72018,14.899,0.003
5376.73257,14.893,0.003
5376.74570,14.902,0.003
5376.75856,14.906,0.003
5376.77138,14.899,0.003
5376.78398,14.903,0.003
5376.79671,14.902,0.003
5376.80954,14.893,0.003
5376.82219,14.889,0.003
5376.83471,14.903,0.003
5376.84747,14.898,0.003
5376.86010,14.901,0.003
5376.87261,14.916,0.004
5377.51619,14.900,0.003
5377.52944,14.899,0.003
5377.54226,14.902,0.003
5377.55821,14.902,0.003
5377.57226,14.904,0.003
5377.58678,14.898,0.003
5377.59952,14.900,0.004
5377.61222,14.897,0.003
5377.62498,14.897,0.003
5377.64590,14.901,0.003
5377.66571,14.897,0.003
5377.68027,14.903,0.003
5377.69855,14.901,0.003
5377.71157,14.909,0.003
5377.72922,14.897,0.003
5377.74212,14.903,0.003
5377.75462,14.902,0.003
5377.77223,14.896,0.003
5377.78484,14.897,0.003
5377.79731,14.901,0.003
5377.80996,14.898,0.003
5377.82254,14.896,0.003
5377.83549,14.896,0.003
5377.84816,14.905,0.003
5377.86071,14.874,0.003
5378.48982,14.897,0.003
5378.50433,14.894,0.003
5378.51850,14.901,0.003
5378.53228,14.903,0.003
5378.54598,14.898,0.003
5378.56013,14.905,0.003
5378.57399,14.893,0.003
5378.58809,14.894,0.003
5378.60231,14.900,0.003
5378.61638,14.899,0.003
5378.63067,14.898,0.003
5378.64481,14.899,0.003
5378.66058,14.897,0.003
5378.67640,14.896,0.003
5378.69067,14.899,0.003
5378.70526,14.902,0.003
5378.71965,14.903,0.003
5378.73254,14.900,0.003
5378.74533,14.903,0.003
5378.75795,14.897,0.003
5378.77060,14.899,0.003
5378.78348,14.904,0.003
5378.79649,14.902,0.003
5378.80908,14.907,0.003
5378.82172,14.908,0.003
5378.83636,14.905,0.003
5378.84901,14.909,0.003
5378.86166,14.903,0.003
5378.87406,14.916,0.003
5379.48790,14.898,0.003
5379.50047,14.898,0.003
5379.51310,14.898,0.003
5379.52585,14.898,0.003
5379.53983,14.902,0.003
5379.55417,14.904,0.003
5379.56849,14.897,0.003
5379.58275,14.901,0.003
5379.59657,14.903,0.003
5379.61055,14.898,0.003
5379.62469,14.896,0.003
5379.63938,14.897,0.003
5379.65430,14.900,0.003
5379.66880,14.900,0.003
5379.68310,14.903,0.003
5379.69750,14.897,0.003
5379.71167,14.902,0.003
5379.72579,14.900,0.003
5379.73977,14.909,0.003
5379.75237,14.902,0.003
5379.76490,14.902,0.003
5379.77742,14.902,0.003
5379.78998,14.908,0.003
5379.80277,14.901,0.003
5379.81534,14.902,0.003
5379.82775,14.896,0.003
5379.84086,14.899,0.003
5379.85346,14.905,0.003
5379.86878,14.896,0.003
5380.49934,14.901,0.003
5380.51191,14.897,0.003
5380.52457,14.898,0.003
5380.53720,14.902,0.003
5380.55104,14.901,0.003
5380.56509,14.900,0.003
5380.57905,14.901,0.003
5380.59295,14.904,0.003
5380.60687,14.901,0.003
5380.62083,14.902,0.003
5380.63484,14.905,0.003
5380.64914,14.902,0.003
5380.66481,14.897,0.003
5380.67978,14.898,0.003
5380.69394,14.900,0.003
5380.70746,14.906,0.003
5380.72036,14.899,0.003
5380.73306,14.899,0.003
5380.74584,14.895,0.003
5380.75859,14.899,0.003
5380.77108,14.895,0.003
5380.78381,14.902,0.003
5380.79645,14.900,0.003
5380.80919,14.905,0.003
5380.82180,14.904,0.003
5380.83435,14.907,0.003
5380.84720,14.910,0.004
5381.52112,14.902,0.004
5381.53411,14.903,0.003
5381.54670,14.900,0.003
5381.55920,14.896,0.003
5381.57166,14.906,0.003
5381.58422,14.910,0.003
5381.59699,14.903,0.003
5381.61181,14.902,0.003
5381.64299,14.899,0.003
5381.65613,14.899,0.003
5381.67116,14.901,0.003
5381.68422,14.902,0.003
5381.69694,14.904,0.003
5381.70948,14.901,0.003
5381.72220,14.905,0.003
5381.73491,14.898,0.003
5381.74761,14.901,0.003
5381.76050,14.903,0.003
5381.77313,14.908,0.003
5381.79455,14.899,0.003
5381.80727,14.903,0.003
5381.81998,14.903,0.003
5381.83266,14.903,0.003
5381.84541,14.907,0.003
5381.85802,14.909,0.003
5382.52290,14.903,0.003
5382.53542,14.904,0.003
5382.54788,14.897,0.003
5382.56047,14.901,0.004
5382.57983,14.900,0.003
5382.59754,14.898,0.004
5382.60989,14.901,0.003
5382.62275,14.902,0.003
5382.63512,14.897,0.003
5382.64781,14.894,0.003
5382.66408,14.894,0.003
5382.67690,14.903,0.003
5382.68958,14.902,0.003
5382.70407,14.898,0.003
5382.71679,14.893,0.003
5382.72940,14.895,0.003
5382.74212,14.901,0.003
5382.75470,14.902,0.003
5382.76720,14.900,0.003
5382.78685,14.904,0.003
