T,Flux,E
5376.62914,15.252,0.005
5376.64190,15.257,0.004
5376.65550,15.243,0.005
5376.66815,15.261,0.005
5376.68279,15.236,0.004
5376.69592,15.242,0.004
5376.70899,15.253,0.004
5376.72173,15.236,0.005
5376.73413,15.250,0.004
5376.74725,15.264,0.005
5376.76011,15.236,0.004
5376.77294,15.245,0.004
5376.78555,15.247,0.004
5376.79825,15.243,0.004
5376.81111,15.259,0.005
5376.82374,15.254,0.005
5376.83626,15.279,0.005
5376.84902,15.243,0.005
5376.86166,15.223,0.005
5376.87417,15.249,0.006
5377.51774,15.251,0.005
5377.53099,15.243,0.004
5377.54562,15.258,0.004
5377.55976,15.259,0.004
5377.57382,15.220,0.004
5377.58833,15.249,0.005
5377.60106,15.255,0.005
5377.61377,15.242,0.004
5377.62654,15.248,0.004
5377.64746,15.245,0.004
5377.66727,15.244,0.004
5377.68184,15.242,0.004
5377.70019,15.251,0.004
5377.71312,15.239,0.004
5377.73076,15.246,0.004
5377.74369,15.246,0.004
5377.75618,15.246,0.004
5377.77378,15.251,0.004
5377.78640,15.250,0.004
5377.79886,15.234,0.004
5377.81151,15.249,0.004
5377.82410,15.244,0.004
5377.83703,15.242,0.004
5377.84970,15.243,0.004
5377.86226,15.253,0.005
5378.49137,15.246,0.004
5378.50589,15.242,0.004
5378.52005,15.241,0.004
5378.53384,15.248,0.004
5378.54754,15.235,0.004
5378.56168,15.248,0.004
5378.57554,15.245,0.004
5378.58964,15.245,0.004
5378.60387,15.245,0.003
5378.61791,15.240,0.003
5378.63222,15.250,0.004
5378.64638,15.242,0.003
5378.66213,15.249,0.003
5378.67796,15.238,0.003
5378.69238,15.245,0.004
5378.70681,15.247,0.004
5378.72120,15.247,0.003
5378.73410,15.248,0.003
5378.74690,15.250,0.004
5378.75949,15.244,0.003
5378.77216,15.245,0.003
5378.78505,15.259,0.004
5378.79805,15.250,0.004
5378.81065,15.249,0.004
5378.82328,15.247,0.004
5378.83792,15.256,0.004
5378.85056,15.260,0.004
5378.86321,15.257,0.005
5378.87563,15.288,0.005
5379.48947,15.248,0.005
5379.50203,15.253,0.004
5379.51465,15.252,0.004
5379.52740,15.252,0.004
5379.54138,15.244,0.004
5379.55573,15.244,0.004
5379.57002,15.251,0.004
5379.58431,15.252,0.004
5379.59812,15.251,0.004
5379.61211,15.254,0.004
5379.62625,15.249,0.004
5379.64094,15.252,0.003
5379.65586,15.249,0.004
5379.67036,15.248,0.004
5379.68465,15.254,0.004
5379.69907,15.240,0.004
5379.71323,15.248,0.004
5379.72735,15.247,0.004
5379.74132,15.254,0.004
5379.75393,15.249,0.004
5379.76646,15.247,0.004
5379.77899,15.258,0.004
5379.79154,15.244,0.004
5379.80432,15.250,0.004
5379.81689,15.252,0.004
5379.82931,15.261,0.004
5379.84239,15.261,0.005
5379.85502,15.252,0.005
5379.87034,15.271,0.005
5380.50090,15.246,0.004
5380.51344,15.253,0.004
5380.52614,15.256,0.004
5380.53877,15.240,0.004
5380.55259,15.244,0.004
5380.56665,15.245,0.004
5380.58062,15.235,0.004
5380.59449,15.250,0.004
