Point Number,X Coords,Y Coords,Degree,Clustering Coefficient
7128,72.00863999679305,-15.279,3,1.0
7129,72.00935999677341,-15.271,29,0.19704433497536947
7130,72.02039999677297,-15.287,2,1.0
7131,72.02351999678704,-15.279,8,0.7142857142857143
7132,72.02879999676715,-15.284,5,1.0
7133,72.03839999677419,-15.284,7,0.9047619047619048
7134,72.04775999676286,-15.286,6,1.0
7135,72.08111999678582,-15.283,8,0.75
7136,72.10511999679153,-15.285,3,1.0
7137,72.11327999677529,-15.278,9,0.6111111111111112
7138,72.11327999679207,-15.282,2,1.0
7139,72.13151999679354,-15.275,21,0.24761904761904763
7140,72.13679999678448,-15.299,2,1.0
7141,72.16127999677505,-15.282,5,0.7
7142,72.16583999678889,-15.283,4,1.0
7143,72.17015999677554,-15.283,4,1.0
7144,72.18215999678054,-15.278,15,0.3904761904761905
7145,72.18239999678393,-15.28,9,0.6944444444444444
7146,72.19583999677843,-15.287,3,1.0
7147,72.21287999679112,-15.281,9,0.6111111111111112
7148,72.26279999679052,-15.284,3,1.0
7149,72.26447999679071,-15.282,6,0.6666666666666666
7150,72.26567999679102,-15.281,10,0.6666666666666666
7151,72.27767999677246,-15.283,2,1.0
7152,72.28607999678624,-15.281,10,0.5333333333333333
7153,72.3040799967913,-15.286,4,0.8333333333333334
7154,72.30695999678159,-15.287,3,1.0
7155,72.31247999678195,-15.286,4,0.8333333333333334
7156,72.33887999677646,-15.28,15,0.37142857142857144
7157,72.34223999677587,-15.283,4,1.0
7158,72.3573599967821,-15.284,4,1.0
7159,72.36767999677474,-15.282,5,0.7
7160,72.37175999678425,-15.294,2,1.0
7161,72.38015999679129,-15.278,14,0.3956043956043956
7162,72.42767999678922,-15.286,2,1.0
7163,72.42959999677967,-15.274,23,0.2490118577075099
7164,72.45671999677893,-15.288,3,1.0
7165,72.47999999677273,-15.285,3,1.0
7166,72.49223999678321,-15.283,8,0.42857142857142855
7167,72.53111999678548,-15.291,2,1.0
7168,72.5351999967717,-15.286,5,0.7
7169,72.5479199967825,-15.286,4,1.0
7170,72.55247999678386,-15.28,11,0.4909090909090909
7171,72.55847999679085,-15.285,3,0.6666666666666666
7172,72.5649599967704,-15.291,2,1.0
7173,72.56759999679147,-15.281,8,0.4642857142857143
7174,72.58439999678066,-15.285,2,1.0
7175,72.59975999677289,-15.282,9,0.6111111111111112
7176,72.60431999680276,-15.283,4,0.6666666666666666
7177,72.60527999678258,-15.289,2,1.0
7178,72.625199996774,-15.283,9,0.6111111111111112
7179,72.64799999677521,-15.284,6,0.8
7180,72.66599999677248,-15.286,3,1.0
7181,72.68063999678671,-15.284,9,0.6944444444444444
7182,72.70223999678342,-15.283,11,0.5272727272727272
7183,72.71063999678509,-15.285,4,1.0
7184,72.71783999679107,-15.286,5,0.7
7185,72.72143999677452,-15.295,2,1.0
7186,72.72191999678836,-15.285,5,0.7
7187,72.72671999677047,-15.268,33,0.14962121212121213
7188,72.7351199967798,-15.285,2,1.0
7189,72.75215999677813,-15.282,5,0.6
7190,72.77783999678672,-15.287,3,1.0
7191,72.78023999677426,-15.285,5,0.6
7192,72.78863999679604,-15.29,2,1.0
7193,72.80663999677537,-15.274,11,0.34545454545454546
7194,72.81695999677558,-15.278,4,0.8333333333333334
7195,72.84575999678015,-15.289,3,1.0
7196,72.88535999678605,-15.278,11,0.4
7197,72.89231999679038,-15.284,6,0.7333333333333333
