Degree,Log(Probability)
2,-1.7701689670330885
3,-1.7004928379577344
4,-1.866978693308377
5,-2.137149194403108
6,-2.464105102269066
7,-2.785226160234518
8,-3.05315539077954
9,-3.3662890171350397
10,-3.6683410298697736
11,-3.9215369262503854
12,-4.270974202888887
13,-4.39357652498122
14,-4.443726308666691
15,-4.710672482639294
16,-4.890013411295111
17,-5.054635390989664
18,-5.277778942303874
19,-5.360017040540846
20,-5.465377556198672
21,-5.530974838684486
22,-6.024993344134095
23,-5.944950636460558
24,-6.142776379790479
25,-6.473018066661055
26,-6.6640733034237645
27,-6.5174698292318896
28,-6.71814052469404
29,-7.123605632802205
30,-7.411287705253986
31,-7.529070740910369
32,-7.411287705253986
33,-7.30592718959616
34,-7.999074370156105
35,-8.509899993922096
36,-8.222217921470314
37,-7.529070740910369
38,-8.222217921470314
39,-8.91536510203026
40,-7.411287705253986
41,-8.91536510203026
42,-8.91536510203026
43,-8.509899993922096
44,-8.91536510203026
45,-9.608512282590205
46,-9.608512282590205
47,-8.509899993922096
49,-7.999074370156105
52,-9.608512282590205
54,-9.608512282590205
55,-8.91536510203026
56,-8.91536510203026
57,-8.509899993922096
61,-9.608512282590205
63,-9.608512282590205
64,-9.608512282590205
68,-9.608512282590205
70,-9.608512282590205
75,-9.608512282590205
76,-9.608512282590205
79,-9.608512282590205
83,-9.608512282590205
84,-8.91536510203026
86,-9.608512282590205
89,-9.608512282590205
90,-9.608512282590205
97,-8.91536510203026
127,-8.91536510203026
172,-9.608512282590205
199,-9.608512282590205
213,-9.608512282590205
255,-9.608512282590205
451,-9.608512282590205
