Degree,Log(Probability)
2,-1.7786032800455867
3,-1.7360198155009803
4,-1.9145089011381315
5,-2.1425826185602
6,-2.48732620093209
7,-2.762681460903212
8,-3.049853199074971
9,-3.291015255891859
10,-3.5847763744200223
11,-3.7719879165081687
12,-3.981568401274758
13,-4.2744452906036425
14,-4.473573965713979
15,-4.659291111509072
16,-5.010152085582384
17,-5.010152085582384
18,-5.255274543615369
19,-5.293014871598216
20,-5.530686523475335
21,-5.633340677535419
22,-5.948421724175314
23,-5.810271385694497
24,-5.9861620521581616
25,-6.199736152456221
26,-6.605201260564384
27,-6.536208389077434
28,-6.605201260564384
29,-7.164817048499807
30,-7.29834844112433
31,-7.8579642290597524
32,-7.164817048499807
33,-7.29834844112433
34,-7.29834844112433
35,-7.8579642290597524
36,-7.452499120951589
37,-7.634820677745543
38,-9.244258590179644
39,-7.8579642290597524
40,-7.8579642290597524
42,-9.244258590179644
43,-9.244258590179644
44,-9.244258590179644
45,-9.244258590179644
46,-9.244258590179644
49,-8.551111409619699
51,-9.244258590179644
52,-8.145646301511533
54,-8.551111409619699
55,-9.244258590179644
56,-8.551111409619699
60,-9.244258590179644
65,-9.244258590179644
67,-9.244258590179644
71,-9.244258590179644
72,-9.244258590179644
76,-9.244258590179644
77,-9.244258590179644
79,-9.244258590179644
83,-9.244258590179644
88,-9.244258590179644
92,-9.244258590179644
96,-9.244258590179644
130,-9.244258590179644
164,-9.244258590179644
175,-9.244258590179644
177,-9.244258590179644
195,-9.244258590179644
245,-9.244258590179644
254,-9.244258590179644
