Degree,Log(Probability)
2,-1.7410738757008015
3,-1.6927058872778866
4,-1.8996663153040023
5,-2.169565981888247
6,-2.466151726370201
7,-2.817374481859131
8,-3.046148511820626
9,-3.3778771878127816
10,-3.6634910072005034
11,-3.8507835767164784
12,-4.094062036439744
13,-4.2545889334062785
14,-4.422095404415092
15,-4.737612275860317
16,-4.9627739913307645
17,-4.983182862961971
18,-5.163444686792915
19,-5.532542150730205
20,-5.894332195335708
21,-5.9469759288211295
22,-5.666073543354727
23,-6.123906636980208
24,-5.894332195335708
25,-6.379840011117408
26,-6.613454862298913
27,-6.513371403741931
28,-6.613454862298913
29,-6.918836511850095
30,-6.992944484003817
31,-7.478452299785518
32,-7.766134372237299
33,-7.159998568666984
34,-7.611983692410041
35,-8.171599480345463
36,-7.948455929031254
37,-7.766134372237299
38,-8.459281552797245
39,-8.864746660905409
40,-8.864746660905409
41,-8.864746660905409
42,-8.864746660905409
44,-8.459281552797245
45,-8.864746660905409
46,-8.864746660905409
47,-8.864746660905409
48,-8.864746660905409
49,-8.864746660905409
50,-8.864746660905409
51,-9.557893841465354
52,-9.557893841465354
53,-9.557893841465354
54,-8.459281552797245
56,-9.557893841465354
60,-8.864746660905409
63,-9.557893841465354
72,-9.557893841465354
84,-9.557893841465354
103,-9.557893841465354
107,-9.557893841465354
108,-9.557893841465354
115,-9.557893841465354
119,-9.557893841465354
124,-9.557893841465354
126,-9.557893841465354
149,-9.557893841465354
171,-9.557893841465354
199,-9.557893841465354
215,-9.557893841465354
287,-9.557893841465354
