Degree,Log(Probability)
2,-1.7812881693607596
3,-1.6789137590572212
4,-1.9187591599893623
5,-2.13126866426365
6,-2.4528803463588753
7,-2.7853203194521496
8,-3.0819099697950434
9,-3.37592786069591
10,-3.6394227075336874
11,-3.8115027702754447
12,-3.9569577431351495
13,-4.254792187050948
14,-4.509026325435189
15,-4.660257295159113
16,-5.0405321544387185
17,-5.167687329923965
18,-5.102090047438152
19,-5.748717212363204
20,-5.581663127700038
21,-5.7188642492135235
22,-6.154182320471369
23,-7.165783232149849
24,-6.1097305579005345
25,-6.249492500275694
26,-6.300785794663244
27,-6.942639680835639
28,-7.299314624774372
29,-6.8473295010313135
30,-6.4726360515899035
31,-7.165783232149849
32,-7.635786861395585
33,-7.635786861395585
34,-7.299314624774372
35,-7.45346530460163
36,-7.299314624774372
37,-7.635786861395585
38,-7.45346530460163
40,-9.245224773829685
41,-8.55207759326974
42,-8.55207759326974
43,-8.146612485161574
44,-9.245224773829685
46,-8.55207759326974
47,-7.858930412709794
49,-9.245224773829685
50,-9.245224773829685
51,-9.245224773829685
53,-9.245224773829685
54,-9.245224773829685
55,-9.245224773829685
59,-9.245224773829685
62,-9.245224773829685
67,-9.245224773829685
68,-9.245224773829685
70,-9.245224773829685
71,-9.245224773829685
72,-9.245224773829685
86,-9.245224773829685
87,-9.245224773829685
89,-9.245224773829685
111,-9.245224773829685
240,-9.245224773829685
