Degree,Log(Probability)
2,-1.7549454961053388
3,-1.6846148317767273
4,-1.9164861994874274
5,-2.183039942344263
6,-2.4884844711358842
7,-2.793439517719972
8,-3.001702440540495
9,-3.3689837616785003
10,-3.481736244146168
11,-3.905102562583572
12,-4.201028704810435
13,-4.269548651247192
14,-4.554869447513292
15,-4.707449035108509
16,-4.787491742782046
17,-5.210975356392889
18,-5.0136159222343935
19,-5.14077109771964
20,-5.752572638825633
21,-6.327936783729195
22,-5.8510127116388855
23,-5.6919480170091985
24,-6.127266088267044
25,-6.733401891837359
26,-6.915723448631314
27,-6.820413268826989
28,-6.820413268826989
29,-7.60887062919126
30,-7.60887062919126
31,-7.60887062919126
32,-7.02108396428914
33,-7.832014180505469
34,-7.272398392570047
35,-7.426549072397305
36,-6.915723448631314
37,-7.426549072397305
38,-8.525161361065415
39,-9.21830854162536
40,-9.21830854162536
41,-9.21830854162536
42,-9.21830854162536
43,-8.11969625295725
44,-8.525161361065415
46,-8.525161361065415
49,-9.21830854162536
50,-9.21830854162536
51,-9.21830854162536
53,-7.60887062919126
55,-8.11969625295725
56,-9.21830854162536
62,-9.21830854162536
68,-9.21830854162536
72,-9.21830854162536
74,-9.21830854162536
76,-9.21830854162536
78,-9.21830854162536
88,-9.21830854162536
96,-9.21830854162536
98,-9.21830854162536
106,-9.21830854162536
113,-9.21830854162536
118,-9.21830854162536
128,-9.21830854162536
130,-9.21830854162536
149,-9.21830854162536
156,-9.21830854162536
166,-9.21830854162536
213,-9.21830854162536
