Degree,Log(Probability)
2,-1.7525108149188462
3,-1.7367100703875027
4,-1.8744937727505557
5,-2.171690664843675
6,-2.490224067714632
7,-2.7683116487726522
8,-3.062185691472354
9,-3.32330849085178
10,-3.571459724546926
11,-3.873892606756855
12,-4.078845964011007
13,-4.168592251867283
14,-4.539451830797971
15,-4.71770006220429
16,-4.997284924423452
17,-4.904911604292437
18,-5.355497147681071
19,-5.340229675550282
20,-5.658683406668817
21,-5.745694783658447
22,-5.7686843018831455
23,-5.974536356087294
24,-6.351830587228762
25,-6.033376856110228
26,-6.534152144022717
27,-6.585445438410267
28,-6.8908270879614495
29,-7.2272993245826616
30,-6.8908270879614495
31,-7.450442875896872
32,-7.131989144778337
33,-7.450442875896872
34,-8.836737237016763
35,-7.920446505142607
36,-7.583974268521394
37,-8.431272128908597
38,-7.920446505142607
39,-7.738124948348653
40,-8.143590056456818
41,-7.920446505142607
42,-7.738124948348653
43,-9.529884417576708
44,-8.836737237016763
45,-8.143590056456818
46,-9.529884417576708
48,-9.529884417576708
49,-9.529884417576708
50,-8.431272128908597
52,-9.529884417576708
53,-9.529884417576708
55,-9.529884417576708
56,-9.529884417576708
58,-9.529884417576708
62,-9.529884417576708
63,-9.529884417576708
69,-9.529884417576708
72,-9.529884417576708
73,-8.836737237016763
74,-9.529884417576708
78,-8.836737237016763
80,-9.529884417576708
83,-9.529884417576708
93,-9.529884417576708
95,-9.529884417576708
115,-9.529884417576708
118,-9.529884417576708
121,-9.529884417576708
127,-9.529884417576708
134,-9.529884417576708
140,-9.529884417576708
146,-9.529884417576708
164,-9.529884417576708
207,-9.529884417576708
