Degree,Log(Probability)
2,-1.7754966686369993
3,-1.6751549840911157
4,-1.863532577562112
5,-2.179086190074669
6,-2.489297902683342
7,-2.7429270058114255
8,-3.083579206719109
9,-3.348879876974755
10,-3.625224715623373
11,-3.8241286261736382
12,-4.136934903799098
13,-4.299974531043602
14,-4.533589382225108
15,-4.753448858338127
16,-4.9324970897871125
17,-5.2136644812177
18,-5.080133088593177
19,-5.430335518026292
20,-5.893908256941737
21,-6.123482698586238
22,-5.819800284788015
23,-6.1901740730849095
24,-6.379416072723438
25,-6.512947465347961
26,-6.421975687142234
27,-6.849419701969174
28,-6.7848811808316025
29,-7.360245325735164
30,-6.918412573456125
31,-7.254884810077338
32,-7.765710433843329
33,-7.611559754016071
34,-7.159574630273013
35,-7.948031990637284
36,-7.611559754016071
37,-7.611559754016071
38,-7.611559754016071
39,-9.557469903071384
40,-8.864322722511439
41,-8.458857614403273
42,-8.458857614403273
43,-9.557469903071384
45,-8.458857614403273
46,-8.864322722511439
47,-9.557469903071384
48,-8.864322722511439
50,-8.864322722511439
51,-8.864322722511439
53,-9.557469903071384
54,-9.557469903071384
56,-8.864322722511439
58,-9.557469903071384
61,-9.557469903071384
69,-9.557469903071384
71,-9.557469903071384
72,-9.557469903071384
76,-9.557469903071384
80,-9.557469903071384
81,-9.557469903071384
82,-9.557469903071384
95,-9.557469903071384
103,-9.557469903071384
109,-9.557469903071384
110,-9.557469903071384
116,-9.557469903071384
124,-9.557469903071384
125,-9.557469903071384
135,-9.557469903071384
148,-9.557469903071384
178,-9.557469903071384
184,-9.557469903071384
234,-9.557469903071384
