Degree,Log(Probability)
2,-1.7407987380925003
3,-1.6839541200637111
4,-1.9019660436575787
5,-2.1539577493094466
6,-2.4671661151001762
7,-2.7902175554673407
8,-3.1745932527215923
9,-3.3847086727167754
10,-3.6429062644894206
11,-3.8694339137878706
12,-3.9616978905258518
13,-4.283409711563944
14,-4.545773976031435
15,-4.636428344299566
16,-4.855928904335275
17,-5.113758013637375
18,-5.199700443438099
19,-5.605165551546263
20,-5.586117356575569
21,-5.77221963620943
22,-5.867529816013755
23,-5.867529816013755
24,-6.224204759952487
25,-6.378355439779745
26,-6.78382054788791
27,-6.666037512231526
28,-6.5606769965737
29,-7.476967728447855
30,-7.253824177133645
31,-7.0715026203396905
32,-7.610499121072378
33,-8.1701149090078
34,-7.610499121072378
35,-8.45779698145958
36,-8.45779698145958
37,-7.253824177133645
38,-7.764649800899636
39,-8.863262089567746
40,-8.45779698145958
41,-8.45779698145958
42,-8.863262089567746
43,-8.45779698145958
44,-8.863262089567746
45,-9.556409270127691
47,-8.863262089567746
48,-9.556409270127691
49,-9.556409270127691
51,-9.556409270127691
52,-9.556409270127691
55,-9.556409270127691
58,-8.863262089567746
59,-9.556409270127691
60,-9.556409270127691
61,-9.556409270127691
63,-8.863262089567746
65,-9.556409270127691
66,-9.556409270127691
67,-9.556409270127691
68,-9.556409270127691
76,-9.556409270127691
80,-8.45779698145958
81,-9.556409270127691
84,-9.556409270127691
92,-9.556409270127691
99,-9.556409270127691
105,-9.556409270127691
112,-9.556409270127691
118,-9.556409270127691
130,-9.556409270127691
135,-9.556409270127691
150,-9.556409270127691
166,-9.556409270127691
178,-9.556409270127691
304,-9.556409270127691
