star_name,avg_degree,avg_clust_coeff
OGLE-TR-1001,6.262773722627737,0.744501844897792
OGLE-TR-1002,6.365145228215767,0.7452946085390767
OGLE-TR-1003,6.28125,0.7583794581845987
OGLE-TR-1004,6.3478260869565215,0.7470471278733869
OGLE-TR-1005,6.245862884160757,0.7543466386217147
OGLE-TR-1006,6.261072261072261,0.7485797767581511
OGLE-TR-1007,6.633333333333334,0.7473742081742577
OGLE-TR-1008,5.626506024096385,0.74557422054993
OGLE-TR-1009,6.160377358490566,0.7414654019946385
OGLE-TR-1010,6.756521739130434,0.749178005528126
OGLE-TR-1011,5.957894736842105,0.7519866041898933
OGLE-TR-1012,6.892682926829268,0.7448729052974415
OGLE-TR-1013,5.73404255319149,0.7502779771703776
OGLE-TR-1014,7.492163009404389,0.7798017629198151
OGLE-TR-1015,5.769911504424779,0.7490813059391078
OGLE-TR-1016,5.965770171149145,0.754125927287726
OGLE-TR-1017,6.256603773584906,0.738912731312037
OGLE-TR-1018,6.071794871794872,0.7522279919427752
OGLE-TR-1019,6.2304147465437785,0.7577680579653908
OGLE-TR-1020,8.037267080745341,0.7457439145457107
OGLE-TR-1021,7.136363636363637,0.7344436480848701
OGLE-TR-1022,6.351585014409222,0.7521863915970671
OGLE-TR-1023,6.30379746835443,0.7528465608205803
OGLE-TR-1024,6.149779735682819,0.7501196107650029
OGLE-TR-1025,5.877777777777778,0.7533609609362011
OGLE-TR-1026,6.799086757990867,0.7600596206644552
OGLE-TR-1027,6.760095011876484,0.7587844125597822
OGLE-TR-1028,6.246346555323591,0.7508697691389563
OGLE-TR-1029,7.401425178147268,0.7667993469988583
OGLE-TR-1030,6.429319371727749,0.7574888046266828
OGLE-TR-1031,5.736526946107785,0.7445596985536179
OGLE-TR-1032,6.376811594202898,0.7458025255622714
OGLE-TR-1033,6.140243902439025,0.7449595632181177
OGLE-TR-1034,7.588235294117647,0.753200961938368
OGLE-TR-1035,6.431818181818182,0.7324844847601184
OGLE-TR-1036,6.230277185501066,0.7569226028814301
OGLE-TR-1037,5.933933933933934,0.7388957331905515
OGLE-TR-1038,5.437262357414449,0.741011084432137
OGLE-TR-1039,6.146179401993355,0.7516486553032865
OGLE-TR-1040,6.480769230769231,0.7443587362948644
OGLE-TR-1041,7.166276346604215,0.7584658345458312
OGLE-TR-1042,6.791773778920309,0.7442372696771952
OGLE-TR-1043,5.987616099071207,0.7499597038853807
OGLE-TR-1044,7.686746987951807,0.7589242042335989
OGLE-TR-1045,6.421686746987952,0.7502551461309835
OGLE-TR-1046,7.526315789473684,0.7566328179998166
OGLE-TR-1047,6.6761565836298935,0.7639268033270127
OGLE-TR-1048,6.916442048517521,0.75849013551649
OGLE-TR-1049,6.063091482649842,0.7340301907770046
OGLE-TR-1050,6.310043668122271,0.7518872450559111
OGLE-TR-1051,6.367432150313152,0.7642833293065616
OGLE-TR-1052,6.548245614035087,0.7546312964681426
OGLE-TR-1053,6.03932584269663,0.7492179850895535
OGLE-TR-1054,6.104477611940299,0.7443485803971753
OGLE-TR-1055,6.878151260504202,0.7681833210844804
OGLE-TR-1056,5.7073170731707314,0.753199398780739
OGLE-TR-1057,7.34375,0.7590978389837252
OGLE-TR-1058,5.968871595330739,0.7476250319284824
OGLE-TR-1059,6.228395061728395,0.7451030689799951
OGLE-TR-1060,6.595555555555555,0.7554645421611959
OGLE-TR-1061,7.477806788511749,0.7579214253217516
OGLE-TR-1062,6.053333333333334,0.747655698851599
OGLE-TR-1063,6.48019801980198,0.7538457580317242
OGLE-TR-1064,6.828451882845188,0.7555895649310138
OGLE-TR-1065,6.381201044386423,0.7536434830675854
OGLE-TR-1066,6.635514018691588,0.7553470896645711
OGLE-TR-1067,6.679324894514768,0.7512771561928161
OGLE-TR-1068,6.614736842105264,0.7680324810073067
OGLE-TR-1069,7.965087281795511,0.7544741455484006
OGLE-TR-1070,6.668421052631579,0.7496861319180428
OGLE-TR-1071,5.914666666666666,0.75283603907791
OGLE-TR-1072,6.449275362318841,0.7610388055429974
OGLE-TR-1073,6.438799076212471,0.7506701119136233
OGLE-TR-1074,7.367303609341826,0.7650438828702865
OGLE-TR-1075,6.935622317596566,0.746545806292463
OGLE-TR-1076,6.078571428571428,0.750636951305444
OGLE-TR-1077,6.22972972972973,0.7449531718309482
OGLE-TR-1078,6.737623762376238,0.7517674170119902
OGLE-TR-1079,6.471337579617835,0.7597792528771484
OGLE-TR-1080,7.07981220657277,0.7607272574844538
OGLE-TR-1081,6.374193548387097,0.7539135933813012
OGLE-TR-1082,6.153191489361702,0.751859498957566
OGLE-TR-1083,6.352564102564102,0.762399713668289
OGLE-TR-1084,7.36144578313253,0.7512033291914575
OGLE-TR-1085,6.277333333333333,0.7535943669670915
OGLE-TR-1086,6.261780104712042,0.7572976453039162
OGLE-TR-1087,6.454320987654321,0.7595912362096777
OGLE-TR-1088,8.080996884735203,0.7441366155532902
OGLE-TR-1089,5.358974358974359,0.7381541242400971
OGLE-TR-1090,6.301675977653631,0.7470889361181162
OGLE-TR-1091,6.900662251655629,0.756344825628156
OGLE-TR-1092,6.621923937360179,0.75742086737576
OGLE-TR-1093,6.554838709677419,0.7562511975289818
OGLE-TR-1094,6.556291390728477,0.7333242339352543
OGLE-TR-1095,6.955414012738854,0.754150307494962
OGLE-TR-1096,6.30672268907563,0.7502334295555974
OGLE-TR-1097,6.254901960784314,0.7398165615902168
OGLE-TR-1098,6.0272108843537415,0.7497183863443272
OGLE-TR-1099,6.400932400932401,0.7477359491769123
OGLE-TR-10,7.171428571428572,0.7390061240774565
OGLE-TR-56,6.281481481481482,0.7346516135757915
OGLE-TR-111,5.956043956043956,0.7305456157718602
OGLE-TR-132,5.962264150943396,0.7348442382152067
OGLE-TR-211,6.336734693877551,0.7350088141639923
