star_name,before_transit_start,during_transit,after_transit_end
OGLE-TR-1001,6.048850574712644,5.28,6.002869440459111
OGLE-TR-1002,5.62962962962963,4.0,5.836734693877551
OGLE-TR-1003,6.488495575221239,4.260869565217392,5.728353140916808
OGLE-TR-1004,5.565217391304348,4.2,6.107936507936508
OGLE-TR-1005,5.783491204330176,4.789473684210527,6.302222222222222
OGLE-TR-1006,6.091017964071856,4.974358974358975,6.259306803594352
OGLE-TR-1007,5.746341463414634,4.303030303030303,5.784011220196353
OGLE-TR-1008,5.404761904761905,2.0,5.435114503816794
OGLE-TR-1009,5.69811320754717,3.4285714285714284,5.502958579881657
OGLE-TR-1010,5.905791505791505,5.454545454545454,6.11844331641286
OGLE-TR-1011,5.591836734693878,3.142857142857143,5.593869731800766
OGLE-TR-1012,5.756329113924051,5.454545454545454,5.845669291338583
OGLE-TR-1013,5.257142857142857,3.111111111111111,5.503875968992248
OGLE-TR-1014,6.758620689655173,3.857142857142857,6.928909952606635
OGLE-TR-1015,5.7560975609756095,3.882352941176471,6.056338028169014
OGLE-TR-1016,5.887537993920972,5.333333333333333,5.900302114803625
OGLE-TR-1017,6.19327731092437,3.692307692307693,5.604743083003952
OGLE-TR-1018,6.103019538188277,5.333333333333333,5.993174061433447
OGLE-TR-1019,5.686486486486486,2.6666666666666665,5.657894736842105
OGLE-TR-1020,5.450549450549451,2.571428571428572,5.575
OGLE-TR-1021,5.219512195121951,2.857142857142857,5.694444444444445
OGLE-TR-1022,5.841121495327103,4.5,5.807291666666667
OGLE-TR-1023,5.9057591623036645,4.2,6.444444444444445
OGLE-TR-1024,6.1380670611439845,4.913043478260869,6.45045045045045
OGLE-TR-1025,5.909774436090226,4.476190476190476,5.81981981981982
OGLE-TR-1026,6.044083526682135,4.352941176470588,6.307142857142857
OGLE-TR-1027,6.03475935828877,4.842105263157895,6.227621483375959
OGLE-TR-1028,5.891643709825528,5.164835164835165,5.954792043399638
OGLE-TR-1029,6.143053645116919,4.888888888888889,6.275968992248062
OGLE-TR-1030,5.7936507936507935,3.6666666666666665,5.593220338983051
OGLE-TR-1031,5.747524752475248,4.222222222222222,5.828571428571428
OGLE-TR-1032,6.091254752851711,3.8,5.75
OGLE-TR-1033,5.708222811671088,5.1,6.010126582278481
OGLE-TR-1034,6.2,3.5384615384615383,6.1938775510204085
OGLE-TR-1035,5.529411764705882,1.0,5.8
OGLE-TR-1036,5.9661266568483065,5.1020408163265305,5.951434878587197
OGLE-TR-1037,6.3434903047091415,5.090909090909091,6.025575447570333
OGLE-TR-1038,5.594470046082949,3.75,5.264705882352941
OGLE-TR-1039,5.70919881305638,4.461538461538462,5.63030303030303
OGLE-TR-1040,5.705882352941177,3.0,6.686746987951807
OGLE-TR-1041,6.617611580217129,4.857142857142857,5.887755102040816
OGLE-TR-1042,6.222222222222222,4.64,6.12991452991453
OGLE-TR-1043,5.977591036414566,3.5,6.245524296675192
OGLE-TR-1044,5.859649122807017,1.0,5.642857142857143
OGLE-TR-1045,5.853211009174312,2.0,5.705426356589148
OGLE-TR-1046,6.551724137931035,3.0,6.330188679245283
OGLE-TR-1047,5.698841698841699,3.75,6.438461538461539
OGLE-TR-1048,5.893700787401575,4.0,5.948339483394834
OGLE-TR-1049,5.850828729281768,4.666666666666667,5.796143250688705
OGLE-TR-1050,5.962466487935657,5.6923076923076925,5.826164874551972
OGLE-TR-1051,6.301571284416895,6.262773722627737,6.177557209815275
OGLE-TR-1052,5.980937251787132,5.703703703703703,6.080701754385965
OGLE-TR-1053,5.896328293736501,4.0,5.959266802443992
OGLE-TR-1054,5.940520446096654,3.333333333333333,5.593869731800766
OGLE-TR-1055,5.9964200477326965,5.826086956521739,6.14543339150669
OGLE-TR-1056,5.943444730077121,4.888888888888889,5.693593314763231
OGLE-TR-1057,6.135790494665374,5.7073170731707314,6.100294985250738
OGLE-TR-1058,5.595238095238095,3.3846153846153846,5.575510204081633
OGLE-TR-1059,6.244031830238727,3.6666666666666665,6.11864406779661
OGLE-TR-1060,5.991416309012876,3.333333333333333,5.453416149068323
OGLE-TR-1061,5.884735202492212,5.0588235294117645,6.359300476947536
OGLE-TR-1062,5.908571428571428,5.142857142857143,5.653465346534653
OGLE-TR-1063,5.957446808510638,4.24,6.175582990397805
OGLE-TR-1064,6.3585657370517925,5.390243902439025,6.446313706086096
OGLE-TR-1065,6.072859744990892,5.047619047619048,6.075187969924812
OGLE-TR-1066,5.83855421686747,5.121951219512195,6.243718592964824
OGLE-TR-1067,6.00900393922341,4.95,6.005730659025788
OGLE-TR-1068,6.162322274881516,4.918918918918919,6.12189349112426
OGLE-TR-1069,6.00896860986547,4.193548387096774,5.960912052117264
OGLE-TR-1070,6.230894308943089,4.32,6.010169491525423
OGLE-TR-1071,5.881226053639847,4.333333333333333,6.024866785079929
OGLE-TR-1072,6.192634560906516,4.8,5.891135303265941
OGLE-TR-1073,6.1650717703349285,4.344827586206897,6.117084826762246
OGLE-TR-1074,6.215736040609137,6.835820895522388,6.274044795783926
OGLE-TR-1075,6.0256410256410255,3.555555555555556,6.155963302752293
OGLE-TR-1076,5.764309764309765,4.470588235294118,5.625899280575539
OGLE-TR-1077,5.720430107526882,2.6666666666666665,5.457943925233645
OGLE-TR-1078,6.112977099236641,5.12,6.46
OGLE-TR-1079,6.0,3.571428571428572,6.270769230769231
OGLE-TR-1080,6.258953168044077,5.485714285714286,6.022857142857143
OGLE-TR-1081,6.102272727272728,4.235294117647059,6.102981029810298
OGLE-TR-1082,6.054568527918781,5.047619047619048,6.209050350541746
OGLE-TR-1083,5.727272727272728,4.0,5.664
OGLE-TR-1084,5.883333333333334,3.0,5.298969072164948
OGLE-TR-1085,6.240601503759399,4.2,6.419213973799127
OGLE-TR-1086,6.003853564547206,4.384615384615385,6.063197026022305
OGLE-TR-1087,6.189821182943604,6.363636363636363,6.156342182890856
OGLE-TR-1088,6.170212765957447,4.235294117647059,5.901041666666667
OGLE-TR-1089,4.92,2.0,5.0
OGLE-TR-1090,6.133333333333334,4.545454545454546,5.745222929936306
