Log(Degree),Log(Probability)
0.6931471805599453,-1.5957077196221983
1.0986122886681098,-1.7963784150843496
1.3862943611198906,-1.824549292051046
1.6094379124341003,-2.0476928433652555
1.791759469228055,-2.671847152438249
1.9459101490553132,-2.4895255956442948
2.0794415416798357,-3.3004558118606235
2.1972245773362196,-4.28128506487235
2.302585092994046,-3.770459441106359
2.3978952727983707,-3.5881378843124043
2.4849066497880004,-3.993602992420569
2.5649493574615367,-4.686750172980514
2.6390573296152584,-4.686750172980514
2.70805020110221,-5.37989735354046
2.772588722239781,-4.686750172980514
2.833213344056216,-4.686750172980514
2.8903717578961645,-5.37989735354046
3.091042453358316,-4.686750172980514
3.1780538303479458,-4.686750172980514
3.332204510175204,-5.37989735354046
