Log(Degree),Log(Probability)
0.6931471805599453,-1.764414015337526
1.0986122886681098,-1.670681537674819
1.3862943611198906,-1.9832316767046132
1.6094379124341003,-2.138582116723776
1.791759469228055,-2.5482577573682836
1.9459101490553132,-2.7905712247902135
2.0794415416798357,-3.204133543130997
2.1972245773362196,-3.3913450852191436
2.302585092994046,-3.3913450852191436
2.3978952727983707,-3.483718405350159
2.4849066497880004,-3.7822113939061555
2.5649493574615367,-4.432798960047305
2.6390573296152584,-4.61512051684126
2.70805020110221,-4.720481032499086
2.772588722239781,-5.12594614060725
2.833213344056216,-4.838264068155469
2.8903717578961645,-5.12594614060725
2.9444389791664403,-5.12594614060725
2.995732273553991,-5.819093321167196
3.044522437723423,-5.531411248715415
3.1354942159291497,-6.917705609835305
3.1780538303479458,-5.531411248715415
3.2188758248682006,-6.22455842927536
3.258096538021482,-6.917705609835305
3.295836866004329,-6.917705609835305
3.332204510175204,-6.917705609835305
3.4011973816621555,-6.917705609835305
3.4339872044851463,-6.22455842927536
3.4965075614664802,-5.819093321167196
3.6109179126442243,-6.917705609835305
3.7612001156935624,-6.917705609835305
4.5217885770490405,-6.917705609835305
4.727387818712341,-6.917705609835305
4.795790545596741,-6.917705609835305
