Time,Magnitude
-83.3754240041185,14.728
-83.32372800412124,14.726
-83.32012800410827,14.736
-83.31902400410856,14.725
-83.2954080041102,14.721
-83.2916640041117,14.726
-83.27793600413021,14.734
-83.26800000410823,14.729
-83.22912000411812,14.727
-83.213376004122,14.729
-83.17483200410562,14.734
-83.15116800410955,14.727
-83.13907200411064,14.726
-83.13148800411274,14.724
-83.10715200411609,14.731
-83.09020800410987,14.728
-83.07691200412411,14.728
-83.06438400413516,14.727
-83.05382400412283,14.729
-83.04470400410692,14.731
-83.0364960041136,14.722
-83.02180800410862,14.728
-83.00001600412169,14.727
-82.99204800411214,14.727
-82.97246400410764,14.726
-82.9676160041047,14.726
-82.95528000410651,14.723
-82.93555200411062,14.726
-82.91342400410754,14.723
-82.91217600411302,14.723
-82.87603200412538,14.724
-82.84593600412667,14.735
-82.8458400041384,14.73
-82.7861280041026,14.731
-82.76318400411289,14.727
-82.75372800411903,14.729
-82.73774400411249,14.724
-82.73308800411498,14.729
-82.72324800412026,14.736
-82.71384000412253,14.72
-82.70476800413475,14.727
-82.69012800411669,14.727
-82.68436800411406,14.725
-82.66569600411391,14.729
-82.64323200411128,14.731
-82.61692800412528,14.727
-82.59667200410958,14.724
-82.59312000410888,14.729
-82.58275200412483,14.724
-82.57377600412703,14.731
-82.56134400412874,14.724
-82.54934400411209,14.724
-82.54656000412179,14.725
-82.49635200412321,14.728
-82.48718400412089,14.717
-82.46054400411977,14.726
-82.45752000412155,14.727
-82.44624000411194,14.723
-82.44172800410878,14.727
-82.41830400412569,14.727
-82.41748800412212,14.721
-82.39190400411327,14.726
-82.37553600410901,14.73
-82.37236800411598,14.724
-82.36545600410251,14.724
-82.34016000411829,14.726
-82.33324800411994,14.72
-82.29576000411818,14.722
-82.26888000413187,14.724
-82.25942400412505,14.721
-82.2554880041114,14.733
-82.22721600410706,14.728
-82.1906880041088,14.722
-82.18608000411133,14.73
-82.17552000410429,14.727
-82.15065600410936,14.728
-82.14172800410974,14.726
-82.08235200411606,14.729
-82.08220800412279,14.726
-82.06958400411999,14.729
-82.06233600412021,14.723
-82.05652800410577,14.725
-82.0421280041211,14.727
-82.02187200411346,14.725
-82.0194720041152,14.729
-81.9615360041196,14.727
-81.95928000413939,14.726
-81.92486400410827,14.723
-81.92145600412597,14.725
-81.86865600411183,14.727
-81.85209600412101,14.731
-81.84278400410666,14.723
-81.83203200410277,14.707
-81.81076800412042,14.732
-81.80812800411162,14.726
-81.79281600412129,14.722
-81.78259200410845,14.73
-81.77961600410676,14.722
-81.75465600412214,14.73
-81.74692800412346,14.717
-81.74635200413572,14.721
-81.73344000413671,14.72
-81.73305600412813,14.733
-81.7210080041125,14.72
-81.71899200410986,14.728
-81.69614400411321,14.73
-81.69076800412508,14.729
-81.6842400041128,14.731
-81.65438400411763,14.728
-81.65328000411922,14.727
-81.63696000411547,14.727
-81.5882880041378,14.727
-81.57696000411421,14.715
-81.5742720041144,14.731
-81.55713600412345,14.726
-81.55281600410719,14.73
-81.52689600411806,14.725
-81.51825600411645,14.726
-81.51398400409921,14.721
-81.51057600412857,14.717
-81.50798400410476,14.726
-81.49358400410917,14.729
-81.4884000041127,14.721
-81.47884800411613,14.729
-81.45321600411923,14.726
-81.43982400411319,14.726
-81.43195200410425,14.726
-81.41822400412526,14.723
-81.41707200411908,14.733
-81.40924800411928,14.724
-81.4034880041229,14.725
-81.40190400412565,14.722
-81.35702400411738,14.729
-81.35260800411915,14.723
-81.33768000411136,14.727
-81.33662400411431,14.726
-81.33345600411577,14.73
-81.32659200411378,14.726
-81.2844960041024,14.727
-81.2544960041072,14.724
-81.24220800411071,14.731
-81.20956800411933,14.725
-81.20049600411268,14.73
-81.18888000410551,14.723
-81.17836800412421,14.725
-81.14865600410782,14.724
-81.14817600411381,14.725
-81.12475200411588,14.731
-81.11755200411132,14.731
-81.09964800411514,14.727
-81.07372800412601,14.736
-81.02515200411086,14.725
-80.95886400410849,14.732
-80.95449600411156,14.731
-80.93980800411022,14.725
-80.91307200411894,14.729
-80.87102400411608,14.726
-80.85408000411867,14.733
-80.85384000412547,14.726
-80.837616004123,14.727
-80.83056000411217,14.724
-80.82225600410244,14.728
