Time,Magnitude
-122.2194720043039,14.163
-122.21424000429255,14.168
-122.20972800428893,14.171
-122.18548800429011,14.169
-122.16201600429616,14.168
-122.14012800431323,14.168
-122.10115200428066,14.169
-122.08219200429579,14.169
-122.06611200429955,14.17
-122.03611200429617,14.167
-122.01576000429844,14.166
-121.94884800429958,14.163
-121.93593600429534,14.173
-121.91827200428673,14.162
-121.90060800428768,14.168
-121.89912000428598,14.164
-121.89825600428952,14.171
-121.89724800428797,14.168
-121.89067200428138,14.171
-121.8684960042869,14.167
-121.86100800430171,14.175
-121.8457920042992,14.168
-121.80340800430662,14.17
-121.73923200428447,14.163
-121.7364480043147,14.167
-121.72915200428673,14.173
-121.72382400429336,14.167
-121.68148800429657,14.174
-121.67256000428091,14.167
-121.6246560043009,14.174
-121.62364800430208,14.166
-121.62196800429405,14.172
-121.60780800430524,14.165
-121.60425600428556,14.168
-121.59532800429446,14.171
-121.5942720042944,14.171
-121.54636800430484,14.163
-121.52884800428905,14.173
-121.50331200428803,14.168
-121.48473600428309,14.17
-121.46798400428992,14.169
-121.43184000428158,14.169
-121.40116800429627,14.169
-121.37318400430826,14.165
-121.3717920042995,14.169
-121.34995200429597,14.171
-121.32691200430367,14.164
-121.31616000428988,14.163
-121.29235200428178,14.171
-121.29172800430246,14.17
-121.28971200428026,14.172
-121.27204800429348,14.169
-121.26657600428138,14.169
-121.23460800428569,14.167
-121.23009600430254,14.168
-121.21310400428268,14.165
-121.20292800429337,14.175
-121.15118400429441,14.167
-121.14163200430079,14.167
-121.08273600429942,14.165
-121.04476800428478,14.167
-121.02499200429787,14.169
-121.02177600430053,14.167
-120.99211200429221,14.167
-120.98332800430074,14.166
-120.94963200429032,14.163
-120.9411360042954,14.168
-120.92908800429171,14.167
-120.91516800430367,14.166
-120.90830400431827,14.166
-120.87652800429754,14.168
-120.87028800429283,14.169
-120.78964800428497,14.166
-120.78667200429658,14.172
-120.77246400430107,14.169
-120.71428800429516,14.165
-120.70387200428053,14.169
-120.68006400429016,14.166
-120.67780800429176,14.167
-120.66979200429972,14.168
-120.61017600429608,14.17
-120.58939200429398,14.171
-120.58660800428737,14.165
-120.57772800428387,14.174
-120.57628800428614,14.165
-120.56289600430222,14.173
-120.5489280042911,14.168
-120.5373120042945,14.171
-120.51172800429225,14.183
-120.49852800430102,14.167
-120.43564800430016,14.165
-120.43219200429252,14.173
-120.41947200429598,14.161
-120.37526400430392,14.175
-120.35275200428845,14.165
-120.3521280043023,14.169
-120.34948800429123,14.164
-120.33100800428605,14.172
-120.32630400429929,14.164
-120.31555200429915,14.17
-120.2950080043019,14.165
-120.2908320042838,14.171
-120.27604800429657,14.164
-120.27009600428704,14.169
-120.22132800429421,14.169
-120.20006400429196,14.166
-120.18696000428412,14.167
-120.11131200429503,14.171
-120.108336004293,14.168
-120.10420800430342,14.171
-120.10108800429765,14.167
-120.09086400429072,14.171
-120.08404800429838,14.166
-120.00192000429291,14.161
-119.98972800428686,14.172
-119.98094400429267,14.17
-119.97960000429606,14.162
-119.97364800429608,14.163
-119.97124800429395,14.168
-119.96059200429494,14.164
-119.95099200429053,14.168
-119.94950400429155,14.164
-119.94201600428045,14.172
-119.9286720042964,14.166
-119.89876800430096,14.171
-119.89684800428807,14.166
-119.83070400429682,14.171
-119.77046400429339,14.158
-119.73571200428836,14.165
-119.73326400428499,14.162
-119.73052800430145,14.163
-119.69092800428274,14.17
-119.6729280042968,14.166
-119.66476800429695,14.172
-119.6618400042907,14.166
-119.64638400428743,14.163
-119.61537600428113,14.166
-119.61043200430043,14.172
-119.60803200428876,14.17
-119.59348800429001,14.171
-119.57212800430165,14.166
-119.5590720043005,14.168
-119.49912000430999,14.175
-119.46268800430374,14.17
-119.44660800430205,14.165
-119.44507200428956,14.169
-119.43782400430786,14.167
-119.37700800428951,14.164
-119.37436800428662,14.165
-119.3743680042839,14.169
-119.37259200429384,14.17
-119.37120000429871,14.168
-119.35166400429893,14.167
-119.34494400428451,14.171
-119.32968000428758,14.165
-119.31830400429993,14.171
-119.31043200429798,14.171
-119.29180800428907,14.169
-119.28964800428224,14.166
-119.28388800428314,14.17
-119.28014400429123,14.176
-119.25355200430107,14.176
-119.24337600429266,14.169
-119.20267200428901,14.167
-119.12500800428728,14.17
-119.07340800429341,14.168
-119.06827200429137,14.175
-119.03078400429735,14.159
-119.02046400429339,14.167
-119.01940800429469,14.169
-119.0147520042969,14.169
-119.01475200428052,14.167
-118.99718400428259,14.166
-118.98940800429267,14.167
-118.97856000428595,14.17
-118.94764800429579,14.17
-118.943568004302,14.163
-118.9376640043019,14.165
-118.92998400428718,14.172
-118.92321600428244,14.166
-118.8983520042811,14.166
-118.84742400428007,14.166
-118.81684800430406,14.171
-118.80124800429024,14.165
-118.78420800429097,14.169
-118.76788800428443,14.168
-118.71110400429683,14.169
-118.71019200429095,14.173
-118.68412800429945,14.169
-118.68100800428687,14.169
-118.6709280042864,14.169
-118.6631040042966,14.168
-118.65427200430116,14.169
-118.65379200429419,14.164
-118.65307200430283,14.172
-118.61764800428449,14.16
-118.61136000427854,14.182
-118.60454400431348,14.166
-118.60334400428786,14.174
-118.60003200428667,14.173
-118.5752640042769,14.169
-118.56422400428431,14.162
-118.48684800429413,14.174
-118.45128000430071,14.169
-118.44892800429983,14.172
-118.43116800429965,14.174
-118.41268800429992,14.176
-118.41062400429149,14.162
-118.40078400429041,14.17
-118.38124800428926,14.165
-118.3656480042959,14.169
-118.35926400428883,14.165
-118.32888000429597,14.167
-118.30051200430074,14.161
-118.29100800428517,14.173
-118.2512640042982,14.176
-118.22256000428746,14.175
-118.21972800429052,14.167
-118.19726400429948,14.165
-118.19184000428999,14.159
-118.15348800428995,14.165
-118.1442720042873,14.165
-118.12790400429043,14.173
-118.10616000429758,14.166
-118.10548800428836,14.166
-118.09824000429165,14.16
-118.09588800429077,14.172
-118.0763520042978,14.169
-118.07596800429604,14.174
-118.064784004297,14.166
-118.05710400428228,14.164
-118.05086400428985,14.166
-118.0373280042831,14.168
-117.9887520042966,14.17
-117.96604800428707,14.166
-117.9620640042794,14.185
-117.9362400043023,14.174
-117.93086400430633,14.166
