Time,Magnitude
-129.05400000446224,15.127
-129.0458400044733,15.124
-129.03756000447476,15.131
-129.02964000447975,15.129
-129.019800004478,15.122
-129.0150000044669,15.133
-129.01044000446205,15.132
-128.96472000445982,15.129
-128.95272000448603,15.114
-128.94876000446158,15.128
-128.92332000447192,15.131
-128.8245600044658,15.128
-128.81700000445863,15.137
-128.80344000446934,15.128
-128.77368000448035,15.124
-128.74332000445162,15.133
-128.72796000446175,15.134
-128.71716000447196,15.129
-128.7051600044661,15.13
-128.69160000445294,15.124
-128.6850000044754,15.134
-128.66640000447495,15.12
-128.66124000447604,15.125
-128.63448000447573,15.127
-128.5183200044757,15.123
-128.49804000446176,15.125
-128.47560000446282,15.13
-128.46576000446515,15.12
-128.4205200044692,15.128
-128.41380000447253,15.132
-128.39544000446807,15.131
-128.39328000446807,15.13
-128.39052000447197,15.13
-128.38800000448072,15.122
-128.38104000446555,15.133
-128.3782800044633,15.127
-128.3769600044779,15.135
-128.37420000447088,15.135
-128.36196000447381,15.125
-128.3134800044649,15.119
-128.29968000446223,15.122
-128.29392000448053,15.12
-128.29248000447154,15.115
-128.28720000447328,15.125
-128.2852800044863,15.121
-128.2729200044633,15.132
-128.20608000446185,15.124
-128.2051200044752,15.118
-128.17236000447843,15.126
-128.1716400044591,15.123
-128.1358800044648,15.118
-128.13480000447197,15.133
-128.1241200044713,15.149
-128.11296000446947,15.125
-128.10864000447185,15.131
-128.0982000044699,15.126
-128.09364000446163,15.124
-128.09088000447986,15.135
-128.07276000446797,15.134
-128.064360004481,15.135
-128.02860000446964,15.125
-128.00844000447483,15.139
-127.99512000447265,15.122
-127.99092000446382,15.129
-127.96632000446897,15.141
-127.95816000446979,15.127
-127.95528000447501,15.122
-127.94472000445938,15.138
-127.88316000446508,15.134
-127.81932000447347,15.123
-127.81212000445822,15.113
-127.80984000446091,15.125
-127.79352000447142,15.135
-127.75128000446824,15.124
-127.74984000447733,15.126
-127.73568000446193,15.121
-127.7146800044764,15.116
-127.69644000446243,15.129
-127.65912000447173,15.13
-127.65000000448043,15.127
-127.64652000447455,15.137
-127.62204000448861,15.128
-127.60752000446354,15.117
-127.57404000447815,15.135
-127.56420000446138,15.134
-127.50948000447744,15.128
-127.48032000445932,15.131
-127.48020000447292,15.12
-127.46772000447169,15.129
-127.44792000447086,15.123
-127.40964000447713,15.137
-127.40508000447193,15.132
-127.40172000445824,15.133
-127.39752000447191,15.124
-127.39248000446622,15.13
-127.3586400044664,15.121
-127.34772000446839,15.129
-127.33200000447295,15.13
-127.2804000044784,15.119
-127.27860000446827,15.118
-127.20816000446911,15.137
-127.2045600044782,15.126
-127.19952000446705,15.126
-127.18740000447207,15.133
-127.14168000449166,15.123
-127.1322000044675,15.126
-127.126800004475,15.125
-127.11420000447475,15.126
-127.10868000446209,15.139
-127.09860000448549,15.123
-127.09176000447513,15.125
-127.08336000446087,15.115
-127.02504000447374,15.124
-127.02408000446866,15.121
-127.01772000447414,15.147
-126.99216000447217,15.126
-126.97488000446737,15.123
-126.92772000447013,15.136
-126.92232000447387,15.117
-126.91128000447105,15.132
-126.90096000445891,15.129
-126.89916000446993,15.124
-126.88284000446816,15.126
-126.87324000446307,15.127
-126.8211600044595,15.131
-126.80532000446402,15.127
-126.7846800044718,15.131
-126.77424000447735,15.119
-126.76524000447176,15.129
-126.75240000446973,15.129
-126.75000000446215,15.14
-126.67992000448288,15.124
-126.64440000447775,15.126
-126.56724000446621,15.136
-126.5642400044639,15.128
-126.56040000446541,15.127
-126.55044000448271,15.123
-126.52920000446642,15.139
-126.51900000447,15.12
-126.51408000448345,15.13
-126.49956000447168,15.125
-126.45312000447024,15.138
-126.43224000447316,15.123
-126.42948000447365,15.127
-126.41820000446393,15.127
-126.41448000447161,15.124
-126.3973200044723,15.134
-126.38652000446888,15.123
-126.36708000446885,15.128
-126.34056000447748,15.123
-126.299520004459,15.121
-126.26808000447426,15.123
-126.26604000447907,15.13
-126.23052000447461,15.126
-126.19212000447607,15.125
-126.18240000447707,15.124
-126.16224000448022,15.124
-126.14520000447686,15.129
-126.1276800044597,15.125
-126.10656000447824,15.131
-126.09984000446656,15.142
-126.08412000448612,15.141
-126.07968000446016,15.136
-126.07380000447671,15.128
-126.07092000447307,15.125
-126.03540000448362,15.12
-126.02172000446222,15.129
-126.01584000446582,15.116
-126.00984000447482,15.118
-125.99520000447086,15.116
-125.97528000447682,15.133
-125.96436000446039,15.111
-125.95116000448485,15.125
-125.94648000447177,15.12
-125.91564000446812,15.125
-125.89788000447066,15.124
-125.88624000446936,15.119
-125.83116000447063,15.123
-125.79096000447629,15.124
-125.77704000445823,15.123
-125.74032000446158,15.127
-125.73744000447363,15.134
-125.71284000447127,15.126
-125.68584000447635,15.121
-125.66100000446983,15.126
-125.66076000446839,15.112
-125.65896000445827,15.134
-125.65488000446788,15.119
-125.65440000446364,15.133
-125.49744000447043,15.126
-125.47452000446862,15.119
-125.46900000447368,15.123
-125.45604000445388,15.132
-125.43792000446723,15.123
-125.42292000447202,15.13
-125.4222000044677,15.114
-125.41056000446878,15.126
-125.38272000446335,15.132
-125.38116000446695,15.128
-125.37912000447312,15.131
-125.33316000446331,15.122
-125.31456000446491,15.127
-125.28492000446573,15.114
-125.15580000446636,15.122
-125.12100000446145,15.128
-125.09352000446364,15.124
-125.09256000446061,15.119
-125.07480000447475,15.127
-125.02656000446763,15.127
-124.99092000446655,15.126
-124.98768000447507,15.126
-124.98000000446785,15.13
-124.97964000448138,15.118
-124.97400000446424,15.127
-124.90872000448002,15.12
-124.90488000448084,15.13
-124.90356000446405,15.121
-124.890360004466,15.118
-124.80876000445852,15.125
-124.80780000446981,15.126
-124.80444000446943,15.128
-124.77852000446597,15.134
-124.76904000447047,15.129
-124.74480000447096,15.124
-124.64928000445974,15.13
-124.64268000446378,15.114
-124.62864000446478,15.121
-124.57032000446469,15.125
-124.56996000446594,15.122
-124.50552000447686,15.131
-124.48932000446013,15.126
-124.48176000448501,15.129
-124.45020000446885,15.138
-124.44948000446317,15.12
-124.39704000445948,15.124
-124.39044000448808,15.134
-124.38120000447492,15.127
-124.33560000447955,15.129
-124.31640000447413,15.128
-124.2705600044664,15.125
-124.26156000446764,15.118
-124.2523200044763,15.13
-124.23012000447267,15.131
-124.21692000445756,15.128
-124.19160000447681,15.131
-124.17300000447227,15.132
-124.17288000447087,15.125
-124.14492000447564,15.13
-124.13328000447058,15.119
-124.1074800044808,15.135
-124.09596000446624,15.134
-124.08576000447255,15.133
-124.0533600044759,15.121
-124.0239600044925,15.13
-123.89340000446606,15.119
-123.86760000448174,15.125
-123.84588000447758,15.139
-123.82908000448725,15.122
-123.73716000447172,15.126
-123.72552000446393,15.121
-123.70704000447171,15.118
-123.70452000445795,15.134
-123.65448000446662,15.122
-123.6490800044615,15.129
-123.60048000446449,15.127
-123.56340000446431,15.126
-123.5451600044783,15.126
-123.52260000447728,15.121
-123.48684000448776,15.112
-123.47904000447505,15.128
-123.46704000446442,15.127
-123.37716000446386,15.124
-123.3451200044687,15.122
-123.2826000044816,15.131
-123.24540000445955,15.126
-123.22188000446982,15.124
-123.20292000446926,15.126
-123.20124000449329,15.134
-123.20052000446918,15.134
-123.18168000445843,15.118
-123.18132000448014,15.118
-123.1647600044592,15.134
-123.12216000447569,15.132
-123.06912000446158,15.129
-123.06420000446752,15.127
-123.0564000044705,15.124
-123.00264000447663,15.119
-122.94720000447813,15.12
-122.94516000445088,15.13
-122.89572000446998,15.136
-122.89188000446808,15.123
-122.8321200044723,15.124
-122.79876000447263,15.124
-122.76888000447269,15.134
-122.76672000447815,15.136
-122.73072000447422,15.132
-122.70156000446224,15.125
-122.69304000446022,15.122
-122.68668000449026,15.123
-122.64936000448114,15.121
-122.638920004471,15.134
-122.61960000446146,15.121
-122.59896000447878,15.13
-122.56332000447361,15.128
-122.54352000446937,15.131
-122.53212000446098,15.145
-122.46216000446674,15.123
-122.45724000446927,15.124
-122.45184000447915,15.125
-122.43180000446597,15.136
-122.41896000447213,15.114
-122.34288000447526,15.12
-122.3385600044657,15.129
-122.25444000445196,15.139
-122.24940000449061,15.115
-122.22948000445973,15.132
-122.21364000447585,15.126
-122.118120004466,15.122
-122.10696000446586,15.131
-122.08812000448921,15.124
-122.0791200044734,15.134
-122.0749200044666,15.129
-122.06952000448126,15.126
-121.99716000447467,15.12
-121.97256000447845,15.118
-121.96488000446101,15.127
-121.94580000446246,15.113
-121.9432800044828,15.126
-121.90260000446375,15.129
-121.89708000447496,15.122
-121.84188000447313,15.131
-121.73184000446889,15.119
-121.71864000448312,15.13
-121.71132000446238,15.131
-121.69068000446538,15.127
-121.68372000448159,15.131
-121.62096000447667,15.127
-121.6203600044692,15.129
-121.59240000445055,15.134
-121.57116000445745,15.122
-121.56804000448102,15.119
-121.5242400044637,15.125
-121.50852000446554,15.13
-121.49580000446969,15.126
-121.44588000446407,15.119
-121.36848000446679,15.123
-121.35204000445816,15.127
-121.33200000447295,15.129
-121.32048000447065,15.121
-121.31244000447356,15.117
-121.30188000445861,15.127
-121.2700800044567,15.127
-121.25460000447566,15.115
-121.23012000447335,15.119
-121.2090000044605,15.122
-121.166280004479,15.13
-121.04676000446494,15.122
-121.01880000448199,15.12
-120.98520000447132,15.127
-120.97740000445862,15.12
-120.97524000448863,15.118
-120.9535200044715,15.135
-120.94932000447017,15.126
-120.87564000447816,15.12
-120.87540000446307,15.126
-120.86904000445969,15.128
-120.86532000446806,15.128
-120.83016000448828,15.131
-120.75132000447144,15.122
-120.74268000446324,15.124
-120.73968000446297,15.125
-120.6990000044762,15.116
-120.67536000447052,15.14
-120.66900000447873,15.118
-120.66480000447535,15.128
-120.65556000447992,15.13
-120.60720000448163,15.126
-120.5482800044752,15.126
-120.5211600044625,15.118
-120.51936000447489,15.127
-120.5132400044784,15.125
-120.50112000447115,15.122
-120.44088000446567,15.126
-120.44028000447162,15.133
-120.43404000446759,15.134
-120.43056000448013,15.129
-120.32172000447696,15.129
-120.31800000448328,15.13
-120.31116000447156,15.121
-120.26016000447379,15.127
-120.23100000446453,15.13
-120.2154000044589,15.132
-120.17004000447042,15.13
-120.16104000446825,15.128
-120.14436000445204,15.123
-120.01008000448172,15.123
-119.96664000447544,15.13
-119.95776000446443,15.124
-119.91324000447008,15.123
-119.83500000447731,15.124
-119.81796000445894,15.13
-119.74824000446205,15.127
-119.73780000446374,15.126
-119.68512000447066,15.123
-119.68320000446869,15.132
-119.68008000446974,15.121
-119.6727600044722,15.125
-119.62800000447368,15.133
-119.60172000446124,15.13
-119.52624000447275,15.134
-119.50500000445919,15.128
-119.48484000446098,15.131
-119.46468000447777,15.122
-119.42604000447915,15.133
-119.38944000447844,15.13
-119.35776000447044,15.13
-119.34600000448171,15.117
-119.33556000446339,15.123
-119.29548000447045,15.125
-119.2941600044905,15.128
-119.27664000445833,15.13
-119.25852000446281,15.128
-119.24592000446972,15.126
-119.23980000446028,15.129
-119.21772000446146,15.121
-119.19552000446464,15.121
-119.16132000448926,15.119
-119.13396000446284,15.125
-119.12544000447377,15.122
-119.03328000446021,15.115
-119.02536000446725,15.13
-119.00568000446918,15.127
-118.98912000447348,15.142
-118.96644000446491,15.135
-118.85832000447357,15.127
-118.83972000447176,15.123
-118.82124000448044,15.123
-118.81980000447362,15.122
-118.79196000446547,15.127
-118.79172000446471,15.124
-118.7689200044909,15.124
-118.70040000446573,15.122
