Point Number,X Coords,Y Coords,Degree,Clustering Coefficient
116,-0.8889600045566082,-15.226,2,1.0
117,-0.8859840045488807,-15.209,7,0.42857142857142855
118,-0.8796960045537359,-15.222,3,1.0
119,-0.8779680045712082,-15.216,5,0.7
120,-0.877776004559905,-15.221,3,1.0
121,-0.8773440045675398,-15.214,4,0.8333333333333334
122,-0.8766240045637088,-15.201,26,0.20307692307692307
123,-0.8735040045610984,-15.216,4,1.0
124,-0.8692320045598618,-15.219,4,1.0
125,-0.8654880045522615,-15.22,4,1.0
126,-0.8652960045674545,-15.208,10,0.37777777777777777
127,-0.864672004552318,-15.213,2,1.0
128,-0.8642400045725507,-15.211,4,0.6666666666666666
129,-0.8544480045719707,-15.211,4,0.8333333333333334
130,-0.8412480045711488,-15.207,10,0.4666666666666667
131,-0.8350080045601087,-15.21,5,0.6
132,-0.8224800045619813,-15.22,3,1.0
133,-0.8220000045678615,-15.22,3,1.0
134,-0.8219520045660003,-15.209,10,0.4
135,-0.8216640045649795,-15.223,3,1.0
136,-0.820752004566067,-15.228,3,1.0
137,-0.8108640045484632,-15.21,8,0.5
138,-0.8102400045685412,-15.215,2,1.0
139,-0.8028480045669324,-15.208,7,0.5714285714285714
140,-0.801072004553468,-15.218,2,1.0
141,-0.7956960045461725,-15.202,18,0.2875816993464052
142,-0.7865760045506318,-15.214,5,0.7
143,-0.7751040045491775,-15.215,3,1.0
144,-0.7746240045540345,-15.213,6,0.5333333333333333
145,-0.774096004560185,-15.215,3,1.0
146,-0.7706400045620041,-15.218,3,1.0
147,-0.7663680045521344,-15.207,7,0.42857142857142855
148,-0.7550880045581037,-15.221,2,1.0
149,-0.7501440045692431,-15.201,18,0.3137254901960784
150,-0.7421280045719809,-15.209,3,1.0
151,-0.7377600045600088,-15.208,5,0.5
152,-0.7320960045548259,-15.224,2,1.0
153,-0.7320480045649018,-15.222,3,0.6666666666666666
154,-0.7309440045656428,-15.205,10,0.3333333333333333
155,-0.7260000045553594,-15.208,4,0.6666666666666666
156,-0.7240800045611235,-15.213,2,1.0
157,-0.7208640045665147,-15.208,6,0.5333333333333333
158,-0.7193280045626762,-15.21,4,0.8333333333333334
159,-0.7178400045651541,-15.222,3,1.0
160,-0.7120320045677315,-15.209,5,0.7
161,-0.7118400045667455,-15.204,15,0.2761904761904762
162,-0.7075200045636263,-15.211,5,0.7
163,-0.7030080045702645,-15.216,4,0.6666666666666666
164,-0.6949920045527518,-15.233,2,1.0
165,-0.6934560045525584,-15.21,9,0.3611111111111111
166,-0.690768004571346,-15.219,2,1.0
167,-0.6907200045698472,-15.217,3,0.6666666666666666
168,-0.6832800045680398,-15.211,6,0.6
169,-0.6805440045662292,-15.216,4,0.8333333333333334
170,-0.6802080045652656,-15.236,3,1.0
171,-0.6726720045522752,-15.211,6,0.6666666666666666
172,-0.671856004565164,-15.204,14,0.3076923076923077
173,-0.6624960045676287,-15.218,2,1.0
174,-0.6617280045582914,-15.206,7,0.47619047619047616
175,-0.6582240045542418,-15.209,2,1.0
176,-0.6570720045668705,-15.206,6,0.5333333333333333
177,-0.6510240045707361,-15.211,3,0.6666666666666666
178,-0.6488160045639046,-15.213,2,1.0
179,-0.6487200045535741,-15.204,9,0.3611111111111111
180,-0.6408480045575897,-15.21,3,0.6666666666666666
181,-0.6369600045603929,-15.215,2,1.0
182,-0.6355680045536116,-15.2,26,0.2153846153846154
183,-0.6339840045530705,-15.22,3,1.0
184,-0.6313440045535754,-15.22,3,1.0
185,-0.6282720045647634,-15.21,6,0.4666666666666667
186,-0.62376000456166,-15.221,2,1.0
187,-0.621936004559785,-15.21,6,0.4666666666666667
188,-0.6185280045616321,-15.223,3,1.0
189,-0.6180960045730399,-15.217,3,1.0
190,-0.6179040045515689,-15.204,11,0.3090909090909091
191,-0.6061440045514812,-15.226,2,1.0
192,-0.6059520045647344,-15.218,3,0.6666666666666666
193,-0.6035040045556312,-15.205,10,0.4888888888888889
194,-0.6028320045632964,-15.209,3,1.0
195,-0.5964960045620271,-15.208,4,0.8333333333333334
196,-0.5896320045574865,-15.207,9,0.5555555555555556
197,-0.5890080045593391,-15.208,6,0.7333333333333333
198,-0.583200004561405,-15.21,6,0.5333333333333333
199,-0.5813280045721212,-15.219,2,1.0
200,-0.5810400045692672,-15.217,3,0.6666666666666666
201,-0.577296004555272,-15.21,6,0.5333333333333333
202,-0.5767680045697572,-15.219,2,1.0
203,-0.5754240045542216,-15.207,16,0.2833333333333333
204,-0.5746560045557769,-15.222,2,1.0
205,-0.5715360045680027,-15.216,5,0.6
206,-0.5693280045575901,-15.216,4,0.8333333333333334
207,-0.560208004552649,-15.225,4,0.6666666666666666
208,-0.5601600045557118,-15.228,2,1.0
209,-0.5597760045622235,-15.211,8,0.42857142857142855
210,-0.5511360045690095,-15.21,4,0.8333333333333334
211,-0.539760004568208,-15.209,7,0.5714285714285714
212,-0.5384640045490767,-15.211,4,0.6666666666666666
213,-0.5377440045719764,-15.213,3,1.0
214,-0.5370240045532026,-15.215,3,1.0
215,-0.5313120045490576,-15.2,28,0.19047619047619047
216,-0.5248320045551862,-15.215,2,1.0
217,-0.5245440045524175,-15.211,5,0.5
218,-0.5236320045552316,-15.216,3,1.0
219,-0.5219520045415462,-15.216,3,1.0
220,-0.521808004564569,-15.209,11,0.38181818181818183
221,-0.516720004552816,-15.218,2,1.0
222,-0.5146080045656942,-15.214,7,0.6666666666666666
223,-0.4994880045697838,-15.215,4,1.0
224,-0.49209600456949665,-15.208,8,0.6428571428571429
225,-0.4894080045595499,-15.218,3,1.0
226,-0.48494400455278686,-15.207,5,0.8
227,-0.4837920045623674,-15.203,16,0.3416666666666667
228,-0.47347200456429284,-15.222,2,1.0
229,-0.47251200455330866,-15.214,8,0.6785714285714286
230,-0.4694400045530285,-15.216,5,0.7
231,-0.46641600457283494,-15.228,2,1.0
232,-0.46632000456226996,-15.214,11,0.509090909090909
233,-0.46291200456526815,-15.22,5,0.8
234,-0.45350400456806716,-15.218,5,0.9
235,-0.44971200456745186,-15.214,5,0.9
236,-0.44721600456693245,-15.211,9,0.6666666666666666
237,-0.4319040045534732,-15.206,10,0.5111111111111111
238,-0.4306080045619891,-15.215,2,1.0
239,-0.4293120045559886,-15.211,5,0.6
240,-0.42364800456389395,-15.215,3,1.0
