Log(Degree),Log(Probability)
0.6931471805599453,-1.6854238194120224
1.0986122886681098,-1.7120920664941837
1.3862943611198906,-1.9135137946615577
1.6094379124341003,-2.1041341542702074
1.791759469228055,-2.582169955213207
1.9459101490553132,-2.6488613297118797
2.0794415416798357,-3.0204248861443626
2.1972245773362196,-3.664781902534876
2.302585092994046,-3.4904285153900982
2.3978952727983707,-3.8189325823621343
2.4849066497880004,-4.144354982796762
2.5649493574615367,-4.406719247264253
2.6390573296152584,-4.406719247264253
2.70805020110221,-4.763394191202986
2.772588722239781,-4.763394191202986
2.833213344056216,-5.3230099791384085
2.8903717578961645,-6.016157159698354
2.9444389791664403,-6.016157159698354
2.995732273553991,-5.610692051590189
3.044522437723423,-6.016157159698354
3.091042453358316,-6.016157159698354
3.1354942159291497,-6.709304340258298
3.258096538021482,-5.610692051590189
3.332204510175204,-6.016157159698354
3.367295829986474,-6.016157159698354
3.4011973816621555,-6.709304340258298
3.5553480614894135,-6.709304340258298
3.6375861597263857,-6.016157159698354
3.828641396489095,-6.709304340258298
