Log(Degree),Log(Probability)
0.6931471805599453,-1.7518801029964586
1.0986122886681098,-1.6030344753988934
1.3862943611198906,-1.8978340156195384
1.6094379124341003,-2.2145036249445713
1.791759469228055,-2.5354113450246727
1.9459101490553132,-2.745131876006742
2.0794415416798357,-3.150596984114906
2.1972245773362196,-3.4382790565666874
2.302585092994046,-3.373740535429116
2.3978952727983707,-3.8437441646748516
2.4849066497880004,-3.8437441646748516
2.5649493574615367,-4.760034896549007
2.6390573296152584,-4.354569788440842
2.70805020110221,-5.0477169690007875
2.772588722239781,-6.1463292576688975
2.833213344056216,-6.1463292576688975
2.8903717578961645,-4.760034896549007
2.9444389791664403,-5.0477169690007875
2.995732273553991,-4.760034896549007
3.091042453358316,-6.1463292576688975
3.1354942159291497,-5.453182077108952
3.2188758248682006,-6.1463292576688975
3.332204510175204,-6.1463292576688975
3.367295829986474,-6.1463292576688975
3.5553480614894135,-6.1463292576688975
