,before_transit_start,during_transit,after_transit_end
OGLE-TR-1001,6.048850574712644,5.28,6.002869440459111
OGLE-TR-1002,5.62962962962963,4.0,5.836734693877551
OGLE-TR-1003,6.488495575221239,4.260869565217392,5.728353140916808
OGLE-TR-1004,5.565217391304348,4.2,6.1079365079365076
