Log(Degree),Log(Probability)
0.6931471805599453,-1.7786032800455867
1.0986122886681098,-1.7360198155009803
1.3862943611198906,-1.9145089011381315
1.6094379124341003,-2.1425826185602
1.791759469228055,-2.48732620093209
1.9459101490553132,-2.762681460903212
2.0794415416798357,-3.049853199074971
2.1972245773362196,-3.291015255891859
2.302585092994046,-3.5847763744200223
2.3978952727983707,-3.7719879165081687
2.4849066497880004,-3.981568401274758
2.5649493574615367,-4.2744452906036425
2.6390573296152584,-4.473573965713979
2.70805020110221,-4.659291111509072
2.772588722239781,-5.010152085582384
2.833213344056216,-5.010152085582384
2.8903717578961645,-5.255274543615369
2.9444389791664403,-5.293014871598216
2.995732273553991,-5.530686523475335
3.044522437723423,-5.633340677535419
3.091042453358316,-5.948421724175314
3.1354942159291497,-5.810271385694497
3.1780538303479458,-5.9861620521581616
3.2188758248682006,-6.199736152456221
3.258096538021482,-6.605201260564384
3.295836866004329,-6.536208389077434
3.332204510175204,-6.605201260564384
3.367295829986474,-7.164817048499807
3.4011973816621555,-7.29834844112433
3.4339872044851463,-7.8579642290597524
3.4657359027997265,-7.164817048499807
3.4965075614664802,-7.29834844112433
3.5263605246161616,-7.29834844112433
3.5553480614894135,-7.8579642290597524
3.58351893845611,-7.452499120951589
3.6109179126442243,-7.634820677745543
3.6375861597263857,-9.244258590179644
3.6635616461296463,-7.8579642290597524
3.6888794541139363,-7.8579642290597524
3.7376696182833684,-9.244258590179644
3.7612001156935624,-9.244258590179644
3.784189633918261,-9.244258590179644
3.8066624897703196,-9.244258590179644
3.828641396489095,-9.244258590179644
3.8918202981106265,-8.551111409619699
3.9318256327243257,-9.244258590179644
3.9512437185814275,-8.145646301511533
3.9889840465642745,-8.551111409619699
4.007333185232471,-9.244258590179644
4.02535169073515,-8.551111409619699
4.0943445622221,-9.244258590179644
4.174387269895637,-9.244258590179644
4.204692619390966,-9.244258590179644
4.2626798770413155,-9.244258590179644
4.276666119016055,-9.244258590179644
4.330733340286331,-9.244258590179644
4.343805421853684,-9.244258590179644
4.3694478524670215,-9.244258590179644
4.418840607796598,-9.244258590179644
4.477336814478207,-9.244258590179644
4.5217885770490405,-9.244258590179644
4.564348191467836,-9.244258590179644
4.867534450455582,-9.244258590179644
5.099866427824199,-9.244258590179644
5.1647859739235145,-9.244258590179644
5.176149732573829,-9.244258590179644
5.272999558563747,-9.244258590179644
5.501258210544727,-9.244258590179644
5.537334267018537,-9.244258590179644
