Log(Degree),Log(Probability)
0.6931471805599453,-1.7712809378845145
1.0986122886681098,-1.659522016831512
1.3862943611198906,-1.9603821816638478
1.6094379124341003,-2.0455399900041544
1.791759469228055,-2.4312024708161393
1.9459101490553132,-2.8076800420510515
2.0794415416798357,-3.1711809510601836
2.1972245773362196,-3.4185891243740243
2.302585092994046,-3.529814759484249
2.3978952727983707,-3.7239707739252066
2.4849066497880004,-4.060443010546419
2.5649493574615367,-4.4171179544851515
2.6390573296152584,-5.382198850528739
2.70805020110221,-5.063745119410204
2.772588722239781,-4.689051669968793
2.833213344056216,-4.976733742420574
2.8903717578961645,-5.264415814872355
2.9444389791664403,-4.976733742420574
2.995732273553991,-6.363028103540465
3.044522437723423,-5.8522024797744745
3.091042453358316,-5.8522024797744745
3.1354942159291497,-5.66988092298052
3.1780538303479458,-6.075346031088684
3.2188758248682006,-5.8522024797744745
3.258096538021482,-6.76849321164863
3.295836866004329,-7.461640392208575
3.332204510175204,-7.461640392208575
3.367295829986474,-7.461640392208575
3.4011973816621555,-7.461640392208575
3.4339872044851463,-6.76849321164863
3.4657359027997265,-6.76849321164863
3.4965075614664802,-7.461640392208575
3.5263605246161616,-7.461640392208575
3.6109179126442243,-7.461640392208575
3.6888794541139363,-7.461640392208575
3.912023005428146,-7.461640392208575
