ID,transit_epoch,period,t14,no_of_points_before_transit,no_of_points_during_transit,no_of_points_after_transit,total_number_of_points
OGLE-TR-1077,5381.544000000227,14.40827,0.255,3121,108,3086,6315
OGLE-TR-1078,5377.628000000026,4.3297076,0.2245,6613,705,6846,14164
OGLE-TR-1079,5381.44700000016,13.45047,0.554,4065,311,4049,8425
OGLE-TR-1080,5377.939999999944,4.7576944,0.2339,6913,743,6520,14176
OGLE-TR-1081,5377.515999999829,6.406942,0.1741,6812,381,6988,14181
OGLE-TR-1082,5379.00400000019,3.403645,0.379,6303,1588,6244,14135
OGLE-TR-1083,5380.63599999994,5.410081,0.1406,6908,335,6938,14181
OGLE-TR-1084,5402.311999999918,39.79726,0.2763,6958,96,7122,14176
OGLE-TR-1085,5377.854999999981,3.636724,0.129,6826,502,6829,14157
OGLE-TR-1086,5383.100000000093,6.703196,0.237,6373,539,7205,14117
OGLE-TR-1087,5378.362999999896,4.243166,0.211,6878,754,6552,14184
OGLE-TR-1088,5378.055999999866,5.0748841,0.147,6826,403,6954,14183
OGLE-TR-1089,5384.6430000001565,51.09021,0.346,3156,50,3404,6610
OGLE-TR-1090,5376.640999999829,6.555184,0.2352,6929,497,6749,14175
OGLE-TR-1091,5427.429000000004,55.74533,0.429,6703,106,7366,14175
OGLE-TR-1092,5380.163999999873,3.660176,0.212,6457,908,6707,14072
OGLE-TR-1093,5377.19700000016,1.4751354,0.134,6258,1299,6130,13687
OGLE-TR-1094,5388.401999999769,13.20038,0.312,2191,116,2416,4723
OGLE-TR-1095,5377.279999999795,0.7848204,0.0864,5983,1432,5848,13263
OGLE-TR-1096,5377.223000000231,3.437753,0.446,5988,1836,6323,14147
OGLE-TR-1097,5385.325000000186,10.756625,0.1202,6923,167,7088,14178
OGLE-TR-1098,5379.118999999948,5.880842,0.1455,6670,314,6781,13765
OGLE-TR-1099,5376.944999999832,10.46173,0.63,6563,847,6627,14037
OGLE-TR-10,2070.219,3.10129,0.128,773,87,880,1740
OGLE-TR-56,2075.1046,1.211909,0.0918,504,99,510,1113
OGLE-TR-111,2330.44687,4.0144463,0.111654,573,44,559,1176
OGLE-TR-132,2324.70067,1.68965,0.09476,494,76,474,1044
OGLE-TR-211,3428.334,3.67724,0.1838,709,238,840,1787
